"Production Type","2022 [MW]"
"Biomass","111"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","750"
"Fossil Hard coal","217"
"Fossil Oil","75"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","10"
"Hydro Pumped Storage","281"
"Hydro Run-of-river and poundage","428"
"Hydro Water Reservoir","1446"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","57"
"Solar","96"
"Waste","6"
"Wind Offshore","n/e"
"Wind Onshore","925"
"Total Grand capacity","4402"
