"Production Type","2022 [MW]"
"Biomass","1895"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1935"
"Fossil Hard coal","1682"
"Fossil Oil","1051"
"Fossil Oil shale","n/e"
"Fossil Peat","1116"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","3167"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","2794"
"Other","462"
"Other renewable","322"
"Solar","7"
"Waste","114"
"Wind Offshore","n/e"
"Wind Onshore","3184"
"Total Grand capacity","17729"
