"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ France (FR)","Generation - Solar  [MW] Intraday / France (FR)","Generation - Solar  [MW] Current / France (FR)","Generation - Wind Offshore  [MW] Day Ahead/ France (FR)","Generation - Wind Offshore  [MW] Intraday / France (FR)","Generation - Wind Offshore  [MW] Current / France (FR)","Generation - Wind Onshore  [MW] Day Ahead/ France (FR)","Generation - Wind Onshore  [MW] Intraday / France (FR)","Generation - Wind Onshore  [MW] Current / France (FR)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","2624","n/e","3062"
"01.01.2022 01:00 - 01.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","2595","n/e","2931"
"01.01.2022 02:00 - 01.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","2756","n/e","3008"
"01.01.2022 03:00 - 01.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","2917","n/e","3084"
"01.01.2022 04:00 - 01.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","3080","n/e","3160"
"01.01.2022 05:00 - 01.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","3319","n/e","3395"
"01.01.2022 06:00 - 01.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","3559","n/e","3632"
"01.01.2022 07:00 - 01.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","3799","n/e","3951"
"01.01.2022 08:00 - 01.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","3963","n/e","4677"
"01.01.2022 09:00 - 01.01.2022 10:00","227","n/e","231","n/e","n/e","n/e","4127","n/e","5379"
"01.01.2022 10:00 - 01.01.2022 11:00","1488","n/e","1598","n/e","n/e","n/e","4291","n/e","5848"
"01.01.2022 11:00 - 01.01.2022 12:00","3001","n/e","3225","n/e","n/e","n/e","4279","n/e","5787"
"01.01.2022 12:00 - 01.01.2022 13:00","3976","n/e","4232","n/e","n/e","n/e","4266","n/e","5691"
"01.01.2022 13:00 - 01.01.2022 14:00","4294","n/e","4458","n/e","n/e","n/e","4252","n/e","5579"
"01.01.2022 14:00 - 01.01.2022 15:00","3848","n/e","3948","n/e","n/e","n/e","4102","n/e","5106"
"01.01.2022 15:00 - 01.01.2022 16:00","2654","n/e","2654","n/e","n/e","n/e","3953","n/e","4627"
"01.01.2022 16:00 - 01.01.2022 17:00","1034","n/e","1030","n/e","n/e","n/e","3805","n/e","4142"
"01.01.2022 17:00 - 01.01.2022 18:00","57","n/e","55","n/e","n/e","n/e","4308","n/e","4446"
"01.01.2022 18:00 - 01.01.2022 19:00","0","n/e","0","n/e","n/e","n/e","4812","n/e","4744"
"01.01.2022 19:00 - 01.01.2022 20:00","0","n/e","0","n/e","n/e","n/e","5316","n/e","5040"
"01.01.2022 20:00 - 01.01.2022 21:00","0","n/e","0","n/e","n/e","n/e","5210","n/e","5274"
"01.01.2022 21:00 - 01.01.2022 22:00","0","n/e","0","n/e","n/e","n/e","5105","n/e","5509"
"01.01.2022 22:00 - 01.01.2022 23:00","0","n/e","0","n/e","n/e","n/e","5000","n/e","5746"
"01.01.2022 23:00 - 02.01.2022 00:00","0","n/e","0","n/e","n/e","n/e","5082","n/e","5611"
"02.01.2022 00:00 - 02.01.2022 01:00","0","n/e","0","n/e","n/e","n/e","4973","n/e","5470"
"02.01.2022 01:00 - 02.01.2022 02:00","0","n/e","0","n/e","n/e","n/e","4891","n/e","5593"
"02.01.2022 02:00 - 02.01.2022 03:00","0","n/e","0","n/e","n/e","n/e","5122","n/e","6018"
"02.01.2022 03:00 - 02.01.2022 04:00","0","n/e","0","n/e","n/e","n/e","5350","n/e","6442"
"02.01.2022 04:00 - 02.01.2022 05:00","0","n/e","0","n/e","n/e","n/e","5578","n/e","6863"
"02.01.2022 05:00 - 02.01.2022 06:00","0","n/e","0","n/e","n/e","n/e","5974","n/e","7082"
"02.01.2022 06:00 - 02.01.2022 07:00","0","n/e","0","n/e","n/e","n/e","6367","n/e","7300"
"02.01.2022 07:00 - 02.01.2022 08:00","0","n/e","0","n/e","n/e","n/e","6758","n/e","7109"
"02.01.2022 08:00 - 02.01.2022 09:00","0","n/e","0","n/e","n/e","n/e","7313","n/e","7528"
"02.01.2022 09:00 - 02.01.2022 10:00","207","n/e","189","n/e","n/e","n/e","7871","n/e","7918"
"02.01.2022 10:00 - 02.01.2022 11:00","1260","n/e","1184","n/e","n/e","n/e","8428","n/e","8924"
"02.01.2022 11:00 - 02.01.2022 12:00","2444","n/e","2347","n/e","n/e","n/e","9181","n/e","9197"
