"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Ireland (IE)","Generation - Solar  [MW] Intraday / Ireland (IE)","Generation - Solar  [MW] Current / Ireland (IE)","Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Offshore  [MW] Intraday / Ireland (IE)","Generation - Wind Offshore  [MW] Current / Ireland (IE)","Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)","Generation - Wind Onshore  [MW] Intraday / Ireland (IE)","Generation - Wind Onshore  [MW] Current / Ireland (IE)"
"01.01.2022 00:00 - 01.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","3554","n/e","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","3595","n/e","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","3688","n/e","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","3753","n/e","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","3760","n/e","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","3732","n/e","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","3650","n/e","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","3534","n/e","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","3421","n/e","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","3296","n/e","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","3178","n/e","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","3079","n/e","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","3010","n/e","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","2966","n/e","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","2907","n/e","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","2804","n/e","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","2645","n/e","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2450","n/e","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","2269","n/e","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","2162","n/e","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","2096","n/e","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","2060","n/e","n/e"
"01.01.2022 22:00 - 01.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","2071","n/e","n/e"
"01.01.2022 23:00 - 02.01.2022 00:00","n/e","n/e","n/e","N/A","n/e","n/e","2115","n/e","n/e"
"02.01.2022 00:00 - 02.01.2022 01:00","n/e","n/e","n/e","N/A","n/e","n/e","2174","n/e","n/e"
"02.01.2022 01:00 - 02.01.2022 02:00","n/e","n/e","n/e","N/A","n/e","n/e","1871","n/e","n/e"
"02.01.2022 02:00 - 02.01.2022 03:00","n/e","n/e","n/e","N/A","n/e","n/e","1795","n/e","n/e"
"02.01.2022 03:00 - 02.01.2022 04:00","n/e","n/e","n/e","N/A","n/e","n/e","1950","n/e","n/e"
"02.01.2022 04:00 - 02.01.2022 05:00","n/e","n/e","n/e","N/A","n/e","n/e","2042","n/e","n/e"
"02.01.2022 05:00 - 02.01.2022 06:00","n/e","n/e","n/e","N/A","n/e","n/e","2159","n/e","n/e"
"02.01.2022 06:00 - 02.01.2022 07:00","n/e","n/e","n/e","N/A","n/e","n/e","2256","n/e","n/e"
"02.01.2022 07:00 - 02.01.2022 08:00","n/e","n/e","n/e","N/A","n/e","n/e","2354","n/e","n/e"
"02.01.2022 08:00 - 02.01.2022 09:00","n/e","n/e","n/e","N/A","n/e","n/e","2461","n/e","n/e"
"02.01.2022 09:00 - 02.01.2022 10:00","n/e","n/e","n/e","N/A","n/e","n/e","2543","n/e","n/e"
"02.01.2022 10:00 - 02.01.2022 11:00","n/e","n/e","n/e","N/A","n/e","n/e","2588","n/e","n/e"
"02.01.2022 11:00 - 02.01.2022 12:00","n/e","n/e","n/e","N/A","n/e","n/e","2624","n/e","n/e"
"02.01.2022 12:00 - 02.01.2022 13:00","n/e","n/e","n/e","N/A","n/e","n/e","2682","n/e","n/e"
"02.01.2022 13:00 - 02.01.2022 14:00","n/e","n/e","n/e","N/A","n/e","n/e","2766","n/e","n/e"
"02.01.2022 14:00 - 02.01.2022 15:00","n/e","n/e","n/e","N/A","n/e","n/e","2866","n/e","n/e"
"02.01.2022 15:00 - 02.01.2022 16:00","n/e","n/e","n/e","N/A","n/e","n/e","2940","n/e","n/e"
"02.01.2022 16:00 - 02.01.2022 17:00","n/e","n/e","n/e","N/A","n/e","n/e","2973","n/e","n/e"
"02.01.2022 17:00 - 02.01.2022 18:00","n/e","n/e","n/e","N/A","n/e","n/e","2970","n/e","n/e"
"02.01.2022 18:00 - 02.01.2022 19:00","n/e","n/e","n/e","N/A","n/e","n/e","2956","n/e","n/e"
"02.01.2022 19:00 - 02.01.2022 20:00","n/e","n/e","n/e","N/A","n/e","n/e","2962","n/e","n/e"
"02.01.2022 20:00 - 02.01.2022 21:00","n/e","n/e","n/e","N/A","n/e","n/e","2992","n/e","n/e"
"02.01.2022 21:00 - 02.01.2022 22:00","n/e","n/e","n/e","N/A","n/e","n/e","3034","n/e","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","n/e","n/e","n/e","N/A","n/e","n/e","3087","n/e","n/e"
