"Production Type","2022 [MW]"
"Biomass","1548"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","2041"
"Fossil Gas","41961"
"Fossil Hard coal","6376"
"Fossil Oil","1490"
"Fossil Oil shale","n/e"
"Fossil Peat","0"
"Geothermal","869"
"Hydro Pumped Storage","7256"
"Hydro Run-of-river and poundage","10507"
"Hydro Water Reservoir","4441"
"Marine","0"
"Nuclear","N/A"
"Other","825"
"Other renewable","0"
"Solar","5137"
"Waste","122"
"Wind Offshore","0"
"Wind Onshore","10658"
"Total Grand capacity","93231"
