"Production Type","2022 [MW]"
"Biomass","164"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1162"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","1588"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","14"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","87"
"Total Grand capacity","3015"
