"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Lithuania (LT)","Generation - Solar  [MW] Intraday / Lithuania (LT)","Generation - Solar  [MW] Current / Lithuania (LT)","Generation - Wind Offshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Offshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Offshore  [MW] Current / Lithuania (LT)","Generation - Wind Onshore  [MW] Day Ahead/ Lithuania (LT)","Generation - Wind Onshore  [MW] Intraday / Lithuania (LT)","Generation - Wind Onshore  [MW] Current / Lithuania (LT)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","0","n/e","n/e","n/e","191","214","187"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","0","n/e","n/e","n/e","218","220","187"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","0","n/e","n/e","n/e","234","225","212"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","0","n/e","n/e","n/e","255","247","229"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","0","n/e","n/e","n/e","266","258","245"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","0","n/e","n/e","n/e","300","274","251"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","0","n/e","n/e","n/e","318","283","259"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","0","n/e","n/e","n/e","320","303","286"
"01.01.2022 08:00 - 01.01.2022 09:00","0","1","1","n/e","n/e","n/e","326","318","289"
"01.01.2022 09:00 - 01.01.2022 10:00","1","3","3","n/e","n/e","n/e","336","310","299"
"01.01.2022 10:00 - 01.01.2022 11:00","2","5","4","n/e","n/e","n/e","330","302","296"
"01.01.2022 11:00 - 01.01.2022 12:00","3","5","5","n/e","n/e","n/e","317","293","288"
"01.01.2022 12:00 - 01.01.2022 13:00","3","4","4","n/e","n/e","n/e","292","264","260"
"01.01.2022 13:00 - 01.01.2022 14:00","2","3","2","n/e","n/e","n/e","272","241","236"
"01.01.2022 14:00 - 01.01.2022 15:00","1","1","1","n/e","n/e","n/e","252","210","204"
"01.01.2022 15:00 - 01.01.2022 16:00","0","0","0","n/e","n/e","n/e","230","173","168"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","0","n/e","n/e","n/e","202","140","137"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0","n/e","n/e","n/e","174","113","113"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0","n/e","n/e","n/e","155","88","92"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","0","n/e","n/e","n/e","138","56","61"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","0","n/e","n/e","n/e","123","30","34"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","0","n/e","n/e","n/e","113","17","19"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","0","n/e","n/e","n/e","109","9","12"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","0","n/e","n/e","n/e","111","11","9"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","0","n/e","n/e","n/e","32","20","17"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","0","n/e","n/e","n/e","62","42","36"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","0","n/e","n/e","n/e","100","73","72"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","0","n/e","n/e","n/e","145","112","101"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","0","n/e","n/e","n/e","194","149","125"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","0","n/e","n/e","n/e","238","190","169"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","0","n/e","n/e","n/e","275","247","226"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","0","n/e","n/e","n/e","321","293","259"
"02.01.2022 08:00 - 02.01.2022 09:00","0","1","1","n/e","n/e","n/e","337","318","292"
"02.01.2022 09:00 - 02.01.2022 10:00","2","2","2","n/e","n/e","n/e","324","312","312"
"02.01.2022 10:00 - 02.01.2022 11:00","2","3","3","n/e","n/e","n/e","316","289","296"
"02.01.2022 11:00 - 02.01.2022 12:00","2","3","3","n/e","n/e","n/e","297","262","272"
"02.01.2022 12:00 - 02.01.2022 13:00","2","2","2","n/e","n/e","n/e","280","248","254"
"02.01.2022 13:00 - 02.01.2022 14:00","2","1","1","n/e","n/e","n/e","257","233","233"
"02.01.2022 14:00 - 02.01.2022 15:00","0","0","0","n/e","n/e","n/e","230","217","210"
"02.01.2022 15:00 - 02.01.2022 16:00","0","0","0","n/e","n/e","n/e","211","202","191"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0","0","n/e","n/e","n/e","192","191","178"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","0","n/e","n/e","n/e","170","185","173"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","0","n/e","n/e","n/e","156","174","164"
