"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"01.01.2022 00:00 - 01.01.2022 00:15","328","447"
"01.01.2022 00:15 - 01.01.2022 00:30","322","438"
"01.01.2022 00:30 - 01.01.2022 00:45","319","430"
"01.01.2022 00:45 - 01.01.2022 01:00","315","427"
"01.01.2022 01:00 - 01.01.2022 01:15","319","426"
"01.01.2022 01:15 - 01.01.2022 01:30","315","426"
"01.01.2022 01:30 - 01.01.2022 01:45","312","421"
"01.01.2022 01:45 - 01.01.2022 02:00","309","416"
"01.01.2022 02:00 - 01.01.2022 02:15","313","413"
"01.01.2022 02:15 - 01.01.2022 02:30","312","409"
"01.01.2022 02:30 - 01.01.2022 02:45","312","406"
"01.01.2022 02:45 - 01.01.2022 03:00","312","401"
"01.01.2022 03:00 - 01.01.2022 03:15","315","402"
"01.01.2022 03:15 - 01.01.2022 03:30","316","402"
"01.01.2022 03:30 - 01.01.2022 03:45","315","400"
"01.01.2022 03:45 - 01.01.2022 04:00","315","397"
"01.01.2022 04:00 - 01.01.2022 04:15","311","396"
"01.01.2022 04:15 - 01.01.2022 04:30","311","394"
"01.01.2022 04:30 - 01.01.2022 04:45","312","396"
"01.01.2022 04:45 - 01.01.2022 05:00","311","395"
"01.01.2022 05:00 - 01.01.2022 05:15","297","397"
"01.01.2022 05:15 - 01.01.2022 05:30","293","396"
"01.01.2022 05:30 - 01.01.2022 05:45","291","396"
"01.01.2022 05:45 - 01.01.2022 06:00","294","396"
"01.01.2022 06:00 - 01.01.2022 06:15","304","397"
"01.01.2022 06:15 - 01.01.2022 06:30","307","397"
"01.01.2022 06:30 - 01.01.2022 06:45","310","399"
"01.01.2022 06:45 - 01.01.2022 07:00","315","403"
"01.01.2022 07:00 - 01.01.2022 07:15","314","407"
"01.01.2022 07:15 - 01.01.2022 07:30","319","407"
"01.01.2022 07:30 - 01.01.2022 07:45","325","409"
"01.01.2022 07:45 - 01.01.2022 08:00","328","414"
"01.01.2022 08:00 - 01.01.2022 08:15","330","418"
"01.01.2022 08:15 - 01.01.2022 08:30","333","414"
"01.01.2022 08:30 - 01.01.2022 08:45","334","406"
"01.01.2022 08:45 - 01.01.2022 09:00","336","410"
"01.01.2022 09:00 - 01.01.2022 09:15","340","415"
"01.01.2022 09:15 - 01.01.2022 09:30","343","418"
"01.01.2022 09:30 - 01.01.2022 09:45","347","422"
"01.01.2022 09:45 - 01.01.2022 10:00","353","430"
"01.01.2022 10:00 - 01.01.2022 10:15","358","436"
"01.01.2022 10:15 - 01.01.2022 10:30","360","440"
"01.01.2022 10:30 - 01.01.2022 10:45","364","445"
"01.01.2022 10:45 - 01.01.2022 11:00","367","451"
"01.01.2022 11:00 - 01.01.2022 11:15","373","459"
"01.01.2022 11:15 - 01.01.2022 11:30","370","465"
"01.01.2022 11:30 - 01.01.2022 11:45","367","473"
"01.01.2022 11:45 - 01.01.2022 12:00","365","482"
"01.01.2022 12:00 - 01.01.2022 12:15","362","484"
"01.01.2022 12:15 - 01.01.2022 12:30","359","486"
