"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"01.01.2022 00:00 - 01.01.2022 00:30","N/A","460"
"01.01.2022 00:30 - 01.01.2022 01:00","N/A","443"
"01.01.2022 01:00 - 01.01.2022 01:30","N/A","422"
"01.01.2022 01:30 - 01.01.2022 02:00","N/A","400"
"01.01.2022 02:00 - 01.01.2022 02:30","N/A","381"
"01.01.2022 02:30 - 01.01.2022 03:00","N/A","369"
"01.01.2022 03:00 - 01.01.2022 03:30","N/A","358"
"01.01.2022 03:30 - 01.01.2022 04:00","N/A","353"
"01.01.2022 04:00 - 01.01.2022 04:30","N/A","350"
"01.01.2022 04:30 - 01.01.2022 05:00","N/A","348"
"01.01.2022 05:00 - 01.01.2022 05:30","N/A","352"
"01.01.2022 05:30 - 01.01.2022 06:00","N/A","354"
"01.01.2022 06:00 - 01.01.2022 06:30","N/A","353"
"01.01.2022 06:30 - 01.01.2022 07:00","N/A","356"
"01.01.2022 07:00 - 01.01.2022 07:30","N/A","353"
"01.01.2022 07:30 - 01.01.2022 08:00","N/A","346"
"01.01.2022 08:00 - 01.01.2022 08:30","N/A","350"
"01.01.2022 08:30 - 01.01.2022 09:00","N/A","339"
"01.01.2022 09:00 - 01.01.2022 09:30","N/A","354"
"01.01.2022 09:30 - 01.01.2022 10:00","N/A","366"
"01.01.2022 10:00 - 01.01.2022 10:30","N/A","350"
"01.01.2022 10:30 - 01.01.2022 11:00","N/A","347"
"01.01.2022 11:00 - 01.01.2022 11:30","N/A","340"
"01.01.2022 11:30 - 01.01.2022 12:00","N/A","326"
"01.01.2022 12:00 - 01.01.2022 12:30","N/A","342"
"01.01.2022 12:30 - 01.01.2022 13:00","N/A","343"
"01.01.2022 13:00 - 01.01.2022 13:30","N/A","343"
"01.01.2022 13:30 - 01.01.2022 14:00","N/A","344"
"01.01.2022 14:00 - 01.01.2022 14:30","N/A","366"
"01.01.2022 14:30 - 01.01.2022 15:00","N/A","399"
"01.01.2022 15:00 - 01.01.2022 15:30","N/A","431"
"01.01.2022 15:30 - 01.01.2022 16:00","N/A","468"
"01.01.2022 16:00 - 01.01.2022 16:30","N/A","515"
"01.01.2022 16:30 - 01.01.2022 17:00","N/A","557"
"01.01.2022 17:00 - 01.01.2022 17:30","N/A","581"
"01.01.2022 17:30 - 01.01.2022 18:00","N/A","591"
"01.01.2022 18:00 - 01.01.2022 18:30","N/A","597"
"01.01.2022 18:30 - 01.01.2022 19:00","N/A","596"
"01.01.2022 19:00 - 01.01.2022 19:30","N/A","592"
"01.01.2022 19:30 - 01.01.2022 20:00","N/A","589"
"01.01.2022 20:00 - 01.01.2022 20:30","N/A","581"
"01.01.2022 20:30 - 01.01.2022 21:00","N/A","577"
"01.01.2022 21:00 - 01.01.2022 21:30","N/A","562"
"01.01.2022 21:30 - 01.01.2022 22:00","N/A","540"
"01.01.2022 22:00 - 01.01.2022 22:30","N/A","519"
"01.01.2022 22:30 - 01.01.2022 23:00","N/A","500"
"01.01.2022 23:00 - 01.01.2022 23:30","N/A","474"
"01.01.2022 23:30 - 02.01.2022 00:00","N/A","440"
"02.01.2022 00:00 - 02.01.2022 00:30","N/A","415"
"02.01.2022 00:30 - 02.01.2022 01:00","N/A","392"
"02.01.2022 01:00 - 02.01.2022 01:30","N/A","375"
"02.01.2022 01:30 - 02.01.2022 02:00","N/A","363"
"02.01.2022 02:00 - 02.01.2022 02:30","N/A","353"
"02.01.2022 02:30 - 02.01.2022 03:00","N/A","345"
"02.01.2022 03:00 - 02.01.2022 03:30","N/A","343"
"02.01.2022 03:30 - 02.01.2022 04:00","N/A","341"
"02.01.2022 04:00 - 02.01.2022 04:30","N/A","344"
"02.01.2022 04:30 - 02.01.2022 05:00","N/A","348"
"02.01.2022 05:00 - 02.01.2022 05:30","N/A","358"
"02.01.2022 05:30 - 02.01.2022 06:00","N/A","368"
"02.01.2022 06:00 - 02.01.2022 06:30","N/A","367"
"02.01.2022 06:30 - 02.01.2022 07:00","N/A","373"
"02.01.2022 07:00 - 02.01.2022 07:30","N/A","365"
