"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Slovakia (SK)","Actual Total Load [MW] - Slovakia (SK)"
"01.01.2022 00:00 - 01.01.2022 01:00","2830","2775"
"01.01.2022 01:00 - 01.01.2022 02:00","2740","2650"
"01.01.2022 02:00 - 01.01.2022 03:00","2650","2629"
"01.01.2022 03:00 - 01.01.2022 04:00","2630","2560"
"01.01.2022 04:00 - 01.01.2022 05:00","2630","2544"
"01.01.2022 05:00 - 01.01.2022 06:00","2640","2544"
"01.01.2022 06:00 - 01.01.2022 07:00","2670","2601"
"01.01.2022 07:00 - 01.01.2022 08:00","2700","2632"
"01.01.2022 08:00 - 01.01.2022 09:00","2830","2720"
"01.01.2022 09:00 - 01.01.2022 10:00","2930","2834"
"01.01.2022 10:00 - 01.01.2022 11:00","3180","2863"
"01.01.2022 11:00 - 01.01.2022 12:00","3110","3001"
"01.01.2022 12:00 - 01.01.2022 13:00","3080","2953"
"01.01.2022 13:00 - 01.01.2022 14:00","3050","2916"
"01.01.2022 14:00 - 01.01.2022 15:00","2980","2905"
"01.01.2022 15:00 - 01.01.2022 16:00","3130","2881"
"01.01.2022 16:00 - 01.01.2022 17:00","3190","3063"
"01.01.2022 17:00 - 01.01.2022 18:00","3170","3039"
"01.01.2022 18:00 - 01.01.2022 19:00","3160","3088"
"01.01.2022 19:00 - 01.01.2022 20:00","3150","3083"
"01.01.2022 20:00 - 01.01.2022 21:00","3080","3062"
"01.01.2022 21:00 - 01.01.2022 22:00","2990","2958"
"01.01.2022 22:00 - 01.01.2022 23:00","2880","2848"
"01.01.2022 23:00 - 02.01.2022 00:00","2800","2740"
"02.01.2022 00:00 - 02.01.2022 01:00","2630","2617"
"02.01.2022 01:00 - 02.01.2022 02:00","2570","2514"
"02.01.2022 02:00 - 02.01.2022 03:00","2510","2532"
"02.01.2022 03:00 - 02.01.2022 04:00","2510","2515"
"02.01.2022 04:00 - 02.01.2022 05:00","2540","2548"
"02.01.2022 05:00 - 02.01.2022 06:00","2580","2606"
"02.01.2022 06:00 - 02.01.2022 07:00","2640","2706"
"02.01.2022 07:00 - 02.01.2022 08:00","2740","2777"
"02.01.2022 08:00 - 02.01.2022 09:00","2980","2947"
"02.01.2022 09:00 - 02.01.2022 10:00","3170","3161"
"02.01.2022 10:00 - 02.01.2022 11:00","3370","3196"
"02.01.2022 11:00 - 02.01.2022 12:00","3320","3337"
"02.01.2022 12:00 - 02.01.2022 13:00","3200","3233"
"02.01.2022 13:00 - 02.01.2022 14:00","3130","3159"
"02.01.2022 14:00 - 02.01.2022 15:00","3040","3119"
"02.01.2022 15:00 - 02.01.2022 16:00","3170","3077"
"02.01.2022 16:00 - 02.01.2022 17:00","3220","3286"
"02.01.2022 17:00 - 02.01.2022 18:00","3210","3307"
"02.01.2022 18:00 - 02.01.2022 19:00","3200","3301"
"02.01.2022 19:00 - 02.01.2022 20:00","3190","3283"
"02.01.2022 20:00 - 02.01.2022 21:00","3040","3223"
"02.01.2022 21:00 - 02.01.2022 22:00","2920","3094"
"02.01.2022 22:00 - 02.01.2022 23:00","2810","2933"
"02.01.2022 23:00 - 03.01.2022 00:00","2750","2826"
"03.01.2022 00:00 - 03.01.2022 01:00","2620","2758"
"03.01.2022 01:00 - 03.01.2022 02:00","2590","2687"
"03.01.2022 02:00 - 03.01.2022 03:00","2580","2693"
"03.01.2022 03:00 - 03.01.2022 04:00","2600","2700"
"03.01.2022 04:00 - 03.01.2022 05:00","2680","2745"
"03.01.2022 05:00 - 03.01.2022 06:00","2970","2908"
"03.01.2022 06:00 - 03.01.2022 07:00","3200","3250"
"03.01.2022 07:00 - 03.01.2022 08:00","3400","3453"
"03.01.2022 08:00 - 03.01.2022 09:00","3650","3628"
"03.01.2022 09:00 - 03.01.2022 10:00","3570","3764"
"03.01.2022 10:00 - 03.01.2022 11:00","3680","3731"
"03.01.2022 11:00 - 03.01.2022 12:00","3790","3829"
"03.01.2022 12:00 - 03.01.2022 13:00","3720","3806"
"03.01.2022 13:00 - 03.01.2022 14:00","3620","3748"
"03.01.2022 14:00 - 03.01.2022 15:00","3550","3685"
"03.01.2022 15:00 - 03.01.2022 16:00","3640","3627"
"03.01.2022 16:00 - 03.01.2022 17:00","3690","3791"
"03.01.2022 17:00 - 03.01.2022 18:00","3630","3753"
"03.01.2022 18:00 - 03.01.2022 19:00","3610","3741"
"03.01.2022 19:00 - 03.01.2022 20:00","3570","3698"
"03.01.2022 20:00 - 03.01.2022 21:00","3420","3602"
"03.01.2022 21:00 - 03.01.2022 22:00","3230","3417"
"03.01.2022 22:00 - 03.01.2022 23:00","3070","3249"
"03.01.2022 23:00 - 04.01.2022 00:00","2990","3126"
