"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Intraday / Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Intraday / Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Intraday / Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"01.01.2022 00:00 - 01.01.2022 01:00","14","12","12","n/e","n/e","n/e","6304","6302","6302"
"01.01.2022 01:00 - 01.01.2022 02:00","10","10","10","n/e","n/e","n/e","6349","6427","6427"
"01.01.2022 02:00 - 01.01.2022 03:00","9","6","6","n/e","n/e","n/e","6353","6463","6463"
"01.01.2022 03:00 - 01.01.2022 04:00","8","7","7","n/e","n/e","n/e","6241","6282","6282"
"01.01.2022 04:00 - 01.01.2022 05:00","8","8","8","n/e","n/e","n/e","6258","5860","5860"
"01.01.2022 05:00 - 01.01.2022 06:00","7","7","7","n/e","n/e","n/e","6229","5889","5889"
"01.01.2022 06:00 - 01.01.2022 07:00","6","8","8","n/e","n/e","n/e","6185","5710","5710"
"01.01.2022 07:00 - 01.01.2022 08:00","8","8","8","n/e","n/e","n/e","6108","5640","5640"
"01.01.2022 08:00 - 01.01.2022 09:00","86","106","106","n/e","n/e","n/e","6066","5720","5540"
"01.01.2022 09:00 - 01.01.2022 10:00","1787","1911","1910","n/e","n/e","n/e","5986","5831","5704"
"01.01.2022 10:00 - 01.01.2022 11:00","4666","4894","4942","n/e","n/e","n/e","5748","5754","5270"
"01.01.2022 11:00 - 01.01.2022 12:00","6518","6745","7001","n/e","n/e","n/e","5437","5595","4920"
"01.01.2022 12:00 - 01.01.2022 13:00","7296","7575","7837","n/e","n/e","n/e","5075","5317","4504"
"01.01.2022 13:00 - 01.01.2022 14:00","7510","7790","7915","n/e","n/e","n/e","4916","5119","4330"
"01.01.2022 14:00 - 01.01.2022 15:00","7559","7748","7628","n/e","n/e","n/e","4889","5018","4124"
"01.01.2022 15:00 - 01.01.2022 16:00","7041","7162","7185","n/e","n/e","n/e","4972","5035","4749"
"01.01.2022 16:00 - 01.01.2022 17:00","4920","5031","4857","n/e","n/e","n/e","5172","5190","4878"
"01.01.2022 17:00 - 01.01.2022 18:00","1905","1957","1920","n/e","n/e","n/e","5453","5384","5339"
"01.01.2022 18:00 - 01.01.2022 19:00","191","206","227","n/e","n/e","n/e","5782","5596","5650"
"01.01.2022 19:00 - 01.01.2022 20:00","41","42","52","n/e","n/e","n/e","5929","5848","6112"
"01.01.2022 20:00 - 01.01.2022 21:00","15","21","36","n/e","n/e","n/e","6087","5928","6509"
"01.01.2022 21:00 - 01.01.2022 22:00","15","20","36","n/e","n/e","n/e","6309","6059","6869"
"01.01.2022 22:00 - 01.01.2022 23:00","13","14","24","n/e","n/e","n/e","6316","6181","6945"
"01.01.2022 23:00 - 02.01.2022 00:00","13","10","19","n/e","n/e","n/e","6167","6290","6700"
"02.01.2022 00:00 - 02.01.2022 01:00","14","22","22","n/e","n/e","n/e","6667","6395","6395"
"02.01.2022 01:00 - 02.01.2022 02:00","15","18","18","n/e","n/e","n/e","6545","6440","6440"
"02.01.2022 02:00 - 02.01.2022 03:00","14","12","12","n/e","n/e","n/e","6261","6135","6135"
"02.01.2022 03:00 - 02.01.2022 04:00","11","6","6","n/e","n/e","n/e","5954","5942","5942"
"02.01.2022 04:00 - 02.01.2022 05:00","5","4","4","n/e","n/e","n/e","5599","5768","5768"
"02.01.2022 05:00 - 02.01.2022 06:00","9","2","2","n/e","n/e","n/e","5312","5721","5721"
"02.01.2022 06:00 - 02.01.2022 07:00","9","2","2","n/e","n/e","n/e","5101","5612","5612"
"02.01.2022 07:00 - 02.01.2022 08:00","11","0","0","n/e","n/e","n/e","4936","5367","5367"
"02.01.2022 08:00 - 02.01.2022 09:00","78","84","84","n/e","n/e","n/e","4800","5241","5164"
"02.01.2022 09:00 - 02.01.2022 10:00","1297","1306","1298","n/e","n/e","n/e","4675","5098","4819"
"02.01.2022 10:00 - 02.01.2022 11:00","4031","3803","4145","n/e","n/e","n/e","4413","4695","4498"
"02.01.2022 11:00 - 02.01.2022 12:00","5225","5387","5529","n/e","n/e","n/e","4073","4323","4002"
"02.01.2022 12:00 - 02.01.2022 13:00","6017","6226","6476","n/e","n/e","n/e","3703","3961","3766"
"02.01.2022 13:00 - 02.01.2022 14:00","6555","6749","7096","n/e","n/e","n/e","3424","3580","3820"
"02.01.2022 14:00 - 02.01.2022 15:00","6465","6668","6934","n/e","n/e","n/e","3243","3372","3565"
"02.01.2022 15:00 - 02.01.2022 16:00","5752","5940","6265","n/e","n/e","n/e","3055","3380","3258"
"02.01.2022 16:00 - 02.01.2022 17:00","4093","4165","4444","n/e","n/e","n/e","3008","3337","2983"
"02.01.2022 17:00 - 02.01.2022 18:00","1559","1630","1713","n/e","n/e","n/e","3022","3252","2675"
"02.01.2022 18:00 - 02.01.2022 19:00","152","154","175","n/e","n/e","n/e","3102","3234","2645"
"02.01.2022 19:00 - 02.01.2022 20:00","33","52","35","n/e","n/e","n/e","3108","3175","2623"
"02.01.2022 20:00 - 02.01.2022 21:00","26","38","13","n/e","n/e","n/e","3098","3164","2525"
"02.01.2022 21:00 - 02.01.2022 22:00","23","28","13","n/e","n/e","n/e","3089","3214","2570"
"02.01.2022 22:00 - 02.01.2022 23:00","20","24","10","n/e","n/e","n/e","3132","3302","2654"
"02.01.2022 23:00 - 03.01.2022 00:00","18","21","10","n/e","n/e","n/e","3228","3377","2951"
"03.01.2022 00:00 - 03.01.2022 01:00","17","10","10","n/e","n/e","n/e","3191","3338","3338"
"03.01.2022 01:00 - 03.01.2022 02:00","17","12","12","n/e","n/e","n/e","3358","3413","3413"
"03.01.2022 02:00 - 03.01.2022 03:00","16","11","11","n/e","n/e","n/e","3611","3635","3635"
"03.01.2022 03:00 - 03.01.2022 04:00","14","10","10","n/e","n/e","n/e","3822","3691","3691"
"03.01.2022 04:00 - 03.01.2022 05:00","14","10","10","n/e","n/e","n/e","4051","3769","3769"
"03.01.2022 05:00 - 03.01.2022 06:00","14","10","10","n/e","n/e","n/e","4270","3923","3923"
"03.01.2022 06:00 - 03.01.2022 07:00","12","10","10","n/e","n/e","n/e","4474","3989","3989"
"03.01.2022 07:00 - 03.01.2022 08:00","16","12","12","n/e","n/e","n/e","4680","4396","4396"
"03.01.2022 08:00 - 03.01.2022 09:00","119","84","84","n/e","n/e","n/e","4896","4820","4943"
"03.01.2022 09:00 - 03.01.2022 10:00","1952","1810","1803","n/e","n/e","n/e","5142","5177","5266"
"03.01.2022 10:00 - 03.01.2022 11:00","5243","4977","4967","n/e","n/e","n/e","5184","5348","5248"
"03.01.2022 11:00 - 03.01.2022 12:00","6833","6650","6658","n/e","n/e","n/e","5133","5367","5122"
"03.01.2022 12:00 - 03.01.2022 13:00","7592","7386","7593","n/e","n/e","n/e","5061","5394","5312"
"03.01.2022 13:00 - 03.01.2022 14:00","7897","7613","7725","n/e","n/e","n/e","5308","5611","5933"
"03.01.2022 14:00 - 03.01.2022 15:00","7958","7629","7610","n/e","n/e","n/e","5657","5924","6349"
