"Production Type","2022 [MW]"
"Biomass","702"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","0"
"Fossil Gas","29927"
"Fossil Hard coal","4642"
"Fossil Oil","669"
"Fossil Oil shale","0"
"Fossil Peat","0"
"Geothermal","0"
"Hydro Pumped Storage","5695"
"Hydro Run-of-river and poundage","1155"
"Hydro Water Reservoir","19187"
"Marine","0"
"Nuclear","7117"
"Other","118"
"Other renewable","272"
"Solar","14640"
"Waste","565"
"Wind Offshore","0"
"Wind Onshore","27735"
"Total Grand capacity","112424"
