"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Croatia (HR)","Generation - Solar  [MW] Intraday / Croatia (HR)","Generation - Solar  [MW] Current / Croatia (HR)","Generation - Wind Offshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Offshore  [MW] Intraday / Croatia (HR)","Generation - Wind Offshore  [MW] Current / Croatia (HR)","Generation - Wind Onshore  [MW] Day Ahead/ Croatia (HR)","Generation - Wind Onshore  [MW] Intraday / Croatia (HR)","Generation - Wind Onshore  [MW] Current / Croatia (HR)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","0","n/e","n/e","n/e","48","88","88"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","0","n/e","n/e","n/e","53","78","78"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","0","n/e","n/e","n/e","62","72","72"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","0","n/e","n/e","n/e","71","71","71"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","0","n/e","n/e","n/e","89","89","89"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","0","n/e","n/e","n/e","122","122","122"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","0","n/e","n/e","n/e","177","177","177"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","0","n/e","n/e","n/e","229","229","229"
"01.01.2022 08:00 - 01.01.2022 09:00","6","6","6","n/e","n/e","n/e","281","281","281"
"01.01.2022 09:00 - 01.01.2022 10:00","15","15","15","n/e","n/e","n/e","305","305","305"
"01.01.2022 10:00 - 01.01.2022 11:00","23","23","23","n/e","n/e","n/e","289","289","289"
"01.01.2022 11:00 - 01.01.2022 12:00","27","27","27","n/e","n/e","n/e","253","253","253"
"01.01.2022 12:00 - 01.01.2022 13:00","26","26","26","n/e","n/e","n/e","213","213","213"
"01.01.2022 13:00 - 01.01.2022 14:00","21","21","21","n/e","n/e","n/e","173","173","173"
"01.01.2022 14:00 - 01.01.2022 15:00","13","13","13","n/e","n/e","n/e","159","159","149"
"01.01.2022 15:00 - 01.01.2022 16:00","4","4","4","n/e","n/e","n/e","156","156","149"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","0","n/e","n/e","n/e","168","168","123"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0","n/e","n/e","n/e","185","185","128"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0","n/e","n/e","n/e","200","200","102"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","0","n/e","n/e","n/e","206","206","97"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","0","n/e","n/e","n/e","211","211","113"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","0","n/e","n/e","n/e","215","215","109"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","0","n/e","n/e","n/e","211","211","166"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","0","n/e","n/e","n/e","210","210","185"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","0","n/e","n/e","n/e","192","191","191"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","0","n/e","n/e","n/e","177","156","156"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","0","n/e","n/e","n/e","160","124","124"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","0","n/e","n/e","n/e","141","100","100"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","0","n/e","n/e","n/e","120","79","79"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","0","n/e","n/e","n/e","95","64","64"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","0","n/e","n/e","n/e","72","53","53"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","0","n/e","n/e","n/e","58","49","49"
"02.01.2022 08:00 - 02.01.2022 09:00","5","5","5","n/e","n/e","n/e","41","37","37"
"02.01.2022 09:00 - 02.01.2022 10:00","15","15","15","n/e","n/e","n/e","26","27","27"
"02.01.2022 10:00 - 02.01.2022 11:00","22","22","22","n/e","n/e","n/e","23","23","23"
"02.01.2022 11:00 - 02.01.2022 12:00","26","26","26","n/e","n/e","n/e","28","28","28"
"02.01.2022 12:00 - 02.01.2022 13:00","25","25","25","n/e","n/e","n/e","36","37","37"
"02.01.2022 13:00 - 02.01.2022 14:00","21","21","21","n/e","n/e","n/e","47","47","47"
"02.01.2022 14:00 - 02.01.2022 15:00","13","13","13","n/e","n/e","n/e","56","56","56"
"02.01.2022 15:00 - 02.01.2022 16:00","4","4","4","n/e","n/e","n/e","63","63","63"
