"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Denmark (DK)","Actual Total Load [MW] - Denmark (DK)"
"01.01.2022 00:00 - 01.01.2022 01:00","3410","3415"
"01.01.2022 01:00 - 01.01.2022 02:00","3302","3314"
"01.01.2022 02:00 - 01.01.2022 03:00","3169","3218"
"01.01.2022 03:00 - 01.01.2022 04:00","3095","3126"
"01.01.2022 04:00 - 01.01.2022 05:00","3036","3080"
"01.01.2022 05:00 - 01.01.2022 06:00","3036","3044"
"01.01.2022 06:00 - 01.01.2022 07:00","3126","3130"
"01.01.2022 07:00 - 01.01.2022 08:00","3243","3238"
"01.01.2022 08:00 - 01.01.2022 09:00","3361","3378"
"01.01.2022 09:00 - 01.01.2022 10:00","3534","3537"
"01.01.2022 10:00 - 01.01.2022 11:00","3736","3714"
"01.01.2022 11:00 - 01.01.2022 12:00","3855","3818"
"01.01.2022 12:00 - 01.01.2022 13:00","3880","3893"
"01.01.2022 13:00 - 01.01.2022 14:00","3898","3943"
"01.01.2022 14:00 - 01.01.2022 15:00","3945","3915"
"01.01.2022 15:00 - 01.01.2022 16:00","3973","3988"
"01.01.2022 16:00 - 01.01.2022 17:00","4241","4213"
"01.01.2022 17:00 - 01.01.2022 18:00","4480","4473"
"01.01.2022 18:00 - 01.01.2022 19:00","4373","4407"
"01.01.2022 19:00 - 01.01.2022 20:00","4151","4133"
"01.01.2022 20:00 - 01.01.2022 21:00","3920","3970"
"01.01.2022 21:00 - 01.01.2022 22:00","3781","3821"
"01.01.2022 22:00 - 01.01.2022 23:00","3681","3619"
"01.01.2022 23:00 - 02.01.2022 00:00","3522","3462"
"02.01.2022 00:00 - 02.01.2022 01:00","3351","3351"
"02.01.2022 01:00 - 02.01.2022 02:00","3234","3173"
"02.01.2022 02:00 - 02.01.2022 03:00","3176","3128"
"02.01.2022 03:00 - 02.01.2022 04:00","3172","3093"
"02.01.2022 04:00 - 02.01.2022 05:00","3137","3063"
"02.01.2022 05:00 - 02.01.2022 06:00","3159","3149"
"02.01.2022 06:00 - 02.01.2022 07:00","3296","3260"
"02.01.2022 07:00 - 02.01.2022 08:00","3530","3455"
"02.01.2022 08:00 - 02.01.2022 09:00","3769","3722"
"02.01.2022 09:00 - 02.01.2022 10:00","3962","3905"
"02.01.2022 10:00 - 02.01.2022 11:00","4085","4097"
"02.01.2022 11:00 - 02.01.2022 12:00","4181","4167"
"02.01.2022 12:00 - 02.01.2022 13:00","4196","4198"
"02.01.2022 13:00 - 02.01.2022 14:00","4186","4212"
"02.01.2022 14:00 - 02.01.2022 15:00","4182","4191"
"02.01.2022 15:00 - 02.01.2022 16:00","4283","4301"
"02.01.2022 16:00 - 02.01.2022 17:00","4570","4521"
"02.01.2022 17:00 - 02.01.2022 18:00","4877","4873"
