"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Estonia (EE)","Actual Total Load [MW] - Estonia (EE)"
"01.01.2022 00:00 - 01.01.2022 01:00","989","892"
"01.01.2022 01:00 - 01.01.2022 02:00","956","874"
"01.01.2022 02:00 - 01.01.2022 03:00","949","860"
"01.01.2022 03:00 - 01.01.2022 04:00","949","843"
"01.01.2022 04:00 - 01.01.2022 05:00","956","845"
"01.01.2022 05:00 - 01.01.2022 06:00","991","852"
"01.01.2022 06:00 - 01.01.2022 07:00","1029","868"
"01.01.2022 07:00 - 01.01.2022 08:00","1074","875"
"01.01.2022 08:00 - 01.01.2022 09:00","1095","882"
"01.01.2022 09:00 - 01.01.2022 10:00","1130","925"
"01.01.2022 10:00 - 01.01.2022 11:00","1151","978"
"01.01.2022 11:00 - 01.01.2022 12:00","1156","988"
"01.01.2022 12:00 - 01.01.2022 13:00","1155","992"
"01.01.2022 13:00 - 01.01.2022 14:00","1155","980"
"01.01.2022 14:00 - 01.01.2022 15:00","1186","984"
"01.01.2022 15:00 - 01.01.2022 16:00","1215","1052"
"01.01.2022 16:00 - 01.01.2022 17:00","1196","1069"
"01.01.2022 17:00 - 01.01.2022 18:00","1185","1077"
"01.01.2022 18:00 - 01.01.2022 19:00","1167","1064"
"01.01.2022 19:00 - 01.01.2022 20:00","1150","1053"
"01.01.2022 20:00 - 01.01.2022 21:00","1119","1031"
"01.01.2022 21:00 - 01.01.2022 22:00","1069","997"
"01.01.2022 22:00 - 01.01.2022 23:00","1030","968"
"01.01.2022 23:00 - 02.01.2022 00:00","1025","937"
"02.01.2022 00:00 - 02.01.2022 01:00","1003","917"
"02.01.2022 01:00 - 02.01.2022 02:00","986","900"
"02.01.2022 02:00 - 02.01.2022 03:00","986","892"
"02.01.2022 03:00 - 02.01.2022 04:00","990","884"
"02.01.2022 04:00 - 02.01.2022 05:00","1001","878"
"02.01.2022 05:00 - 02.01.2022 06:00","1036","900"
"02.01.2022 06:00 - 02.01.2022 07:00","1085","934"
"02.01.2022 07:00 - 02.01.2022 08:00","1136","983"
"02.01.2022 08:00 - 02.01.2022 09:00","1165","1013"
"02.01.2022 09:00 - 02.01.2022 10:00","1209","1042"
"02.01.2022 10:00 - 02.01.2022 11:00","1234","1067"
"02.01.2022 11:00 - 02.01.2022 12:00","1239","1071"
"02.01.2022 12:00 - 02.01.2022 13:00","1234","1067"
"02.01.2022 13:00 - 02.01.2022 14:00","1238","1077"
"02.01.2022 14:00 - 02.01.2022 15:00","1262","1100"
"02.01.2022 15:00 - 02.01.2022 16:00","1302","1159"
"02.01.2022 16:00 - 02.01.2022 17:00","1294","1165"
"02.01.2022 17:00 - 02.01.2022 18:00","1278","1160"
"02.01.2022 18:00 - 02.01.2022 19:00","1261","1141"
"02.01.2022 19:00 - 02.01.2022 20:00","1238","1116"
"02.01.2022 20:00 - 02.01.2022 21:00","1203","1074"
"02.01.2022 21:00 - 02.01.2022 22:00","1169","1021"
"02.01.2022 22:00 - 02.01.2022 23:00","1125","965"
"02.01.2022 23:00 - 03.01.2022 00:00","1153","923"
"03.01.2022 00:00 - 03.01.2022 01:00","1011","924"
"03.01.2022 01:00 - 03.01.2022 02:00","981","905"
"03.01.2022 02:00 - 03.01.2022 03:00","974","886"
"03.01.2022 03:00 - 03.01.2022 04:00","973","902"
"03.01.2022 04:00 - 03.01.2022 05:00","991","909"
"03.01.2022 05:00 - 03.01.2022 06:00","1059","1010"
"03.01.2022 06:00 - 03.01.2022 07:00","1120","1120"
"03.01.2022 07:00 - 03.01.2022 08:00","1187","1228"
"03.01.2022 08:00 - 03.01.2022 09:00","1199","1264"
"03.01.2022 09:00 - 03.01.2022 10:00","1203","1281"
"03.01.2022 10:00 - 03.01.2022 11:00","1194","1290"
"03.01.2022 11:00 - 03.01.2022 12:00","1184","1287"
"03.01.2022 12:00 - 03.01.2022 13:00","1177","1296"
"03.01.2022 13:00 - 03.01.2022 14:00","1165","1282"
"03.01.2022 14:00 - 03.01.2022 15:00","1181","1287"
"03.01.2022 15:00 - 03.01.2022 16:00","1234","1309"
"03.01.2022 16:00 - 03.01.2022 17:00","1226","1281"
"03.01.2022 17:00 - 03.01.2022 18:00","1194","1262"
