"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"01.01.2022 00:00 - 01.01.2022 01:00","4643","4568"
"01.01.2022 01:00 - 01.01.2022 02:00","4551","4416"
"01.01.2022 02:00 - 01.01.2022 03:00","4326","4157"
"01.01.2022 03:00 - 01.01.2022 04:00","4167","3984"
"01.01.2022 04:00 - 01.01.2022 05:00","4143","3945"
"01.01.2022 05:00 - 01.01.2022 06:00","4172","4022"
"01.01.2022 06:00 - 01.01.2022 07:00","4164","4164"
"01.01.2022 07:00 - 01.01.2022 08:00","4421","4336"
"01.01.2022 08:00 - 01.01.2022 09:00","4754","4755"
"01.01.2022 09:00 - 01.01.2022 10:00","5180","5224"
"01.01.2022 10:00 - 01.01.2022 11:00","5483","5537"
"01.01.2022 11:00 - 01.01.2022 12:00","5495","5621"
"01.01.2022 12:00 - 01.01.2022 13:00","5360","5378"
"01.01.2022 13:00 - 01.01.2022 14:00","4909","4862"
"01.01.2022 14:00 - 01.01.2022 15:00","4881","4793"
"01.01.2022 15:00 - 01.01.2022 16:00","4889","4785"
"01.01.2022 16:00 - 01.01.2022 17:00","5247","5069"
"01.01.2022 17:00 - 01.01.2022 18:00","5848","5555"
"01.01.2022 18:00 - 01.01.2022 19:00","5954","5651"
"01.01.2022 19:00 - 01.01.2022 20:00","5927","5635"
"01.01.2022 20:00 - 01.01.2022 21:00","5765","5495"
"01.01.2022 21:00 - 01.01.2022 22:00","5461","5184"
"01.01.2022 22:00 - 01.01.2022 23:00","5189","4926"
"01.01.2022 23:00 - 02.01.2022 00:00","4689","4527"
"02.01.2022 00:00 - 02.01.2022 01:00","4274","4134"
"02.01.2022 01:00 - 02.01.2022 02:00","4137","4036"
"02.01.2022 02:00 - 02.01.2022 03:00","3987","3851"
"02.01.2022 03:00 - 02.01.2022 04:00","3893","3742"
"02.01.2022 04:00 - 02.01.2022 05:00","3880","3762"
"02.01.2022 05:00 - 02.01.2022 06:00","3939","3877"
"02.01.2022 06:00 - 02.01.2022 07:00","4048","4012"
"02.01.2022 07:00 - 02.01.2022 08:00","4474","4186"
"02.01.2022 08:00 - 02.01.2022 09:00","5059","4494"
"02.01.2022 09:00 - 02.01.2022 10:00","5401","4780"
