"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"01.01.2022 00:00 - 01.01.2022 01:00","22748","22218"
"01.01.2022 01:00 - 01.01.2022 02:00","21537","21121"
"01.01.2022 02:00 - 01.01.2022 03:00","20363","19756"
"01.01.2022 03:00 - 01.01.2022 04:00","18998","18685"
"01.01.2022 04:00 - 01.01.2022 05:00","18639","18124"
"01.01.2022 05:00 - 01.01.2022 06:00","18818","18400"
"01.01.2022 06:00 - 01.01.2022 07:00","19495","19223"
"01.01.2022 07:00 - 01.01.2022 08:00","19830","19738"
"01.01.2022 08:00 - 01.01.2022 09:00","19696","20289"
"01.01.2022 09:00 - 01.01.2022 10:00","20937","21469"
"01.01.2022 10:00 - 01.01.2022 11:00","22094","22735"
"01.01.2022 11:00 - 01.01.2022 12:00","23873","23636"
"01.01.2022 12:00 - 01.01.2022 13:00","24377","24182"
"01.01.2022 13:00 - 01.01.2022 14:00","23355","23270"
"01.01.2022 14:00 - 01.01.2022 15:00","22359","22755"
"01.01.2022 15:00 - 01.01.2022 16:00","22570","22881"
"01.01.2022 16:00 - 01.01.2022 17:00","23390","23818"
"01.01.2022 17:00 - 01.01.2022 18:00","25751","26742"
"01.01.2022 18:00 - 01.01.2022 19:00","27476","27672"
"01.01.2022 19:00 - 01.01.2022 20:00","28114","28393"
"01.01.2022 20:00 - 01.01.2022 21:00","28191","27996"
"01.01.2022 21:00 - 01.01.2022 22:00","26806","26693"
"01.01.2022 22:00 - 01.01.2022 23:00","24932","24635"
"01.01.2022 23:00 - 02.01.2022 00:00","22653","22404"
"02.01.2022 00:00 - 02.01.2022 01:00","20733","20428"
"02.01.2022 01:00 - 02.01.2022 02:00","19062","18989"
"02.01.2022 02:00 - 02.01.2022 03:00","17959","18083"
"02.01.2022 03:00 - 02.01.2022 04:00","17383","17740"
"02.01.2022 04:00 - 02.01.2022 05:00","17353","17737"
"02.01.2022 05:00 - 02.01.2022 06:00","18028","18409"
"02.01.2022 06:00 - 02.01.2022 07:00","19409","19869"
"02.01.2022 07:00 - 02.01.2022 08:00","20746","21148"
"02.01.2022 08:00 - 02.01.2022 09:00","22301","22332"
"02.01.2022 09:00 - 02.01.2022 10:00","23811","23775"
"02.01.2022 10:00 - 02.01.2022 11:00","24943","24697"
"02.01.2022 11:00 - 02.01.2022 12:00","25422","25360"
"02.01.2022 12:00 - 02.01.2022 13:00","25593","26123"
"02.01.2022 13:00 - 02.01.2022 14:00","25010","25308"
"02.01.2022 14:00 - 02.01.2022 15:00","25101","24751"
"02.01.2022 15:00 - 02.01.2022 16:00","25248","24918"
"02.01.2022 16:00 - 02.01.2022 17:00","25765","26049"
"02.01.2022 17:00 - 02.01.2022 18:00","27892","28970"
"02.01.2022 18:00 - 02.01.2022 19:00","29335","30088"
"02.01.2022 19:00 - 02.01.2022 20:00","30163","30781"
