"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Intraday / Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Intraday / Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Intraday / Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","1428","1428","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","1524","1524","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","1570","1570","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","1641","1641","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","1769","1769","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","1643","1643","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","1477","1477","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","47","N/A","47","N/A","n/e","n/e","1399","1399","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","1038","N/A","1037","N/A","n/e","n/e","1316","1327","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","2844","N/A","2844","N/A","n/e","n/e","1195","1204","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","4350","N/A","4353","N/A","n/e","n/e","1118","1118","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","5193","N/A","5194","N/A","n/e","n/e","1129","1153","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","5423","N/A","5423","N/A","n/e","n/e","1156","1190","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","5082","N/A","5084","N/A","n/e","n/e","1236","1255","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","3985","N/A","3987","N/A","n/e","n/e","1299","1323","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","2128","N/A","2129","N/A","n/e","n/e","1341","1359","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","355","N/A","355","N/A","n/e","n/e","1462","1469","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","1520","1540","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","1495","1527","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","1463","1502","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","1395","1442","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","1349","1383","n/e"
"01.01.2022 22:00 - 01.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","1296","1318","n/e"
"01.01.2022 23:00 - 02.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","1205","1208","n/e"
"02.01.2022 00:00 - 02.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","1123","1123","n/e"
"02.01.2022 01:00 - 02.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","1095","1095","n/e"
"02.01.2022 02:00 - 02.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","1040","1040","n/e"
"02.01.2022 03:00 - 02.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","982","982","n/e"
"02.01.2022 04:00 - 02.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","935","935","n/e"
"02.01.2022 05:00 - 02.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","822","822","n/e"
"02.01.2022 06:00 - 02.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","723","723","n/e"
"02.01.2022 07:00 - 02.01.2022 08:00","51","N/A","56","N/A","n/e","n/e","649","649","n/e"
"02.01.2022 08:00 - 02.01.2022 09:00","972","N/A","984","N/A","n/e","n/e","541","549","n/e"
"02.01.2022 09:00 - 02.01.2022 10:00","2637","N/A","2653","N/A","n/e","n/e","495","501","n/e"
"02.01.2022 10:00 - 02.01.2022 11:00","4034","N/A","4041","N/A","n/e","n/e","495","496","n/e"
"02.01.2022 11:00 - 02.01.2022 12:00","4831","N/A","4827","N/A","n/e","n/e","511","511","n/e"
"02.01.2022 12:00 - 02.01.2022 13:00","5061","N/A","5048","N/A","n/e","n/e","571","568","n/e"
"02.01.2022 13:00 - 02.01.2022 14:00","4751","N/A","4708","N/A","n/e","n/e","651","650","n/e"
"02.01.2022 14:00 - 02.01.2022 15:00","3752","N/A","3692","N/A","n/e","n/e","757","756","n/e"
"02.01.2022 15:00 - 02.01.2022 16:00","2024","N/A","1977","N/A","n/e","n/e","878","878","n/e"
"02.01.2022 16:00 - 02.01.2022 17:00","339","N/A","308","N/A","n/e","n/e","1005","1006","n/e"
"02.01.2022 17:00 - 02.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","1122","1123","n/e"
"02.01.2022 18:00 - 02.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","1271","1273","n/e"
"02.01.2022 19:00 - 02.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","1423","1427","n/e"
"02.01.2022 20:00 - 02.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","1548","1556","n/e"
"02.01.2022 21:00 - 02.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","1688","1698","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","1905","1916","n/e"
"02.01.2022 23:00 - 03.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","2010","2023","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","2237","2237","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","2381","2381","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","1585","1585","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","1655","1655","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","1713","1713","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","1609","1609","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","1522","1522","n/e"
"03.01.2022 07:00 - 03.01.2022 08:00","34","N/A","34","N/A","n/e","n/e","1498","1498","n/e"
"03.01.2022 08:00 - 03.01.2022 09:00","767","N/A","767","N/A","n/e","n/e","1480","2120","n/e"
"03.01.2022 09:00 - 03.01.2022 10:00","2086","N/A","2086","N/A","n/e","n/e","1443","2096","n/e"
"03.01.2022 10:00 - 03.01.2022 11:00","3181","N/A","3181","N/A","n/e","n/e","1426","2072","n/e"
"03.01.2022 11:00 - 03.01.2022 12:00","3784","N/A","3784","N/A","n/e","n/e","1664","2302","n/e"
"03.01.2022 12:00 - 03.01.2022 13:00","3892","N/A","3892","N/A","n/e","n/e","2069","2608","n/e"
"03.01.2022 13:00 - 03.01.2022 14:00","3570","N/A","3570","N/A","n/e","n/e","2253","2918","n/e"
"03.01.2022 14:00 - 03.01.2022 15:00","2764","N/A","2764","N/A","n/e","n/e","2191","2847","n/e"
"03.01.2022 15:00 - 03.01.2022 16:00","1498","N/A","1498","N/A","n/e","n/e","2043","2681","n/e"
"03.01.2022 16:00 - 03.01.2022 17:00","242","N/A","242","N/A","n/e","n/e","1745","2403","n/e"
"03.01.2022 17:00 - 03.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","1706","2313","n/e"
"03.01.2022 18:00 - 03.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","1692","2258","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","1564","2096","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","1444","2023","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","1388","1923","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","1358","1843","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","1397","2001","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","2194","2194","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","2422","2422","n/e"
"04.01.2022 02:00 - 04.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","2559","2559","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","2721","2721","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","2858","2858","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","2902","2902","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","2968","2968","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","36","N/A","36","N/A","n/e","n/e","3054","3054","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","758","N/A","758","N/A","n/e","n/e","3132","3104","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","2084","N/A","2086","N/A","n/e","n/e","3201","3142","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","3223","N/A","3219","N/A","n/e","n/e","3245","3185","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","3890","N/A","3869","N/A","n/e","n/e","3435","3382","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","4063","N/A","4047","N/A","n/e","n/e","3613","3564","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","3825","N/A","3776","N/A","n/e","n/e","3822","3808","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","3048","N/A","2968","N/A","n/e","n/e","3846","3842","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","1713","N/A","1650","N/A","n/e","n/e","3748","3756","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","318","N/A","304","N/A","n/e","n/e","3666","3682","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","0","N/A","0","N/A","n/e","n/e","3763","3783","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","0","N/A","0","N/A","n/e","n/e","3902","3906","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","0","N/A","0","N/A","n/e","n/e","3990","4001","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","0","N/A","0","N/A","n/e","n/e","4039","4031","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","0","N/A","0","N/A","n/e","n/e","4074","4053","n/e"
"04.01.2022 22:00 - 04.01.2022 23:00","0","N/A","0","N/A","n/e","n/e","4171","4146","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","0","N/A","0","N/A","n/e","n/e","4240","4218","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","0","N/A","0","N/A","n/e","n/e","3989","3989","n/e"
"05.01.2022 01:00 - 05.01.2022 02:00","0","N/A","0","N/A","n/e","n/e","4080","4080","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","0","N/A","0","N/A","n/e","n/e","4128","4128","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","0","N/A","0","N/A","n/e","n/e","4214","4214","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","0","N/A","0","N/A","n/e","n/e","4219","4219","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","0","N/A","0","N/A","n/e","n/e","4196","4196","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","0","N/A","0","N/A","n/e","n/e","4157","4157","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","48","N/A","48","N/A","n/e","n/e","4133","4133","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","916","N/A","916","N/A","n/e","n/e","4049","4020","n/e"
