"Production Type","2022 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","n/e"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","n/e"
"Hydro Water Reservoir","16300"
"Marine","n/e"
"Nuclear","6900"
"Other","8400"
"Other renewable","n/e"
"Solar","n/e"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","12100"
"Total Grand capacity","43700"
