Area,ID,X,Y,AFF_ISO
Austria,1,13.79777836,47.63185827,AT
Belgium ,2,4.675010155,50.61821389,BE
Bulgaria ,3,25.25173912,42.82043677,BG
Croatia ,4,16.62576113,44.91192101,HR
Czech Republic,5,15.38327329,49.74917371,CZ
Denmark ,6,9.378670542,56.00118818,DK
Estonia ,7,25.91687025,58.64810831,EE
Finland ,8,25.65738433,65.0157896,FI
France ,9,2.194023663,46.64236822,FR
Germany ,10,10.42617143,51.0830454,DE
Greece ,11,23.11036894,39.42012262,GR
Hungary ,12,19.39620048,47.22527332,HU
Ireland ,13,-8.241128546,53.3048954,IE
Italy ,14,12.76365717,42.98201128,IT
Latvia ,15,24.69367133,56.81385305,LV
Lithuania ,16,23.94602161,55.29437393,LT
Netherlands ,17,5.554136426,52.13405413,NL
Norway,18,16.67025927,64.97775883,NO
Poland ,19,19.43573279,52.06848056,PL
Portugal ,20,-7.933662184,39.67529215,PT
Romania ,21,25.0941582,45.82454894,RO
Slovakia ,22,19.58101536,48.69808391,SK
Slovenia ,23,14.8906369,46.1375923,SI
Spain,24,-3.651625141,40.36500834,ES
Sweden,25,17.06243199,62.73420986,SE
Switzerland,26,8.286928795,46.73678129,CH
