"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Croatia (HR)","Actual Total Load [MW] - Croatia (HR)"
"01.01.2022 00:00 - 01.01.2022 01:00","1779","1783"
"01.01.2022 01:00 - 01.01.2022 02:00","1689","1676"
"01.01.2022 02:00 - 01.01.2022 03:00","1590","1579"
"01.01.2022 03:00 - 01.01.2022 04:00","1505","1503"
"01.01.2022 04:00 - 01.01.2022 05:00","1459","1462"
"01.01.2022 05:00 - 01.01.2022 06:00","1463","1466"
"01.01.2022 06:00 - 01.01.2022 07:00","1505","1512"
"01.01.2022 07:00 - 01.01.2022 08:00","1501","1528"
"01.01.2022 08:00 - 01.01.2022 09:00","1598","1634"
"01.01.2022 09:00 - 01.01.2022 10:00","1754","1797"
"01.01.2022 10:00 - 01.01.2022 11:00","1864","1913"
"01.01.2022 11:00 - 01.01.2022 12:00","1943","1969"
"01.01.2022 12:00 - 01.01.2022 13:00","1918","1932"
"01.01.2022 13:00 - 01.01.2022 14:00","1844","1829"
"01.01.2022 14:00 - 01.01.2022 15:00","1779","1743"
"01.01.2022 15:00 - 01.01.2022 16:00","1752","1711"
"01.01.2022 16:00 - 01.01.2022 17:00","1895","1838"
"01.01.2022 17:00 - 01.01.2022 18:00","2006","2033"
"01.01.2022 18:00 - 01.01.2022 19:00","2012","2057"
"01.01.2022 19:00 - 01.01.2022 20:00","2020","2077"
"01.01.2022 20:00 - 01.01.2022 21:00","2028","2065"
"01.01.2022 21:00 - 01.01.2022 22:00","2022","2060"
"01.01.2022 22:00 - 01.01.2022 23:00","1951","1972"
"01.01.2022 23:00 - 02.01.2022 00:00","1782","1797"
"02.01.2022 00:00 - 02.01.2022 01:00","1674","1619"
"02.01.2022 01:00 - 02.01.2022 02:00","1545","1493"
"02.01.2022 02:00 - 02.01.2022 03:00","1465","1417"
"02.01.2022 03:00 - 02.01.2022 04:00","1424","1387"
"02.01.2022 04:00 - 02.01.2022 05:00","1428","1395"
"02.01.2022 05:00 - 02.01.2022 06:00","1472","1448"
"02.01.2022 06:00 - 02.01.2022 07:00","1574","1571"
"02.01.2022 07:00 - 02.01.2022 08:00","1662","1649"
"02.01.2022 08:00 - 02.01.2022 09:00","1814","1795"
"02.01.2022 09:00 - 02.01.2022 10:00","1997","1935"
"02.01.2022 10:00 - 02.01.2022 11:00","2097","2008"
"02.01.2022 11:00 - 02.01.2022 12:00","2170","2034"
"02.01.2022 12:00 - 02.01.2022 13:00","2135","2011"
"02.01.2022 13:00 - 02.01.2022 14:00","2013","1937"
"02.01.2022 14:00 - 02.01.2022 15:00","1803","1863"
"02.01.2022 15:00 - 02.01.2022 16:00","1828","1831"
"02.01.2022 16:00 - 02.01.2022 17:00","1862","1961"
"02.01.2022 17:00 - 02.01.2022 18:00","1984","2149"
"02.01.2022 18:00 - 02.01.2022 19:00","2002","2170"
"02.01.2022 19:00 - 02.01.2022 20:00","2167","2203"
"02.01.2022 20:00 - 02.01.2022 21:00","2155","2185"
"02.01.2022 21:00 - 02.01.2022 22:00","2164","2156"
"02.01.2022 22:00 - 02.01.2022 23:00","2083","2050"
"02.01.2022 23:00 - 03.01.2022 00:00","1916","1850"
"03.01.2022 00:00 - 03.01.2022 01:00","1587","1654"
"03.01.2022 01:00 - 03.01.2022 02:00","1484","1523"
"03.01.2022 02:00 - 03.01.2022 03:00","1411","1448"
"03.01.2022 03:00 - 03.01.2022 04:00","1402","1425"
"03.01.2022 04:00 - 03.01.2022 05:00","1433","1460"
"03.01.2022 05:00 - 03.01.2022 06:00","1498","1590"
"03.01.2022 06:00 - 03.01.2022 07:00","1836","1908"
"03.01.2022 07:00 - 03.01.2022 08:00","2063","2139"
"03.01.2022 08:00 - 03.01.2022 09:00","2248","2333"
"03.01.2022 09:00 - 03.01.2022 10:00","2338","2430"
"03.01.2022 10:00 - 03.01.2022 11:00","2326","2447"
"03.01.2022 11:00 - 03.01.2022 12:00","2332","2457"
"03.01.2022 12:00 - 03.01.2022 13:00","2337","2441"
"03.01.2022 13:00 - 03.01.2022 14:00","2271","2379"
"03.01.2022 14:00 - 03.01.2022 15:00","2219","2313"
"03.01.2022 15:00 - 03.01.2022 16:00","2174","2286"
"03.01.2022 16:00 - 03.01.2022 17:00","2279","2399"
"03.01.2022 17:00 - 03.01.2022 18:00","2393","2541"
"03.01.2022 18:00 - 03.01.2022 19:00","2419","2502"
"03.01.2022 19:00 - 03.01.2022 20:00","2579","2508"
"03.01.2022 20:00 - 03.01.2022 21:00","2558","2447"
"03.01.2022 21:00 - 03.01.2022 22:00","2304","2362"
"03.01.2022 22:00 - 03.01.2022 23:00","2150","2170"
"03.01.2022 23:00 - 04.01.2022 00:00","1945","1958"
"04.01.2022 00:00 - 04.01.2022 01:00","1744","1736"
"04.01.2022 01:00 - 04.01.2022 02:00","1607","1591"
"04.01.2022 02:00 - 04.01.2022 03:00","1536","1542"
"04.01.2022 03:00 - 04.01.2022 04:00","1504","1509"
"04.01.2022 04:00 - 04.01.2022 05:00","1532","1545"
"04.01.2022 05:00 - 04.01.2022 06:00","1628","1647"
"04.01.2022 06:00 - 04.01.2022 07:00","1919","1922"
"04.01.2022 07:00 - 04.01.2022 08:00","2126","2121"
"04.01.2022 08:00 - 04.01.2022 09:00","2283","2281"
"04.01.2022 09:00 - 04.01.2022 10:00","2372","2357"
"04.01.2022 10:00 - 04.01.2022 11:00","2393","2379"
"04.01.2022 11:00 - 04.01.2022 12:00","2429","2429"
"04.01.2022 12:00 - 04.01.2022 13:00","2368","2419"
"04.01.2022 13:00 - 04.01.2022 14:00","2319","2364"
"04.01.2022 14:00 - 04.01.2022 15:00","2254","2291"
"04.01.2022 15:00 - 04.01.2022 16:00","2211","2230"
"04.01.2022 16:00 - 04.01.2022 17:00","2290","2334"
"04.01.2022 17:00 - 04.01.2022 18:00","2421","2475"
"04.01.2022 18:00 - 04.01.2022 19:00","2400","2456"
"04.01.2022 19:00 - 04.01.2022 20:00","2384","2465"
"04.01.2022 20:00 - 04.01.2022 21:00","2323","2398"
"04.01.2022 21:00 - 04.01.2022 22:00","2264","2320"
"04.01.2022 22:00 - 04.01.2022 23:00","2108","2137"
"04.01.2022 23:00 - 05.01.2022 00:00","1908","1930"
"05.01.2022 00:00 - 05.01.2022 01:00","1712","1710"
"05.01.2022 01:00 - 05.01.2022 02:00","1566","1576"
"05.01.2022 02:00 - 05.01.2022 03:00","1564","1499"
"05.01.2022 03:00 - 05.01.2022 04:00","1540","1477"
"05.01.2022 04:00 - 05.01.2022 05:00","1558","1499"
"05.01.2022 05:00 - 05.01.2022 06:00","1745","1602"
"05.01.2022 06:00 - 05.01.2022 07:00","1871","1877"
"05.01.2022 07:00 - 05.01.2022 08:00","2064","2069"
"05.01.2022 08:00 - 05.01.2022 09:00","2226","2212"
"05.01.2022 09:00 - 05.01.2022 10:00","2309","2300"
"05.01.2022 10:00 - 05.01.2022 11:00","2317","2327"
"05.01.2022 11:00 - 05.01.2022 12:00","2350","2374"
"05.01.2022 12:00 - 05.01.2022 13:00","2373","2354"
"05.01.2022 13:00 - 05.01.2022 14:00","2317","2318"
"05.01.2022 14:00 - 05.01.2022 15:00","2269","2275"
"05.01.2022 15:00 - 05.01.2022 16:00","2261","2257"
"05.01.2022 16:00 - 05.01.2022 17:00","2345","2357"
"05.01.2022 17:00 - 05.01.2022 18:00","2456","2455"
"05.01.2022 18:00 - 05.01.2022 19:00","2463","2427"
"05.01.2022 19:00 - 05.01.2022 20:00","2454","2423"
"05.01.2022 20:00 - 05.01.2022 21:00","2397","2375"
"05.01.2022 21:00 - 05.01.2022 22:00","2329","2302"
"05.01.2022 22:00 - 05.01.2022 23:00","2155","2146"
"05.01.2022 23:00 - 06.01.2022 00:00","1959","1951"
"06.01.2022 00:00 - 06.01.2022 01:00","1732","1750"
"06.01.2022 01:00 - 06.01.2022 02:00","1576","1618"
"06.01.2022 02:00 - 06.01.2022 03:00","1484","1544"
"06.01.2022 03:00 - 06.01.2022 04:00","1493","1512"
"06.01.2022 04:00 - 06.01.2022 05:00","1436","1520"
"06.01.2022 05:00 - 06.01.2022 06:00","1481","1563"
"06.01.2022 06:00 - 06.01.2022 07:00","1613","1676"
"06.01.2022 07:00 - 06.01.2022 08:00","1618","1756"
"06.01.2022 08:00 - 06.01.2022 09:00","1797","1909"
"06.01.2022 09:00 - 06.01.2022 10:00","1961","2079"
"06.01.2022 10:00 - 06.01.2022 11:00","2108","2195"
"06.01.2022 11:00 - 06.01.2022 12:00","2192","2254"
"06.01.2022 12:00 - 06.01.2022 13:00","2154","2243"
"06.01.2022 13:00 - 06.01.2022 14:00","2119","2174"
"06.01.2022 14:00 - 06.01.2022 15:00","2003","2086"
"06.01.2022 15:00 - 06.01.2022 16:00","1999","2047"
"06.01.2022 16:00 - 06.01.2022 17:00","2061","2147"
"06.01.2022 17:00 - 06.01.2022 18:00","2214","2277"
"06.01.2022 18:00 - 06.01.2022 19:00","2203","2269"
"06.01.2022 19:00 - 06.01.2022 20:00","2249","2284"
"06.01.2022 20:00 - 06.01.2022 21:00","2210","2275"
"06.01.2022 21:00 - 06.01.2022 22:00","2212","2257"
"06.01.2022 22:00 - 06.01.2022 23:00","2134","2129"
"06.01.2022 23:00 - 07.01.2022 00:00","1942","1951"
"07.01.2022 00:00 - 07.01.2022 01:00","1770","1763"
"07.01.2022 01:00 - 07.01.2022 02:00","1624","1648"
"07.01.2022 02:00 - 07.01.2022 03:00","1571","1570"
"07.01.2022 03:00 - 07.01.2022 04:00","1546","1550"
"07.01.2022 04:00 - 07.01.2022 05:00","1558","1573"
"07.01.2022 05:00 - 07.01.2022 06:00","1708","1698"
"07.01.2022 06:00 - 07.01.2022 07:00","1992","1959"
"07.01.2022 07:00 - 07.01.2022 08:00","2150","2165"
"07.01.2022 08:00 - 07.01.2022 09:00","2345","2354"
"07.01.2022 09:00 - 07.01.2022 10:00","2435","2408"
"07.01.2022 10:00 - 07.01.2022 11:00","2429","2384"
"07.01.2022 11:00 - 07.01.2022 12:00","2445","2381"
"07.01.2022 12:00 - 07.01.2022 13:00","2418","2339"
"07.01.2022 13:00 - 07.01.2022 14:00","2334","2309"
"07.01.2022 14:00 - 07.01.2022 15:00","2323","2245"
"07.01.2022 15:00 - 07.01.2022 16:00","2278","2225"
"07.01.2022 16:00 - 07.01.2022 17:00","2376","2333"
"07.01.2022 17:00 - 07.01.2022 18:00","2563","2537"
"07.01.2022 18:00 - 07.01.2022 19:00","2571","2536"
"07.01.2022 19:00 - 07.01.2022 20:00","2578","2536"
"07.01.2022 20:00 - 07.01.2022 21:00","2494","2474"
"07.01.2022 21:00 - 07.01.2022 22:00","2447","2408"
"07.01.2022 22:00 - 07.01.2022 23:00","2300","2254"
"07.01.2022 23:00 - 08.01.2022 00:00","2083","2057"
"08.01.2022 00:00 - 08.01.2022 01:00","1906","1851"
"08.01.2022 01:00 - 08.01.2022 02:00","1784","1719"
"08.01.2022 02:00 - 08.01.2022 03:00","1698","1636"
"08.01.2022 03:00 - 08.01.2022 04:00","1671","1601"
"08.01.2022 04:00 - 08.01.2022 05:00","1704","1616"
"08.01.2022 05:00 - 08.01.2022 06:00","1802","1687"
"08.01.2022 06:00 - 08.01.2022 07:00","1981","1861"
"08.01.2022 07:00 - 08.01.2022 08:00","2130","1990"
"08.01.2022 08:00 - 08.01.2022 09:00","2316","2171"
"08.01.2022 09:00 - 08.01.2022 10:00","2463","2304"
"08.01.2022 10:00 - 08.01.2022 11:00","2501","2358"
"08.01.2022 11:00 - 08.01.2022 12:00","2508","2375"
"08.01.2022 12:00 - 08.01.2022 13:00","2488","2354"
"08.01.2022 13:00 - 08.01.2022 14:00","2414","2272"
"08.01.2022 14:00 - 08.01.2022 15:00","2334","2204"
"08.01.2022 15:00 - 08.01.2022 16:00","2304","2172"
"08.01.2022 16:00 - 08.01.2022 17:00","2402","2309"
"08.01.2022 17:00 - 08.01.2022 18:00","2587","2516"
"08.01.2022 18:00 - 08.01.2022 19:00","2596","2526"
"08.01.2022 19:00 - 08.01.2022 20:00","2684","2522"
"08.01.2022 20:00 - 08.01.2022 21:00","2560","2460"
"08.01.2022 21:00 - 08.01.2022 22:00","2475","2404"
"08.01.2022 22:00 - 08.01.2022 23:00","2326","2272"
"08.01.2022 23:00 - 09.01.2022 00:00","2129","2046"
"09.01.2022 00:00 - 09.01.2022 01:00","1904","1824"
"09.01.2022 01:00 - 09.01.2022 02:00","1751","1685"
"09.01.2022 02:00 - 09.01.2022 03:00","1666","1594"
"09.01.2022 03:00 - 09.01.2022 04:00","1628","1570"
"09.01.2022 04:00 - 09.01.2022 05:00","1625","1592"
"09.01.2022 05:00 - 09.01.2022 06:00","1668","1653"
"09.01.2022 06:00 - 09.01.2022 07:00","1786","1775"
"09.01.2022 07:00 - 09.01.2022 08:00","1862","1871"
"09.01.2022 08:00 - 09.01.2022 09:00","2048","2056"
"09.01.2022 09:00 - 09.01.2022 10:00","2246","2247"
"09.01.2022 10:00 - 09.01.2022 11:00","2366","2385"
"09.01.2022 11:00 - 09.01.2022 12:00","2439","2476"
"09.01.2022 12:00 - 09.01.2022 13:00","2405","2432"
"09.01.2022 13:00 - 09.01.2022 14:00","2268","2359"
"09.01.2022 14:00 - 09.01.2022 15:00","2150","2236"
"09.01.2022 15:00 - 09.01.2022 16:00","2117","2188"
"09.01.2022 16:00 - 09.01.2022 17:00","2200","2267"
"09.01.2022 17:00 - 09.01.2022 18:00","2415","2414"
"09.01.2022 18:00 - 09.01.2022 19:00","2443","2432"
"09.01.2022 19:00 - 09.01.2022 20:00","2458","2465"
"09.01.2022 20:00 - 09.01.2022 21:00","2428","2441"
"09.01.2022 21:00 - 09.01.2022 22:00","2423","2404"
"09.01.2022 22:00 - 09.01.2022 23:00","2324","2258"
"09.01.2022 23:00 - 10.01.2022 00:00","2084","2027"
"10.01.2022 00:00 - 10.01.2022 01:00","1843","1807"
"10.01.2022 01:00 - 10.01.2022 02:00","1697","1690"
"10.01.2022 02:00 - 10.01.2022 03:00","1627","1634"
"10.01.2022 03:00 - 10.01.2022 04:00","1631","1626"
"10.01.2022 04:00 - 10.01.2022 05:00","1667","1658"
"10.01.2022 05:00 - 10.01.2022 06:00","1820","1809"
"10.01.2022 06:00 - 10.01.2022 07:00","2211","2205"
"10.01.2022 07:00 - 10.01.2022 08:00","2505","2513"
"10.01.2022 08:00 - 10.01.2022 09:00","2699","2710"
"10.01.2022 09:00 - 10.01.2022 10:00","2808","2799"
"10.01.2022 10:00 - 10.01.2022 11:00","2792","2820"
"10.01.2022 11:00 - 10.01.2022 12:00","2806","2854"
"10.01.2022 12:00 - 10.01.2022 13:00","2794","2819"
