"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","948","948","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","781","781","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","626","626","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","508","508","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","429","429","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","381","381","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","n/e","n/e","n/e","n/e","344","344","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","249","249","n/e","n/e","n/e","n/e","313","313","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","799","799","n/e","n/e","n/e","n/e","290","290","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","1272","1272","n/e","n/e","n/e","n/e","269","269","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","1536","1536","n/e","n/e","n/e","n/e","250","250","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","1645","1645","n/e","n/e","n/e","n/e","251","251","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","1603","1583","n/e","n/e","n/e","n/e","273","263","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","1372","1354","n/e","n/e","n/e","n/e","297","288","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","910","901","n/e","n/e","n/e","n/e","323","324","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","313","306","n/e","n/e","n/e","n/e","373","377","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","8","7","n/e","n/e","n/e","n/e","455","459","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","576","595","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","728","756","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","885","900","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","1029","1030","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","1172","1169","n/e"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","1320","1296","n/e"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","1388","1388","n/e"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","1455","1455","n/e"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","1511","1511","n/e"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","1544","1544","n/e"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","1582","1582","n/e"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","1614","1614","n/e"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","1603","1603","n/e"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","n/e","n/e","n/e","n/e","1541","1541","n/e"
"02.01.2022 07:00 - 02.01.2022 08:00","263","263","n/e","n/e","n/e","n/e","1434","1434","n/e"
"02.01.2022 08:00 - 02.01.2022 09:00","891","891","n/e","n/e","n/e","n/e","1282","1282","n/e"
"02.01.2022 09:00 - 02.01.2022 10:00","1432","1432","n/e","n/e","n/e","n/e","1121","1121","n/e"
"02.01.2022 10:00 - 02.01.2022 11:00","1717","1717","n/e","n/e","n/e","n/e","1058","1058","n/e"
"02.01.2022 11:00 - 02.01.2022 12:00","1803","1803","n/e","n/e","n/e","n/e","1052","1052","n/e"
"02.01.2022 12:00 - 02.01.2022 13:00","1728","1760","n/e","n/e","n/e","n/e","1008","954","n/e"
"02.01.2022 13:00 - 02.01.2022 14:00","1451","1482","n/e","n/e","n/e","n/e","943","901","n/e"
"02.01.2022 14:00 - 02.01.2022 15:00","952","972","n/e","n/e","n/e","n/e","848","828","n/e"
"02.01.2022 15:00 - 02.01.2022 16:00","329","328","n/e","n/e","n/e","n/e","734","713","n/e"
"02.01.2022 16:00 - 02.01.2022 17:00","9","7","n/e","n/e","n/e","n/e","642","599","n/e"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","577","519","n/e"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","524","460","n/e"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","472","414","n/e"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","423","379","n/e"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","399","363","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","401","365","n/e"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","391","391","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","409","409","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","483","483","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","572","572","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","661","661","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","741","741","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","814","814","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","n/e","n/e","n/e","n/e","891","891","n/e"
"03.01.2022 07:00 - 03.01.2022 08:00","256","256","n/e","n/e","n/e","n/e","959","959","n/e"
"03.01.2022 08:00 - 03.01.2022 09:00","858","858","n/e","n/e","n/e","n/e","1004","1004","n/e"
"03.01.2022 09:00 - 03.01.2022 10:00","1387","1387","n/e","n/e","n/e","n/e","1014","1014","n/e"
"03.01.2022 10:00 - 03.01.2022 11:00","1672","1672","n/e","n/e","n/e","n/e","1016","1016","n/e"
"03.01.2022 11:00 - 03.01.2022 12:00","1778","1778","n/e","n/e","n/e","n/e","1043","1043","n/e"
"03.01.2022 12:00 - 03.01.2022 13:00","1710","1723","n/e","n/e","n/e","n/e","1067","1038","n/e"
"03.01.2022 13:00 - 03.01.2022 14:00","1446","1449","n/e","n/e","n/e","n/e","1077","1057","n/e"
"03.01.2022 14:00 - 03.01.2022 15:00","958","950","n/e","n/e","n/e","n/e","1079","1084","n/e"
"03.01.2022 15:00 - 03.01.2022 16:00","337","328","n/e","n/e","n/e","n/e","1112","1132","n/e"
"03.01.2022 16:00 - 03.01.2022 17:00","10","9","n/e","n/e","n/e","n/e","1167","1178","n/e"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","1199","1186","n/e"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","1190","1156","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","1164","1111","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","1144","1057","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","1115","970","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","1060","857","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","767","767","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","691","691","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","619","619","n/e"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","553","553","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","504","504","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","467","467","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","439","439","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","3","3","n/e","n/e","n/e","n/e","413","413","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","247","247","n/e","n/e","n/e","n/e","387","387","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","814","814","n/e","n/e","n/e","n/e","371","371","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","1317","1317","n/e","n/e","n/e","n/e","369","369","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","1597","1597","n/e","n/e","n/e","n/e","390","390","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","1695","1695","n/e","n/e","n/e","n/e","451","451","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","1631","1592","n/e","n/e","n/e","n/e","545","467","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","1371","1321","n/e","n/e","n/e","n/e","652","575","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","906","868","n/e","n/e","n/e","n/e","757","677","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","320","308","n/e","n/e","n/e","n/e","867","792","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","10","10","n/e","n/e","n/e","n/e","987","935","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","1102","1094","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","1211","1229","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","1300","1304","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","1356","1334","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","1379","1349","n/e"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","1376","1350","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","1328","1328","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","1299","1299","n/e"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","1272","1272","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","1251","1251","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","1244","1244","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","1260","1260","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","1311","1311","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","n/e","n/e","n/e","n/e","1367","1367","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","229","229","n/e","n/e","n/e","n/e","1417","1417","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","806","806","n/e","n/e","n/e","n/e","1458","1458","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","1320","1320","n/e","n/e","n/e","n/e","1463","1463","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","1624","1624","n/e","n/e","n/e","n/e","1475","1475","n/e"
