"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Latvia (LV)","Actual Total Load [MW] - Latvia (LV)"
"01.01.2022 00:00 - 01.01.2022 01:00","709","694"
"01.01.2022 01:00 - 01.01.2022 02:00","690","667"
"01.01.2022 02:00 - 01.01.2022 03:00","676","650"
"01.01.2022 03:00 - 01.01.2022 04:00","667","633"
"01.01.2022 04:00 - 01.01.2022 05:00","676","633"
"01.01.2022 05:00 - 01.01.2022 06:00","697","644"
"01.01.2022 06:00 - 01.01.2022 07:00","716","660"
"01.01.2022 07:00 - 01.01.2022 08:00","732","679"
"01.01.2022 08:00 - 01.01.2022 09:00","753","683"
"01.01.2022 09:00 - 01.01.2022 10:00","789","718"
"01.01.2022 10:00 - 01.01.2022 11:00","814","757"
"01.01.2022 11:00 - 01.01.2022 12:00","828","775"
"01.01.2022 12:00 - 01.01.2022 13:00","824","778"
"01.01.2022 13:00 - 01.01.2022 14:00","825","789"
"01.01.2022 14:00 - 01.01.2022 15:00","854","782"
"01.01.2022 15:00 - 01.01.2022 16:00","912","837"
"01.01.2022 16:00 - 01.01.2022 17:00","922","866"
"01.01.2022 17:00 - 01.01.2022 18:00","907","862"
"01.01.2022 18:00 - 01.01.2022 19:00","884","854"
"01.01.2022 19:00 - 01.01.2022 20:00","838","840"
"01.01.2022 20:00 - 01.01.2022 21:00","797","820"
"01.01.2022 21:00 - 01.01.2022 22:00","754","774"
"01.01.2022 22:00 - 01.01.2022 23:00","705","726"
"01.01.2022 23:00 - 02.01.2022 00:00","707","697"
"02.01.2022 00:00 - 02.01.2022 01:00","625","666"
"02.01.2022 01:00 - 02.01.2022 02:00","601","647"
"02.01.2022 02:00 - 02.01.2022 03:00","592","636"
"02.01.2022 03:00 - 02.01.2022 04:00","596","639"
"02.01.2022 04:00 - 02.01.2022 05:00","614","655"
"02.01.2022 05:00 - 02.01.2022 06:00","647","686"
"02.01.2022 06:00 - 02.01.2022 07:00","687","724"
"02.01.2022 07:00 - 02.01.2022 08:00","721","774"
"02.01.2022 08:00 - 02.01.2022 09:00","750","830"
"02.01.2022 09:00 - 02.01.2022 10:00","796","878"
"02.01.2022 10:00 - 02.01.2022 11:00","818","904"
"02.01.2022 11:00 - 02.01.2022 12:00","824","901"
"02.01.2022 12:00 - 02.01.2022 13:00","820","893"
"02.01.2022 13:00 - 02.01.2022 14:00","817","892"
"02.01.2022 14:00 - 02.01.2022 15:00","822","902"
"02.01.2022 15:00 - 02.01.2022 16:00","883","947"
"02.01.2022 16:00 - 02.01.2022 17:00","907","959"
"02.01.2022 17:00 - 02.01.2022 18:00","906","955"
"02.01.2022 18:00 - 02.01.2022 19:00","889","932"
"02.01.2022 19:00 - 02.01.2022 20:00","865","910"
