"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Bulgaria (BG)","Actual Total Load [MW] - Bulgaria (BG)"
"01.01.2022 00:00 - 01.01.2022 01:00","4145","4060"
"01.01.2022 01:00 - 01.01.2022 02:00","4031","3888"
"01.01.2022 02:00 - 01.01.2022 03:00","3984","3751"
"01.01.2022 03:00 - 01.01.2022 04:00","3980","3668"
"01.01.2022 04:00 - 01.01.2022 05:00","4013","3616"
"01.01.2022 05:00 - 01.01.2022 06:00","4126","3612"
"01.01.2022 06:00 - 01.01.2022 07:00","4316","3656"
"01.01.2022 07:00 - 01.01.2022 08:00","4176","3833"
"01.01.2022 08:00 - 01.01.2022 09:00","4816","4083"
"01.01.2022 09:00 - 01.01.2022 10:00","4828","4253"
"01.01.2022 10:00 - 01.01.2022 11:00","4765","4282"
"01.01.2022 11:00 - 01.01.2022 12:00","4780","4265"
"01.01.2022 12:00 - 01.01.2022 13:00","4691","4159"
"01.01.2022 13:00 - 01.01.2022 14:00","4651","4104"
"01.01.2022 14:00 - 01.01.2022 15:00","4683","4120"
"01.01.2022 15:00 - 01.01.2022 16:00","4825","4259"
"01.01.2022 16:00 - 01.01.2022 17:00","5121","4625"
"01.01.2022 17:00 - 01.01.2022 18:00","5200","4748"
"01.01.2022 18:00 - 01.01.2022 19:00","5112","4702"
"01.01.2022 19:00 - 01.01.2022 20:00","4957","4560"
"01.01.2022 20:00 - 01.01.2022 21:00","4770","4398"
"01.01.2022 21:00 - 01.01.2022 22:00","4684","4308"
"01.01.2022 22:00 - 01.01.2022 23:00","4481","4119"
"01.01.2022 23:00 - 02.01.2022 00:00","4366","3833"
"02.01.2022 00:00 - 02.01.2022 01:00","4251","3628"
"02.01.2022 01:00 - 02.01.2022 02:00","4173","3499"
"02.01.2022 02:00 - 02.01.2022 03:00","4011","3439"
"02.01.2022 03:00 - 02.01.2022 04:00","3870","3426"
"02.01.2022 04:00 - 02.01.2022 05:00","3887","3438"
"02.01.2022 05:00 - 02.01.2022 06:00","3924","3543"
"02.01.2022 06:00 - 02.01.2022 07:00","3957","3738"
"02.01.2022 07:00 - 02.01.2022 08:00","4012","4094"
"02.01.2022 08:00 - 02.01.2022 09:00","4426","4396"
"02.01.2022 09:00 - 02.01.2022 10:00","4522","4523"
"02.01.2022 10:00 - 02.01.2022 11:00","4520","4485"
"02.01.2022 11:00 - 02.01.2022 12:00","4475","4398"
"02.01.2022 12:00 - 02.01.2022 13:00","4464","4266"
"02.01.2022 13:00 - 02.01.2022 14:00","4338","4175"
"02.01.2022 14:00 - 02.01.2022 15:00","4420","4195"
"02.01.2022 15:00 - 02.01.2022 16:00","4635","4399"
"02.01.2022 16:00 - 02.01.2022 17:00","5118","4889"
"02.01.2022 17:00 - 02.01.2022 18:00","5550","5100"
"02.01.2022 18:00 - 02.01.2022 19:00","5522","5005"
"02.01.2022 19:00 - 02.01.2022 20:00","5340","4845"
"02.01.2022 20:00 - 02.01.2022 21:00","5124","4652"
"02.01.2022 21:00 - 02.01.2022 22:00","5056","4521"
"02.01.2022 22:00 - 02.01.2022 23:00","4832","4298"
"02.01.2022 23:00 - 03.01.2022 00:00","3878","3995"
"03.01.2022 00:00 - 03.01.2022 01:00","3626","3772"
"03.01.2022 01:00 - 03.01.2022 02:00","3484","3633"
"03.01.2022 02:00 - 03.01.2022 03:00","3440","3577"
"03.01.2022 03:00 - 03.01.2022 04:00","3444","3583"
"03.01.2022 04:00 - 03.01.2022 05:00","3506","3653"
