"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","n/e","n/e","1141","n/e","n/e","1032","n/e","n/e"
"01.01.2022 01:00 - 01.01.2022 02:00","0","n/e","n/e","1182","n/e","n/e","1044","n/e","n/e"
"01.01.2022 02:00 - 01.01.2022 03:00","0","n/e","n/e","1149","n/e","n/e","1053","n/e","n/e"
"01.01.2022 03:00 - 01.01.2022 04:00","0","n/e","n/e","941","n/e","n/e","969","n/e","n/e"
"01.01.2022 04:00 - 01.01.2022 05:00","0","n/e","n/e","864","n/e","n/e","828","n/e","n/e"
"01.01.2022 05:00 - 01.01.2022 06:00","0","n/e","n/e","710","n/e","n/e","640","n/e","n/e"
"01.01.2022 06:00 - 01.01.2022 07:00","0","n/e","n/e","615","n/e","n/e","529","n/e","n/e"
"01.01.2022 07:00 - 01.01.2022 08:00","0","n/e","n/e","555","n/e","n/e","438","n/e","n/e"
"01.01.2022 08:00 - 01.01.2022 09:00","0","n/e","n/e","480","n/e","n/e","359","n/e","n/e"
"01.01.2022 09:00 - 01.01.2022 10:00","7","n/e","n/e","395","n/e","n/e","284","n/e","n/e"
"01.01.2022 10:00 - 01.01.2022 11:00","25","n/e","n/e","357","n/e","n/e","208","n/e","n/e"
"01.01.2022 11:00 - 01.01.2022 12:00","45","n/e","n/e","361","n/e","n/e","179","n/e","n/e"
"01.01.2022 12:00 - 01.01.2022 13:00","50","n/e","n/e","376","n/e","n/e","219","n/e","n/e"
"01.01.2022 13:00 - 01.01.2022 14:00","37","n/e","n/e","476","n/e","n/e","273","n/e","n/e"
"01.01.2022 14:00 - 01.01.2022 15:00","17","n/e","n/e","585","n/e","n/e","368","n/e","n/e"
"01.01.2022 15:00 - 01.01.2022 16:00","3","n/e","n/e","689","n/e","n/e","567","n/e","n/e"
"01.01.2022 16:00 - 01.01.2022 17:00","0","n/e","n/e","775","n/e","n/e","849","n/e","n/e"
"01.01.2022 17:00 - 01.01.2022 18:00","0","n/e","n/e","950","n/e","n/e","1232","n/e","n/e"
"01.01.2022 18:00 - 01.01.2022 19:00","0","n/e","n/e","1084","n/e","n/e","1685","n/e","n/e"
"01.01.2022 19:00 - 01.01.2022 20:00","0","n/e","n/e","1181","n/e","n/e","1976","n/e","n/e"
"01.01.2022 20:00 - 01.01.2022 21:00","0","n/e","n/e","1311","n/e","n/e","2151","n/e","n/e"
"01.01.2022 21:00 - 01.01.2022 22:00","0","n/e","n/e","1311","n/e","n/e","2219","n/e","n/e"
"01.01.2022 22:00 - 01.01.2022 23:00","0","n/e","n/e","1338","n/e","n/e","2222","n/e","n/e"
"01.01.2022 23:00 - 02.01.2022 00:00","0","n/e","n/e","1312","n/e","n/e","2171","n/e","n/e"
"02.01.2022 00:00 - 02.01.2022 01:00","0","n/e","n/e","1232","n/e","n/e","2096","n/e","n/e"
"02.01.2022 01:00 - 02.01.2022 02:00","0","n/e","n/e","1206","n/e","n/e","1890","n/e","n/e"
"02.01.2022 02:00 - 02.01.2022 03:00","0","n/e","n/e","1164","n/e","n/e","1752","n/e","n/e"
"02.01.2022 03:00 - 02.01.2022 04:00","0","n/e","n/e","1061","n/e","n/e","1588","n/e","n/e"
"02.01.2022 04:00 - 02.01.2022 05:00","0","n/e","n/e","1108","n/e","n/e","1485","n/e","n/e"
"02.01.2022 05:00 - 02.01.2022 06:00","0","n/e","n/e","1063","n/e","n/e","1377","n/e","n/e"
"02.01.2022 06:00 - 02.01.2022 07:00","0","n/e","n/e","1033","n/e","n/e","1385","n/e","n/e"
"02.01.2022 07:00 - 02.01.2022 08:00","0","n/e","n/e","1050","n/e","n/e","1360","n/e","n/e"
"02.01.2022 08:00 - 02.01.2022 09:00","0","n/e","n/e","977","n/e","n/e","1244","n/e","n/e"
"02.01.2022 09:00 - 02.01.2022 10:00","5","n/e","n/e","902","n/e","n/e","1128","n/e","n/e"
"02.01.2022 10:00 - 02.01.2022 11:00","18","n/e","n/e","840","n/e","n/e","996","n/e","n/e"
"02.01.2022 11:00 - 02.01.2022 12:00","30","n/e","n/e","772","n/e","n/e","902","n/e","n/e"
"02.01.2022 12:00 - 02.01.2022 13:00","37","n/e","n/e","705","n/e","n/e","803","n/e","n/e"
"02.01.2022 13:00 - 02.01.2022 14:00","26","n/e","n/e","792","n/e","n/e","669","n/e","n/e"
"02.01.2022 14:00 - 02.01.2022 15:00","14","n/e","n/e","690","n/e","n/e","616","n/e","n/e"
