"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"01.01.2022 00:00 - 01.01.2022 01:00","10498","10018"
"01.01.2022 01:00 - 01.01.2022 02:00","10268","9773"
"01.01.2022 02:00 - 01.01.2022 03:00","10176","9648"
"01.01.2022 03:00 - 01.01.2022 04:00","10189","9585"
"01.01.2022 04:00 - 01.01.2022 05:00","10294","9680"
"01.01.2022 05:00 - 01.01.2022 06:00","10506","9859"
"01.01.2022 06:00 - 01.01.2022 07:00","10543","9954"
"01.01.2022 07:00 - 01.01.2022 08:00","10757","10209"
"01.01.2022 08:00 - 01.01.2022 09:00","10832","10314"
"01.01.2022 09:00 - 01.01.2022 10:00","10976","10501"
"01.01.2022 10:00 - 01.01.2022 11:00","11154","10637"
"01.01.2022 11:00 - 01.01.2022 12:00","11313","10765"
"01.01.2022 12:00 - 01.01.2022 13:00","11360","10776"
"01.01.2022 13:00 - 01.01.2022 14:00","11440","10857"
"01.01.2022 14:00 - 01.01.2022 15:00","11740","11159"
"01.01.2022 15:00 - 01.01.2022 16:00","12020","11577"
"01.01.2022 16:00 - 01.01.2022 17:00","12086","11757"
"01.01.2022 17:00 - 01.01.2022 18:00","12137","11866"
"01.01.2022 18:00 - 01.01.2022 19:00","12124","11839"
"01.01.2022 19:00 - 01.01.2022 20:00","11958","11635"
"01.01.2022 20:00 - 01.01.2022 21:00","11640","11343"
"01.01.2022 21:00 - 01.01.2022 22:00","11861","11561"
"01.01.2022 22:00 - 01.01.2022 23:00","11726","11497"
"01.01.2022 23:00 - 02.01.2022 00:00","10896","11075"
"02.01.2022 00:00 - 02.01.2022 01:00","10643","10724"
"02.01.2022 01:00 - 02.01.2022 02:00","10499","10473"
"02.01.2022 02:00 - 02.01.2022 03:00","10421","10328"
"02.01.2022 03:00 - 02.01.2022 04:00","10461","10352"
"02.01.2022 04:00 - 02.01.2022 05:00","10559","10496"
"02.01.2022 05:00 - 02.01.2022 06:00","10775","10630"
"02.01.2022 06:00 - 02.01.2022 07:00","10850","10600"
"02.01.2022 07:00 - 02.01.2022 08:00","11134","10851"
"02.01.2022 08:00 - 02.01.2022 09:00","11244","10909"
"02.01.2022 09:00 - 02.01.2022 10:00","11397","11028"
"02.01.2022 10:00 - 02.01.2022 11:00","11538","11170"
"02.01.2022 11:00 - 02.01.2022 12:00","11574","11160"
"02.01.2022 12:00 - 02.01.2022 13:00","11562","11085"
"02.01.2022 13:00 - 02.01.2022 14:00","11598","11146"
"02.01.2022 14:00 - 02.01.2022 15:00","11801","11302"
"02.01.2022 15:00 - 02.01.2022 16:00","12033","11511"
"02.01.2022 16:00 - 02.01.2022 17:00","12144","11593"
"02.01.2022 17:00 - 02.01.2022 18:00","12191","11599"
"02.01.2022 18:00 - 02.01.2022 19:00","12191","11546"
"02.01.2022 19:00 - 02.01.2022 20:00","11975","11302"
"02.01.2022 20:00 - 02.01.2022 21:00","11593","10932"
"02.01.2022 21:00 - 02.01.2022 22:00","11851","11172"
"02.01.2022 22:00 - 02.01.2022 23:00","11719","11011"
"02.01.2022 23:00 - 03.01.2022 00:00","10603","10664"
"03.01.2022 00:00 - 03.01.2022 01:00","10379","10299"
"03.01.2022 01:00 - 03.01.2022 02:00","10329","10144"
"03.01.2022 02:00 - 03.01.2022 03:00","10273","10064"
"03.01.2022 03:00 - 03.01.2022 04:00","10391","10165"
"03.01.2022 04:00 - 03.01.2022 05:00","10735","10484"
"03.01.2022 05:00 - 03.01.2022 06:00","11407","11190"
"03.01.2022 06:00 - 03.01.2022 07:00","11811","11528"
"03.01.2022 07:00 - 03.01.2022 08:00","12101","11857"
"03.01.2022 08:00 - 03.01.2022 09:00","12104","11875"
"03.01.2022 09:00 - 03.01.2022 10:00","12118","11842"
"03.01.2022 10:00 - 03.01.2022 11:00","12161","11907"
"03.01.2022 11:00 - 03.01.2022 12:00","12192","11945"
"03.01.2022 12:00 - 03.01.2022 13:00","12153","11909"
"03.01.2022 13:00 - 03.01.2022 14:00","12202","11874"
"03.01.2022 14:00 - 03.01.2022 15:00","12346","11979"
"03.01.2022 15:00 - 03.01.2022 16:00","12557","12083"
"03.01.2022 16:00 - 03.01.2022 17:00","12545","12026"
"03.01.2022 17:00 - 03.01.2022 18:00","12504","11905"
"03.01.2022 18:00 - 03.01.2022 19:00","12503","11878"
"03.01.2022 19:00 - 03.01.2022 20:00","12270","11667"
"03.01.2022 20:00 - 03.01.2022 21:00","11863","11264"
"03.01.2022 21:00 - 03.01.2022 22:00","11964","11356"
"03.01.2022 22:00 - 03.01.2022 23:00","11719","11145"
"03.01.2022 23:00 - 04.01.2022 00:00","10426","10706"
"04.01.2022 00:00 - 04.01.2022 01:00","10196","10387"
"04.01.2022 01:00 - 04.01.2022 02:00","10133","10182"
"04.01.2022 02:00 - 04.01.2022 03:00","10074","10107"
"04.01.2022 03:00 - 04.01.2022 04:00","10187","10169"
"04.01.2022 04:00 - 04.01.2022 05:00","10508","10444"
"04.01.2022 05:00 - 04.01.2022 06:00","11127","11148"
"04.01.2022 06:00 - 04.01.2022 07:00","11504","11469"
"04.01.2022 07:00 - 04.01.2022 08:00","11773","11669"
"04.01.2022 08:00 - 04.01.2022 09:00","11769","11617"
"04.01.2022 09:00 - 04.01.2022 10:00","11767","11597"
"04.01.2022 10:00 - 04.01.2022 11:00","11791","11631"
"04.01.2022 11:00 - 04.01.2022 12:00","11796","11615"
"04.01.2022 12:00 - 04.01.2022 13:00","11742","11505"
"04.01.2022 13:00 - 04.01.2022 14:00","11765","11449"
"04.01.2022 14:00 - 04.01.2022 15:00","11892","11625"
"04.01.2022 15:00 - 04.01.2022 16:00","12084","11776"
"04.01.2022 16:00 - 04.01.2022 17:00","12083","11863"
"04.01.2022 17:00 - 04.01.2022 18:00","12055","11787"
"04.01.2022 18:00 - 04.01.2022 19:00","12047","11809"
"04.01.2022 19:00 - 04.01.2022 20:00","11832","11549"
"04.01.2022 20:00 - 04.01.2022 21:00","11456","10967"
"04.01.2022 21:00 - 04.01.2022 22:00","11562","11003"
"04.01.2022 22:00 - 04.01.2022 23:00","11360","10776"
"04.01.2022 23:00 - 05.01.2022 00:00","10275","10374"
"05.01.2022 00:00 - 05.01.2022 01:00","10084","10005"
"05.01.2022 01:00 - 05.01.2022 02:00","10027","9852"
"05.01.2022 02:00 - 05.01.2022 03:00","9989","9752"
"05.01.2022 03:00 - 05.01.2022 04:00","10067","9810"
"05.01.2022 04:00 - 05.01.2022 05:00","10362","10134"
"05.01.2022 05:00 - 05.01.2022 06:00","10888","10805"
"05.01.2022 06:00 - 05.01.2022 07:00","11225","11112"
"05.01.2022 07:00 - 05.01.2022 08:00","11469","11375"
"05.01.2022 08:00 - 05.01.2022 09:00","11459","11367"
"05.01.2022 09:00 - 05.01.2022 10:00","11484","11300"
"05.01.2022 10:00 - 05.01.2022 11:00","11588","11372"
"05.01.2022 11:00 - 05.01.2022 12:00","11627","11353"
"05.01.2022 12:00 - 05.01.2022 13:00","11544","11167"
"05.01.2022 13:00 - 05.01.2022 14:00","11628","11200"
"05.01.2022 14:00 - 05.01.2022 15:00","11715","11309"
"05.01.2022 15:00 - 05.01.2022 16:00","11818","11496"
"05.01.2022 16:00 - 05.01.2022 17:00","11790","11520"
"05.01.2022 17:00 - 05.01.2022 18:00","11793","11510"
"05.01.2022 18:00 - 05.01.2022 19:00","11752","11613"
"05.01.2022 19:00 - 05.01.2022 20:00","11525","11390"
"05.01.2022 20:00 - 05.01.2022 21:00","11201","10873"
"05.01.2022 21:00 - 05.01.2022 22:00","11247","10945"
"05.01.2022 22:00 - 05.01.2022 23:00","11059","10725"
"05.01.2022 23:00 - 06.01.2022 00:00","10245","10329"
"06.01.2022 00:00 - 06.01.2022 01:00","10022","9956"
"06.01.2022 01:00 - 06.01.2022 02:00","9925","9864"
"06.01.2022 02:00 - 06.01.2022 03:00","9887","9853"
"06.01.2022 03:00 - 06.01.2022 04:00","9971","9961"
"06.01.2022 04:00 - 06.01.2022 05:00","10100","10188"
"06.01.2022 05:00 - 06.01.2022 06:00","10370","10608"
"06.01.2022 06:00 - 06.01.2022 07:00","10481","10817"
"06.01.2022 07:00 - 06.01.2022 08:00","10799","11110"
"06.01.2022 08:00 - 06.01.2022 09:00","10875","11197"
"06.01.2022 09:00 - 06.01.2022 10:00","11059","11344"
"06.01.2022 10:00 - 06.01.2022 11:00","11204","11526"
"06.01.2022 11:00 - 06.01.2022 12:00","11293","11573"
"06.01.2022 12:00 - 06.01.2022 13:00","11267","11477"
"06.01.2022 13:00 - 06.01.2022 14:00","11315","11465"
"06.01.2022 14:00 - 06.01.2022 15:00","11562","11607"
"06.01.2022 15:00 - 06.01.2022 16:00","11917","11942"
"06.01.2022 16:00 - 06.01.2022 17:00","12008","12014"
"06.01.2022 17:00 - 06.01.2022 18:00","12010","11993"
"06.01.2022 18:00 - 06.01.2022 19:00","12037","12010"
"06.01.2022 19:00 - 06.01.2022 20:00","11807","11776"
"06.01.2022 20:00 - 06.01.2022 21:00","11360","11402"
"06.01.2022 21:00 - 06.01.2022 22:00","11540","11506"
"06.01.2022 22:00 - 06.01.2022 23:00","11413","11357"
"06.01.2022 23:00 - 07.01.2022 00:00","11152","10990"
"07.01.2022 00:00 - 07.01.2022 01:00","10948","10658"
"07.01.2022 01:00 - 07.01.2022 02:00","10847","10515"
"07.01.2022 02:00 - 07.01.2022 03:00","10801","10510"
"07.01.2022 03:00 - 07.01.2022 04:00","10884","10616"
"07.01.2022 04:00 - 07.01.2022 05:00","11218","10890"
"07.01.2022 05:00 - 07.01.2022 06:00","11912","11405"
"07.01.2022 06:00 - 07.01.2022 07:00","12302","11703"
"07.01.2022 07:00 - 07.01.2022 08:00","12556","11981"
"07.01.2022 08:00 - 07.01.2022 09:00","12517","12013"
"07.01.2022 09:00 - 07.01.2022 10:00","12484","12019"
"07.01.2022 10:00 - 07.01.2022 11:00","12486","12048"
"07.01.2022 11:00 - 07.01.2022 12:00","12469","11995"
"07.01.2022 12:00 - 07.01.2022 13:00","12410","12016"
"07.01.2022 13:00 - 07.01.2022 14:00","12425","11967"
"07.01.2022 14:00 - 07.01.2022 15:00","12574","12095"
"07.01.2022 15:00 - 07.01.2022 16:00","12764","12295"
"07.01.2022 16:00 - 07.01.2022 17:00","12839","12321"
"07.01.2022 17:00 - 07.01.2022 18:00","12837","12314"
"07.01.2022 18:00 - 07.01.2022 19:00","12734","12304"
"07.01.2022 19:00 - 07.01.2022 20:00","12588","12057"
"07.01.2022 20:00 - 07.01.2022 21:00","12232","11656"
"07.01.2022 21:00 - 07.01.2022 22:00","12423","11785"
"07.01.2022 22:00 - 07.01.2022 23:00","12226","11600"
"07.01.2022 23:00 - 08.01.2022 00:00","11064","11293"
"08.01.2022 00:00 - 08.01.2022 01:00","10878","11036"
"08.01.2022 01:00 - 08.01.2022 02:00","10820","10865"
"08.01.2022 02:00 - 08.01.2022 03:00","10794","10813"
"08.01.2022 03:00 - 08.01.2022 04:00","10868","10891"
"08.01.2022 04:00 - 08.01.2022 05:00","11031","11045"
"08.01.2022 05:00 - 08.01.2022 06:00","11306","11291"
"08.01.2022 06:00 - 08.01.2022 07:00","11445","11435"
"08.01.2022 07:00 - 08.01.2022 08:00","11757","11711"
"08.01.2022 08:00 - 08.01.2022 09:00","11869","11888"
"08.01.2022 09:00 - 08.01.2022 10:00","12002","12010"
"08.01.2022 10:00 - 08.01.2022 11:00","12088","12108"
"08.01.2022 11:00 - 08.01.2022 12:00","12109","12067"
"08.01.2022 12:00 - 08.01.2022 13:00","12090","12059"
"08.01.2022 13:00 - 08.01.2022 14:00","12111","12007"
"08.01.2022 14:00 - 08.01.2022 15:00","12274","12167"
"08.01.2022 15:00 - 08.01.2022 16:00","12595","12543"
"08.01.2022 16:00 - 08.01.2022 17:00","12808","12645"
"08.01.2022 17:00 - 08.01.2022 18:00","12901","12713"
"08.01.2022 18:00 - 08.01.2022 19:00","12802","12569"
"08.01.2022 19:00 - 08.01.2022 20:00","12474","12220"
"08.01.2022 20:00 - 08.01.2022 21:00","12036","11682"
"08.01.2022 21:00 - 08.01.2022 22:00","12153","11825"
"08.01.2022 22:00 - 08.01.2022 23:00","11983","11642"
"08.01.2022 23:00 - 09.01.2022 00:00","10991","11239"
"09.01.2022 00:00 - 09.01.2022 01:00","10724","10888"
"09.01.2022 01:00 - 09.01.2022 02:00","10567","10699"
"09.01.2022 02:00 - 09.01.2022 03:00","10474","10616"
"09.01.2022 03:00 - 09.01.2022 04:00","10498","10590"
"09.01.2022 04:00 - 09.01.2022 05:00","10581","10651"
"09.01.2022 05:00 - 09.01.2022 06:00","10760","10810"
"09.01.2022 06:00 - 09.01.2022 07:00","10825","10862"
"09.01.2022 07:00 - 09.01.2022 08:00","11106","11143"
