"Production Type","2022 [MW]"
"Biomass","116"
"Fossil Brown coal/Lignite","2497"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","2218"
"Fossil Hard coal","176"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","2780"
"Hydro Water Reservoir","3357"
"Marine","n/e"
"Nuclear","1300"
"Other","n/e"
"Other renewable","n/e"
"Solar","1160"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","2957"
"Total Grand capacity","16561"
