"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Switzerland (CH)","Actual Total Load [MW] - Switzerland (CH)"
"01.01.2022 00:00 - 01.01.2022 01:00","7511","7511"
"01.01.2022 01:00 - 01.01.2022 02:00","7636","7636"
"01.01.2022 02:00 - 01.01.2022 03:00","7446","7446"
"01.01.2022 03:00 - 01.01.2022 04:00","7622","7622"
"01.01.2022 04:00 - 01.01.2022 05:00","7699","7699"
"01.01.2022 05:00 - 01.01.2022 06:00","7312","7312"
"01.01.2022 06:00 - 01.01.2022 07:00","7153","7153"
"01.01.2022 07:00 - 01.01.2022 08:00","6951","6951"
"01.01.2022 08:00 - 01.01.2022 09:00","6684","6684"
"01.01.2022 09:00 - 01.01.2022 10:00","7070","7070"
"01.01.2022 10:00 - 01.01.2022 11:00","7266","7266"
"01.01.2022 11:00 - 01.01.2022 12:00","7652","7652"
"01.01.2022 12:00 - 01.01.2022 13:00","7345","7345"
"01.01.2022 13:00 - 01.01.2022 14:00","7315","7315"
"01.01.2022 14:00 - 01.01.2022 15:00","7087","7087"
"01.01.2022 15:00 - 01.01.2022 16:00","6968","6968"
"01.01.2022 16:00 - 01.01.2022 17:00","7046","7046"
"01.01.2022 17:00 - 01.01.2022 18:00","7170","7170"
"01.01.2022 18:00 - 01.01.2022 19:00","7338","7338"
"01.01.2022 19:00 - 01.01.2022 20:00","7427","7427"
"01.01.2022 20:00 - 01.01.2022 21:00","7383","7383"
"01.01.2022 21:00 - 01.01.2022 22:00","7307","7307"
"01.01.2022 22:00 - 01.01.2022 23:00","7181","7181"
"01.01.2022 23:00 - 02.01.2022 00:00","7152","7152"
"02.01.2022 00:00 - 02.01.2022 01:00","6973","6973"
"02.01.2022 01:00 - 02.01.2022 02:00","7066","7066"
"02.01.2022 02:00 - 02.01.2022 03:00","7351","7351"
"02.01.2022 03:00 - 02.01.2022 04:00","7348","7348"
"02.01.2022 04:00 - 02.01.2022 05:00","7164","7164"
"02.01.2022 05:00 - 02.01.2022 06:00","7024","7024"
"02.01.2022 06:00 - 02.01.2022 07:00","7093","7093"
"02.01.2022 07:00 - 02.01.2022 08:00","7209","7209"
"02.01.2022 08:00 - 02.01.2022 09:00","7057","7057"
"02.01.2022 09:00 - 02.01.2022 10:00","7186","7186"
"02.01.2022 10:00 - 02.01.2022 11:00","7265","7265"
"02.01.2022 11:00 - 02.01.2022 12:00","7385","7385"
"02.01.2022 12:00 - 02.01.2022 13:00","7591","7591"
"02.01.2022 13:00 - 02.01.2022 14:00","7687","7687"
"02.01.2022 14:00 - 02.01.2022 15:00","7442","7442"
"02.01.2022 15:00 - 02.01.2022 16:00","7130","7130"
"02.01.2022 16:00 - 02.01.2022 17:00","7146","7146"
"02.01.2022 17:00 - 02.01.2022 18:00","7088","7088"
"02.01.2022 18:00 - 02.01.2022 19:00","7600","7600"
"02.01.2022 19:00 - 02.01.2022 20:00","7736","7736"
"02.01.2022 20:00 - 02.01.2022 21:00","7424","7424"
"02.01.2022 21:00 - 02.01.2022 22:00","7084","7084"
"02.01.2022 22:00 - 02.01.2022 23:00","6980","6980"
"02.01.2022 23:00 - 03.01.2022 00:00","6986","6986"
"03.01.2022 00:00 - 03.01.2022 01:00","6849","6849"
"03.01.2022 01:00 - 03.01.2022 02:00","7431","7431"
"03.01.2022 02:00 - 03.01.2022 03:00","7408","7408"
"03.01.2022 03:00 - 03.01.2022 04:00","7373","7373"
"03.01.2022 04:00 - 03.01.2022 05:00","7309","7309"
"03.01.2022 05:00 - 03.01.2022 06:00","7350","7350"
"03.01.2022 06:00 - 03.01.2022 07:00","7247","7247"
"03.01.2022 07:00 - 03.01.2022 08:00","7254","7254"
"03.01.2022 08:00 - 03.01.2022 09:00","7590","7590"
