"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Belgium (BE)","Generation - Solar  [MW] Intraday / Belgium (BE)","Generation - Solar  [MW] Current / Belgium (BE)","Generation - Wind Offshore  [MW] Day Ahead/ Belgium (BE)","Generation - Wind Offshore  [MW] Intraday / Belgium (BE)","Generation - Wind Offshore  [MW] Current / Belgium (BE)","Generation - Wind Onshore  [MW] Day Ahead/ Belgium (BE)","Generation - Wind Onshore  [MW] Intraday / Belgium (BE)","Generation - Wind Onshore  [MW] Current / Belgium (BE)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","0","1216","1399","1399","580","567","567"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","0","1047","1265","1265","541","549","549"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","0","923","1176","1176","494","492","492"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","0","895","1030","1030","443","460","460"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","0","925","1176","1176","433","428","428"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","0","1053","1315","1315","451","467","467"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","0","1336","1401","1401","503","530","530"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","0","1542","1411","1411","567","643","643"
"01.01.2022 08:00 - 01.01.2022 09:00","1","2","2","1734","1494","1550","618","692","716"
"01.01.2022 09:00 - 01.01.2022 10:00","78","105","105","1805","1740","1745","680","729","762"
"01.01.2022 10:00 - 01.01.2022 11:00","242","342","342","1853","1853","1785","689","840","693"
"01.01.2022 11:00 - 01.01.2022 12:00","418","526","526","1808","1980","1944","631","1014","711"
"01.01.2022 12:00 - 01.01.2022 13:00","596","803","803","1868","1997","2011","581","1068","697"
"01.01.2022 13:00 - 01.01.2022 14:00","642","879","879","1918","1981","2010","560","1177","794"
"01.01.2022 14:00 - 01.01.2022 15:00","491","559","559","1885","1873","2009","792","1159","937"
"01.01.2022 15:00 - 01.01.2022 16:00","255","288","288","1777","1642","1800","898","987","914"
"01.01.2022 16:00 - 01.01.2022 17:00","39","40","40","1646","1440","1645","935","926","780"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0","1604","1474","1729","952","901","769"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0","1632","1585","1906","950","877","820"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","0","1540","1599","1853","971","896","877"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","0","1413","1613","1828","952","901","905"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","0","1434","1594","1823","924","891","892"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","0","1322","1612","1796","904","892","858"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","0","1293","1642","1840","927","926","879"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","0","1871","1958","1958","895","1033","1033"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0","0","1937","2058","2058","872","1006","1006"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0","0","1969","2026","2026","874","986","986"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0","0","1961","2003","2003","915","999","999"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0","0","1973","2130","2130","982","1042","1042"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0","0","1931","2128","2128","1072","1123","1123"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0","0","1923","2101","2101","1132","1130","1130"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0","0","1949","2094","2094","1228","1240","1240"
"02.01.2022 08:00 - 02.01.2022 09:00","1","1","1","2002","2118","2127","1314","1360","1408"
"02.01.2022 09:00 - 02.01.2022 10:00","72","103","103","2055","2141","2129","1384","1461","1436"
"02.01.2022 10:00 - 02.01.2022 11:00","203","217","217","2103","2141","2119","1439","1557","1481"
"02.01.2022 11:00 - 02.01.2022 12:00","322","435","435","2126","2131","2141","1463","1578","1461"
"02.01.2022 12:00 - 02.01.2022 13:00","354","528","528","2139","2134","2143","1500","1539","1366"
"02.01.2022 13:00 - 02.01.2022 14:00","331","529","529","2149","2126","2138","1521","1502","1324"
"02.01.2022 14:00 - 02.01.2022 15:00","292","434","434","2140","2121","2105","1592","1480","1370"
"02.01.2022 15:00 - 02.01.2022 16:00","165","191","191","2142","2118","2098","1577","1398","1353"
"02.01.2022 16:00 - 02.01.2022 17:00","28","28","28","2127","2115","2109","1474","1344","1344"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0","0","2116","2111","2152","1385","1337","1434"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0","0","2128","2118","2185","1407","1427","1580"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0","0","2150","2156","2159","1532","1627","1728"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0","0","2156","2164","2157","1664","1767","1850"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0","0","2157","2160","2165","1726","1812","1846"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0","0","2141","2147","2162","1739","1795","1815"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0","0","2147","2152","2160","1729","1760","1767"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0","0","2151","2149","2149","1723","1796","1796"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0","0","2148","2142","2142","1668","1725","1725"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0","0","2140","2139","2139","1607","1677","1677"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0","0","2132","2140","2140","1547","1639","1639"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0","0","2119","2140","2140","1507","1587","1587"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0","0","2124","2148","2148","1484","1572","1572"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0","0","2119","2150","2150","1486","1515","1515"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0","0","2129","2146","2146","1496","1496","1496"
"03.01.2022 08:00 - 03.01.2022 09:00","1","1","1","2130","2145","2137","1497","1481","1515"
"03.01.2022 09:00 - 03.01.2022 10:00","72","52","52","2150","2148","2118","1488","1454","1477"
"03.01.2022 10:00 - 03.01.2022 11:00","204","161","161","2129","2125","2120","1458","1396","1430"
"03.01.2022 11:00 - 03.01.2022 12:00","321","238","238","2118","2101","2119","1450","1418","1399"
"03.01.2022 12:00 - 03.01.2022 13:00","350","182","182","2124","2097","2098","1493","1417","1393"
"03.01.2022 13:00 - 03.01.2022 14:00","259","157","157","2126","2106","2092","1488","1358","1342"
"03.01.2022 14:00 - 03.01.2022 15:00","169","113","113","2100","2081","2081","1453","1262","1310"
"03.01.2022 15:00 - 03.01.2022 16:00","87","65","65","2095","2039","2049","1358","1129","1266"
"03.01.2022 16:00 - 03.01.2022 17:00","15","12","12","2058","1946","2024","1226","1030","1205"
"03.01.2022 17:00 - 03.01.2022 18:00","0","0","0","1986","1884","1941","1096","947","1047"
"03.01.2022 18:00 - 03.01.2022 19:00","0","0","0","1862","1710","1795","947","849","855"
"03.01.2022 19:00 - 03.01.2022 20:00","0","0","0","1683","1632","1527","809","732","808"
"03.01.2022 20:00 - 03.01.2022 21:00","0","0","0","1501","1495","1463","669","634","716"
"03.01.2022 21:00 - 03.01.2022 22:00","0","0","0","1216","1352","1368","523","560","602"
"03.01.2022 22:00 - 03.01.2022 23:00","0","0","0","882","1233","1178","387","497","490"
"03.01.2022 23:00 - 04.01.2022 00:00","0","0","0","650","1053","1111","292","436","411"
"04.01.2022 00:00 - 04.01.2022 01:00","0","0","0","994","999","999","318","302","302"
"04.01.2022 01:00 - 04.01.2022 02:00","0","0","0","787","954","954","268","259","259"
"04.01.2022 02:00 - 04.01.2022 03:00","0","0","0","568","905","905","243","244","244"
"04.01.2022 03:00 - 04.01.2022 04:00","0","0","0","491","824","824","216","232","232"
"04.01.2022 04:00 - 04.01.2022 05:00","0","0","0","426","818","818","179","205","205"
"04.01.2022 05:00 - 04.01.2022 06:00","0","0","0","387","865","865","163","216","216"
"04.01.2022 06:00 - 04.01.2022 07:00","0","0","0","305","804","804","146","209","209"
"04.01.2022 07:00 - 04.01.2022 08:00","0","0","0","227","526","526","136","196","196"
"04.01.2022 08:00 - 04.01.2022 09:00","1","1","1","215","380","363","151","207","199"
"04.01.2022 09:00 - 04.01.2022 10:00","39","34","34","254","341","428","188","218","248"
"04.01.2022 10:00 - 04.01.2022 11:00","142","109","109","291","303","417","204","240","249"
"04.01.2022 11:00 - 04.01.2022 12:00","240","165","165","280","267","371","220","270","286"
"04.01.2022 12:00 - 04.01.2022 13:00","317","245","245","202","230","244","226","280","343"
"04.01.2022 13:00 - 04.01.2022 14:00","303","225","225","288","328","269","254","294","343"
"04.01.2022 14:00 - 04.01.2022 15:00","238","167","167","674","628","454","338","356","365"
"04.01.2022 15:00 - 04.01.2022 16:00","128","81","81","1226","930","714","448","410","386"
"04.01.2022 16:00 - 04.01.2022 17:00","24","14","14","1199","1089","960","493","411","426"
"04.01.2022 17:00 - 04.01.2022 18:00","0","0","0","1074","1065","934","462","430","392"
"04.01.2022 18:00 - 04.01.2022 19:00","0","0","0","1273","1289","1097","465","468","399"
"04.01.2022 19:00 - 04.01.2022 20:00","0","0","0","1477","1515","1320","485","518","480"
"04.01.2022 20:00 - 04.01.2022 21:00","0","0","0","1703","1757","1422","511","572","501"
"04.01.2022 21:00 - 04.01.2022 22:00","0","0","0","1751","1849","1588","566","620","558"
"04.01.2022 22:00 - 04.01.2022 23:00","0","0","0","1853","1912","1674","670","709","630"
"04.01.2022 23:00 - 05.01.2022 00:00","0","0","0","1935","1960","1889","743","788","698"
"05.01.2022 00:00 - 05.01.2022 01:00","0","0","0","2003","1884","1884","782","757","757"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","0","2060","1948","1948","840","779","779"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","0","2087","2029","2029","900","789","789"
