MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Solar  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Offshore  [MW] Intraday / Bulgaria (BG),Generation - Wind Offshore  [MW] Current / Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG),Generation - Wind Onshore  [MW] Day Ahead/ Bulgaria (BG)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,N/A,n/e,n/e,166,166,166
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,N/A,n/e,n/e,133,133,133
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,N/A,n/e,n/e,129,129,129
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,N/A,n/e,n/e,139,139,139
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,N/A,n/e,n/e,155,155,155
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,N/A,n/e,n/e,165,165,165
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,N/A,n/e,n/e,194,194,194
01.01.2022 07:00 - 01.01.2022 08:00,14,14,14,N/A,n/e,n/e,311,311,311
01.01.2022 08:00 - 01.01.2022 09:00,59,59,59,N/A,n/e,n/e,452,452,452
01.01.2022 09:00 - 01.01.2022 10:00,110,110,110,N/A,n/e,n/e,506,506,506
01.01.2022 10:00 - 01.01.2022 11:00,187,187,187,N/A,n/e,n/e,343,343,343
01.01.2022 11:00 - 01.01.2022 12:00,226,226,226,N/A,n/e,n/e,331,331,331
01.01.2022 12:00 - 01.01.2022 13:00,267,267,267,N/A,n/e,n/e,509,509,509
01.01.2022 13:00 - 01.01.2022 14:00,209,209,209,N/A,n/e,n/e,466,466,466
01.01.2022 14:00 - 01.01.2022 15:00,118,118,118,N/A,n/e,n/e,488,488,488
01.01.2022 15:00 - 01.01.2022 16:00,16,16,16,N/A,n/e,n/e,471,471,471
01.01.2022 16:00 - 01.01.2022 17:00,0,0,0,N/A,n/e,n/e,426,426,426
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,N/A,n/e,n/e,415,415,415
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,N/A,n/e,n/e,427,427,427
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,N/A,n/e,n/e,404,404,404
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,N/A,n/e,n/e,431,431,431
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,N/A,n/e,n/e,406,406,406
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,N/A,n/e,n/e,334,334,334
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,N/A,n/e,n/e,429,429,429
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,N/A,n/e,n/e,423,423,423
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,N/A,n/e,n/e,376,376,376
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,N/A,n/e,n/e,393,393,393
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,N/A,n/e,n/e,478,478,478
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,N/A,n/e,n/e,462,462,462
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,N/A,n/e,n/e,391,391,391
