MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Day Ahead/ France (FR),Generation - Solar  [MW] Current / France (FR),Generation - Wind Offshore  [MW] Day Ahead/ France (FR),Generation - Wind Offshore  [MW] Intraday / France (FR),Generation - Wind Offshore  [MW] Current / France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Day Ahead/ France (FR),Generation - Wind Onshore  [MW] Current / France (FR)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,n/e,n/e,n/e,2624,2624,3062
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,n/e,n/e,n/e,2595,2595,2931
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,n/e,n/e,n/e,2756,2756,3008
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,n/e,n/e,n/e,2917,2917,3084
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,n/e,n/e,n/e,3080,3080,3160
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,n/e,n/e,n/e,3319,3319,3395
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,n/e,n/e,n/e,3559,3559,3632
01.01.2022 07:00 - 01.01.2022 08:00,0,0,0,n/e,n/e,n/e,3799,3799,3951
01.01.2022 08:00 - 01.01.2022 09:00,0,0,0,n/e,n/e,n/e,3963,3963,4677
01.01.2022 09:00 - 01.01.2022 10:00,227,227,231,n/e,n/e,n/e,4127,4127,5379
01.01.2022 10:00 - 01.01.2022 11:00,1488,1488,1598,n/e,n/e,n/e,4291,4291,5848
01.01.2022 11:00 - 01.01.2022 12:00,3001,3001,3225,n/e,n/e,n/e,4279,4279,5787
01.01.2022 12:00 - 01.01.2022 13:00,3976,3976,4232,n/e,n/e,n/e,4266,4266,5691
01.01.2022 13:00 - 01.01.2022 14:00,4294,4294,4458,n/e,n/e,n/e,4252,4252,5579
01.01.2022 14:00 - 01.01.2022 15:00,3848,3848,3948,n/e,n/e,n/e,4102,4102,5106
01.01.2022 15:00 - 01.01.2022 16:00,2654,2654,2654,n/e,n/e,n/e,3953,3953,4627
01.01.2022 16:00 - 01.01.2022 17:00,1034,1034,1030,n/e,n/e,n/e,3805,3805,4142
01.01.2022 17:00 - 01.01.2022 18:00,57,57,55,n/e,n/e,n/e,4308,4308,4446
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,n/e,n/e,n/e,4812,4812,4744
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,n/e,n/e,n/e,5316,5316,5040
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,n/e,n/e,n/e,5210,5210,5274
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,n/e,n/e,n/e,5105,5105,5509
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,n/e,n/e,n/e,5000,5000,5746
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,n/e,n/e,n/e,5082,5082,5611
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,n/e,n/e,n/e,4973,4973,5470
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,n/e,n/e,n/e,4891,4891,5593
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,n/e,n/e,n/e,5122,5122,6018
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,n/e,n/e,n/e,5350,5350,6442
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,n/e,n/e,n/e,5578,5578,6863
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,n/e,n/e,n/e,5974,5974,7082
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,n/e,n/e,n/e,6367,6367,7300
02.01.2022 07:00 - 02.01.2022 08:00,0,0,0,n/e,n/e,n/e,6758,6758,7109
02.01.2022 08:00 - 02.01.2022 09:00,0,0,0,n/e,n/e,n/e,7313,7313,7528
02.01.2022 09:00 - 02.01.2022 10:00,207,207,189,n/e,n/e,n/e,7871,7871,7918
02.01.2022 10:00 - 02.01.2022 11:00,1260,1260,1184,n/e,n/e,n/e,8428,8428,8924
02.01.2022 11:00 - 02.01.2022 12:00,2444,2444,2347,n/e,n/e,n/e,9181,9181,9197
