MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
01.01.2022 00:00 - 01.01.2022 00:15,0,0,0,5973,6056,5973,25931,25442,25931
01.01.2022 00:15 - 01.01.2022 00:30,0,0,0,5944,6105,5944,25718,25423,25718
01.01.2022 00:30 - 01.01.2022 00:45,0,0,0,5914,6084,5914,25497,25841,25497
01.01.2022 00:45 - 01.01.2022 01:00,0,0,0,5881,6015,5881,25265,25478,25265
01.01.2022 01:00 - 01.01.2022 01:15,0,0,0,5910,5846,5910,25027,25150,25027
01.01.2022 01:15 - 01.01.2022 01:30,0,0,0,5865,5686,5865,24767,24675,24767
01.01.2022 01:30 - 01.01.2022 01:45,0,0,0,5811,5436,5811,24498,24612,24498
01.01.2022 01:45 - 01.01.2022 02:00,0,0,0,5753,5321,5753,24219,24519,24219
01.01.2022 02:00 - 01.01.2022 02:15,0,0,0,5690,5266,5690,23925,24025,23925
01.01.2022 02:15 - 01.01.2022 02:30,0,0,0,5618,5338,5618,23633,23459,23633
01.01.2022 02:30 - 01.01.2022 02:45,0,0,0,5542,5251,5542,23328,23264,23328
01.01.2022 02:45 - 01.01.2022 03:00,0,0,0,5468,5313,5468,23017,22841,23017
01.01.2022 03:00 - 01.01.2022 03:15,0,0,0,5392,5207,5392,22713,22440,22713
01.01.2022 03:15 - 01.01.2022 03:30,0,0,0,5317,5181,5317,22454,21861,22454
01.01.2022 03:30 - 01.01.2022 03:45,0,0,0,5243,5099,5243,22201,21701,22201
01.01.2022 03:45 - 01.01.2022 04:00,0,0,0,5162,5094,5162,21948,21493,21948
01.01.2022 04:00 - 01.01.2022 04:15,0,0,0,5084,5079,5084,21693,21450,21693
01.01.2022 04:15 - 01.01.2022 04:30,0,0,0,5007,5105,5007,21423,21087,21423
01.01.2022 04:30 - 01.01.2022 04:45,0,0,0,4929,5146,4929,21153,20982,21153
01.01.2022 04:45 - 01.01.2022 05:00,0,0,0,4851,5217,4851,20882,20535,20882
01.01.2022 05:00 - 01.01.2022 05:15,0,0,0,4739,5302,4739,20626,20010,20626
01.01.2022 05:15 - 01.01.2022 05:30,0,0,0,4682,5367,4682,20337,19954,20337
01.01.2022 05:30 - 01.01.2022 05:45,0,0,0,4618,5336,4618,20048,19477,20048
01.01.2022 05:45 - 01.01.2022 06:00,0,0,0,4559,5199,4559,19757,19441,19757
01.01.2022 06:00 - 01.01.2022 06:15,0,0,0,4492,4911,4492,19722,19598,19722
01.01.2022 06:15 - 01.01.2022 06:30,0,0,0,4443,4568,4443,19452,19025,19452
01.01.2022 06:30 - 01.01.2022 06:45,0,0,0,4391,4345,4391,19173,18965,19173
01.01.2022 06:45 - 01.01.2022 07:00,0,0,0,4339,4291,4339,18891,18919,18891
01.01.2022 07:00 - 01.01.2022 07:15,0,0,0,4278,4342,4278,18594,18570,18594
01.01.2022 07:15 - 01.01.2022 07:30,0,0,0,4207,4475,4207,18308,18354,18308
01.01.2022 07:30 - 01.01.2022 07:45,0,0,0,4132,4570,4132,18023,17485,18023
01.01.2022 07:45 - 01.01.2022 08:00,0,0,0,4058,4503,4058,17746,17034,17746
01.01.2022 08:00 - 01.01.2022 08:15,17,22,17,3989,4448,3989,17457,16741,17457
01.01.2022 08:15 - 01.01.2022 08:30,103,120,103,3919,4401,3919,17134,16468,17134
01.01.2022 08:30 - 01.01.2022 08:45,439,437,439,3846,4348,3846,16798,16064,16798
01.01.2022 08:45 - 01.01.2022 09:00,783,840,783,3773,4293,3773,16455,15846,16455
01.01.2022 09:00 - 01.01.2022 09:15,1223,1353,1223,3710,4261,3710,16080,15528,16080
01.01.2022 09:15 - 01.01.2022 09:30,1732,1935,1732,3712,4279,3712,15680,15212,15680
01.01.2022 09:30 - 01.01.2022 09:45,2299,2549,2299,3713,4297,3713,15265,14893,15265
01.01.2022 09:45 - 01.01.2022 10:00,2871,3175,2871,3711,4313,3711,14843,14568,14843
01.01.2022 10:00 - 01.01.2022 10:15,3445,3776,3445,3738,4333,3738,14444,14252,14444
01.01.2022 10:15 - 01.01.2022 10:30,4002,4364,4002,3831,4416,3831,13996,13890,13996
01.01.2022 10:30 - 01.01.2022 10:45,4541,4910,4541,3928,4499,3928,13548,13526,13548
