"Production Type","2022 [MW]"
"Biomass","106"
"Fossil Brown coal/Lignite","2001"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","5213"
"Fossil Hard coal","n/e"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","0"
"Hydro Pumped Storage","699"
"Hydro Run-of-river and poundage","319"
"Hydro Water Reservoir","2403"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","109"
"Solar","3820"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","4150"
"Total Grand capacity","18820"
