MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Greece (GR),Generation - Solar  [MW] Intraday / Greece (GR),Generation - Solar  [MW] Day Ahead/ Greece (GR),Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR),Generation - Wind Offshore  [MW] Intraday / Greece (GR),Generation - Wind Offshore  [MW] Current / Greece (GR),Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR),Generation - Wind Onshore  [MW] Intraday / Greece (GR),Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,n/e,n/e,n/e,948,948,948
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,n/e,n/e,n/e,781,781,781
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,n/e,n/e,n/e,626,626,626
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,n/e,n/e,n/e,508,508,508
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,n/e,n/e,n/e,429,429,429
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,n/e,n/e,n/e,381,381,381
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,n/e,n/e,n/e,344,344,344
01.01.2022 07:00 - 01.01.2022 08:00,249,249,249,n/e,n/e,n/e,313,313,313
01.01.2022 08:00 - 01.01.2022 09:00,799,799,799,n/e,n/e,n/e,290,290,290
01.01.2022 09:00 - 01.01.2022 10:00,1272,1272,1272,n/e,n/e,n/e,269,269,269
01.01.2022 10:00 - 01.01.2022 11:00,1536,1536,1536,n/e,n/e,n/e,250,250,250
01.01.2022 11:00 - 01.01.2022 12:00,1645,1645,1645,n/e,n/e,n/e,251,251,251
01.01.2022 12:00 - 01.01.2022 13:00,1603,1583,1603,n/e,n/e,n/e,273,263,273
01.01.2022 13:00 - 01.01.2022 14:00,1372,1354,1372,n/e,n/e,n/e,297,288,297
01.01.2022 14:00 - 01.01.2022 15:00,910,901,910,n/e,n/e,n/e,323,324,323
01.01.2022 15:00 - 01.01.2022 16:00,313,306,313,n/e,n/e,n/e,373,377,373
01.01.2022 16:00 - 01.01.2022 17:00,8,7,8,n/e,n/e,n/e,455,459,455
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,n/e,n/e,n/e,576,595,576
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,n/e,n/e,n/e,728,756,728
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,n/e,n/e,n/e,885,900,885
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,n/e,n/e,n/e,1029,1030,1029
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,n/e,n/e,n/e,1172,1169,1172
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,n/e,n/e,n/e,1320,1296,1320
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,n/e,n/e,n/e,1388,1388,1388
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,n/e,n/e,n/e,1455,1455,1455
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,n/e,n/e,n/e,1511,1511,1511
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,n/e,n/e,n/e,1544,1544,1544
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,n/e,n/e,n/e,1582,1582,1582
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,n/e,n/e,n/e,1614,1614,1614
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,n/e,n/e,n/e,1603,1603,1603
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,n/e,n/e,n/e,1541,1541,1541
02.01.2022 07:00 - 02.01.2022 08:00,263,263,263,n/e,n/e,n/e,1434,1434,1434
02.01.2022 08:00 - 02.01.2022 09:00,891,891,891,n/e,n/e,n/e,1282,1282,1282
02.01.2022 09:00 - 02.01.2022 10:00,1432,1432,1432,n/e,n/e,n/e,1121,1121,1121
02.01.2022 10:00 - 02.01.2022 11:00,1717,1717,1717,n/e,n/e,n/e,1058,1058,1058
02.01.2022 11:00 - 02.01.2022 12:00,1803,1803,1803,n/e,n/e,n/e,1052,1052,1052
02.01.2022 12:00 - 02.01.2022 13:00,1728,1760,1728,n/e,n/e,n/e,1008,954,1008
02.01.2022 13:00 - 02.01.2022 14:00,1451,1482,1451,n/e,n/e,n/e,943,901,943
02.01.2022 14:00 - 02.01.2022 15:00,952,972,952,n/e,n/e,n/e,848,828,848
02.01.2022 15:00 - 02.01.2022 16:00,329,328,329,n/e,n/e,n/e,734,713,734
02.01.2022 16:00 - 02.01.2022 17:00,9,7,9,n/e,n/e,n/e,642,599,642
02.01.2022 17:00 - 02.01.2022 18:00,0,0,0,n/e,n/e,n/e,577,519,577
02.01.2022 18:00 - 02.01.2022 19:00,0,0,0,n/e,n/e,n/e,524,460,524
02.01.2022 19:00 - 02.01.2022 20:00,0,0,0,n/e,n/e,n/e,472,414,472
02.01.2022 20:00 - 02.01.2022 21:00,0,0,0,n/e,n/e,n/e,423,379,423
02.01.2022 21:00 - 02.01.2022 22:00,0,0,0,n/e,n/e,n/e,399,363,399
02.01.2022 22:00 - 02.01.2022 23:00,0,0,0,n/e,n/e,n/e,401,365,401
02.01.2022 23:00 - 03.01.2022 00:00,0,0,0,n/e,n/e,n/e,391,391,391
03.01.2022 00:00 - 03.01.2022 01:00,0,0,0,n/e,n/e,n/e,409,409,409
03.01.2022 01:00 - 03.01.2022 02:00,0,0,0,n/e,n/e,n/e,483,483,483
03.01.2022 02:00 - 03.01.2022 03:00,0,0,0,n/e,n/e,n/e,572,572,572
03.01.2022 03:00 - 03.01.2022 04:00,0,0,0,n/e,n/e,n/e,661,661,661
03.01.2022 04:00 - 03.01.2022 05:00,0,0,0,n/e,n/e,n/e,741,741,741
03.01.2022 05:00 - 03.01.2022 06:00,0,0,0,n/e,n/e,n/e,814,814,814
03.01.2022 06:00 - 03.01.2022 07:00,0,0,0,n/e,n/e,n/e,891,891,891
03.01.2022 07:00 - 03.01.2022 08:00,256,256,256,n/e,n/e,n/e,959,959,959
03.01.2022 08:00 - 03.01.2022 09:00,858,858,858,n/e,n/e,n/e,1004,1004,1004
03.01.2022 09:00 - 03.01.2022 10:00,1387,1387,1387,n/e,n/e,n/e,1014,1014,1014
03.01.2022 10:00 - 03.01.2022 11:00,1672,1672,1672,n/e,n/e,n/e,1016,1016,1016
03.01.2022 11:00 - 03.01.2022 12:00,1778,1778,1778,n/e,n/e,n/e,1043,1043,1043
03.01.2022 12:00 - 03.01.2022 13:00,1710,1723,1710,n/e,n/e,n/e,1067,1038,1067
03.01.2022 13:00 - 03.01.2022 14:00,1446,1449,1446,n/e,n/e,n/e,1077,1057,1077
03.01.2022 14:00 - 03.01.2022 15:00,958,950,958,n/e,n/e,n/e,1079,1084,1079
03.01.2022 15:00 - 03.01.2022 16:00,337,328,337,n/e,n/e,n/e,1112,1132,1112
03.01.2022 16:00 - 03.01.2022 17:00,10,9,10,n/e,n/e,n/e,1167,1178,1167
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,n/e,n/e,n/e,1199,1186,1199
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,n/e,n/e,n/e,1190,1156,1190
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,n/e,n/e,n/e,1164,1111,1164
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,n/e,n/e,n/e,1144,1057,1144
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,n/e,n/e,n/e,1115,970,1115
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,n/e,n/e,n/e,1060,857,1060
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,n/e,n/e,n/e,767,767,767
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,n/e,n/e,n/e,691,691,691
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,n/e,n/e,n/e,619,619,619
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,n/e,n/e,n/e,553,553,553
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,n/e,n/e,n/e,504,504,504
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,n/e,n/e,n/e,467,467,467
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,n/e,n/e,n/e,439,439,439
04.01.2022 06:00 - 04.01.2022 07:00,3,3,3,n/e,n/e,n/e,413,413,413
04.01.2022 07:00 - 04.01.2022 08:00,247,247,247,n/e,n/e,n/e,387,387,387
04.01.2022 08:00 - 04.01.2022 09:00,814,814,814,n/e,n/e,n/e,371,371,371
04.01.2022 09:00 - 04.01.2022 10:00,1317,1317,1317,n/e,n/e,n/e,369,369,369
04.01.2022 10:00 - 04.01.2022 11:00,1597,1597,1597,n/e,n/e,n/e,390,390,390
04.01.2022 11:00 - 04.01.2022 12:00,1695,1695,1695,n/e,n/e,n/e,451,451,451
04.01.2022 12:00 - 04.01.2022 13:00,1631,1592,1631,n/e,n/e,n/e,545,467,545
04.01.2022 13:00 - 04.01.2022 14:00,1371,1321,1371,n/e,n/e,n/e,652,575,652
04.01.2022 14:00 - 04.01.2022 15:00,906,868,906,n/e,n/e,n/e,757,677,757
04.01.2022 15:00 - 04.01.2022 16:00,320,308,320,n/e,n/e,n/e,867,792,867
04.01.2022 16:00 - 04.01.2022 17:00,10,10,10,n/e,n/e,n/e,987,935,987
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,n/e,n/e,n/e,1102,1094,1102
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,n/e,n/e,n/e,1211,1229,1211
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,n/e,n/e,n/e,1300,1304,1300
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,n/e,n/e,n/e,1356,1334,1356
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,n/e,n/e,n/e,1379,1349,1379
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,n/e,n/e,n/e,1376,1350,1376
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,n/e,n/e,n/e,1328,1328,1328
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,n/e,n/e,n/e,1299,1299,1299
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,n/e,n/e,n/e,1272,1272,1272
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,n/e,n/e,n/e,1251,1251,1251
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,n/e,n/e,n/e,1244,1244,1244
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,n/e,n/e,n/e,1260,1260,1260
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,n/e,n/e,n/e,1311,1311,1311
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,n/e,n/e,n/e,1367,1367,1367
05.01.2022 07:00 - 05.01.2022 08:00,229,229,229,n/e,n/e,n/e,1417,1417,1417
05.01.2022 08:00 - 05.01.2022 09:00,806,806,806,n/e,n/e,n/e,1458,1458,1458
05.01.2022 09:00 - 05.01.2022 10:00,1320,1320,1320,n/e,n/e,n/e,1463,1463,1463
05.01.2022 10:00 - 05.01.2022 11:00,1624,1624,1624,n/e,n/e,n/e,1475,1475,1475
05.01.2022 11:00 - 05.01.2022 12:00,1742,1742,1742,n/e,n/e,n/e,1524,1524,1524
05.01.2022 12:00 - 05.01.2022 13:00,1681,1652,1681,n/e,n/e,n/e,1583,1647,1583
05.01.2022 13:00 - 05.01.2022 14:00,1419,1391,1419,n/e,n/e,n/e,1640,1699,1640
05.01.2022 14:00 - 05.01.2022 15:00,935,915,935,n/e,n/e,n/e,1676,1730,1676
05.01.2022 15:00 - 05.01.2022 16:00,321,308,321,n/e,n/e,n/e,1729,1791,1729
05.01.2022 16:00 - 05.01.2022 17:00,11,9,11,n/e,n/e,n/e,1804,1882,1804
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,n/e,n/e,n/e,1879,1976,1879
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,n/e,n/e,n/e,1962,2069,1962
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,n/e,n/e,n/e,2017,2143,2017
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,n/e,n/e,n/e,2051,2193,2051
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,n/e,n/e,n/e,2087,2219,2087
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,n/e,n/e,n/e,2107,2229,2107
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,n/e,n/e,n/e,2223,2223,2223
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,n/e,n/e,n/e,2158,2158,2158
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,n/e,n/e,n/e,2123,2123,2123
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,n/e,n/e,n/e,2082,2082,2082
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,n/e,n/e,n/e,2021,2021,2021
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,n/e,n/e,n/e,1967,1967,1967
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,n/e,n/e,n/e,1940,1940,1940
06.01.2022 06:00 - 06.01.2022 07:00,3,3,3,n/e,n/e,n/e,1918,1918,1918
06.01.2022 07:00 - 06.01.2022 08:00,209,209,209,n/e,n/e,n/e,1887,1887,1887
06.01.2022 08:00 - 06.01.2022 09:00,727,727,727,n/e,n/e,n/e,1843,1843,1843
06.01.2022 09:00 - 06.01.2022 10:00,1205,1205,1205,n/e,n/e,n/e,1806,1806,1806
06.01.2022 10:00 - 06.01.2022 11:00,1495,1495,1495,n/e,n/e,n/e,1812,1812,1812
06.01.2022 11:00 - 06.01.2022 12:00,1607,1607,1607,n/e,n/e,n/e,1857,1857,1857
06.01.2022 12:00 - 06.01.2022 13:00,1536,1577,1536,n/e,n/e,n/e,1892,1992,1892
06.01.2022 13:00 - 06.01.2022 14:00,1271,1307,1271,n/e,n/e,n/e,1882,1999,1882
06.01.2022 14:00 - 06.01.2022 15:00,821,845,821,n/e,n/e,n/e,1822,1927,1822
06.01.2022 15:00 - 06.01.2022 16:00,286,290,286,n/e,n/e,n/e,1749,1806,1749
06.01.2022 16:00 - 06.01.2022 17:00,13,12,13,n/e,n/e,n/e,1690,1708,1690
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,n/e,n/e,n/e,1633,1652,1633
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,n/e,n/e,n/e,1576,1617,1576
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,n/e,n/e,n/e,1524,1592,1524
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,n/e,n/e,n/e,1486,1563,1486
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,n/e,n/e,n/e,1458,1522,1458
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,n/e,n/e,n/e,1430,1482,1430
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,n/e,n/e,n/e,1419,1419,1419
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,n/e,n/e,n/e,1268,1268,1268
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,n/e,n/e,n/e,1134,1134,1134
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,n/e,n/e,n/e,973,973,973
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,n/e,n/e,n/e,818,818,818
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,n/e,n/e,n/e,693,693,693
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,n/e,n/e,n/e,611,611,611
07.01.2022 06:00 - 07.01.2022 07:00,4,4,4,n/e,n/e,n/e,562,562,562
07.01.2022 07:00 - 07.01.2022 08:00,170,170,170,n/e,n/e,n/e,543,543,543
07.01.2022 08:00 - 07.01.2022 09:00,552,552,552,n/e,n/e,n/e,529,529,529
07.01.2022 09:00 - 07.01.2022 10:00,878,878,878,n/e,n/e,n/e,496,496,496
07.01.2022 10:00 - 07.01.2022 11:00,1041,1041,1041,n/e,n/e,n/e,475,475,475
07.01.2022 11:00 - 07.01.2022 12:00,1059,1059,1059,n/e,n/e,n/e,467,467,467
07.01.2022 12:00 - 07.01.2022 13:00,956,1017,956,n/e,n/e,n/e,470,322,470
07.01.2022 13:00 - 07.01.2022 14:00,740,787,740,n/e,n/e,n/e,487,334,487
07.01.2022 14:00 - 07.01.2022 15:00,450,483,450,n/e,n/e,n/e,523,344,523
07.01.2022 15:00 - 07.01.2022 16:00,163,172,163,n/e,n/e,n/e,563,375,563
07.01.2022 16:00 - 07.01.2022 17:00,11,10,11,n/e,n/e,n/e,601,415,601
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,n/e,n/e,n/e,634,437,634
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,n/e,n/e,n/e,674,446,674
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,n/e,n/e,n/e,698,466,698
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,n/e,n/e,n/e,698,476,698
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,n/e,n/e,n/e,698,471,698
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,n/e,n/e,n/e,692,464,692
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,n/e,n/e,n/e,459,459,459
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,n/e,n/e,n/e,555,555,555
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,n/e,n/e,n/e,558,558,558
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,n/e,n/e,n/e,559,559,559
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,n/e,n/e,n/e,570,570,570
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,n/e,n/e,n/e,585,585,585
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,n/e,n/e,n/e,601,601,601
08.01.2022 06:00 - 08.01.2022 07:00,4,4,4,n/e,n/e,n/e,602,602,602
08.01.2022 07:00 - 08.01.2022 08:00,87,87,87,n/e,n/e,n/e,587,587,587
08.01.2022 08:00 - 08.01.2022 09:00,258,258,258,n/e,n/e,n/e,570,570,570
08.01.2022 09:00 - 08.01.2022 10:00,440,440,440,n/e,n/e,n/e,531,531,531
08.01.2022 10:00 - 08.01.2022 11:00,574,574,574,n/e,n/e,n/e,487,487,487
08.01.2022 11:00 - 08.01.2022 12:00,642,642,642,n/e,n/e,n/e,471,471,471
08.01.2022 12:00 - 08.01.2022 13:00,627,629,627,n/e,n/e,n/e,469,425,469
08.01.2022 13:00 - 08.01.2022 14:00,522,519,522,n/e,n/e,n/e,479,411,479
08.01.2022 14:00 - 08.01.2022 15:00,347,338,347,n/e,n/e,n/e,490,393,490
08.01.2022 15:00 - 08.01.2022 16:00,139,136,139,n/e,n/e,n/e,486,395,486
08.01.2022 16:00 - 08.01.2022 17:00,14,11,14,n/e,n/e,n/e,486,414,486
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,n/e,n/e,n/e,501,432,501
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,n/e,n/e,n/e,508,447,508
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,n/e,n/e,n/e,495,436,495
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,n/e,n/e,n/e,486,398,486
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,n/e,n/e,n/e,485,365,485
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,n/e,n/e,n/e,469,346,469
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,n/e,n/e,n/e,341,341,341
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,n/e,n/e,n/e,370,370,370
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,n/e,n/e,n/e,398,398,398
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,n/e,n/e,n/e,432,432,432
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,n/e,n/e,n/e,472,472,472
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,n/e,n/e,n/e,508,508,508
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,n/e,n/e,n/e,513,513,513
09.01.2022 06:00 - 09.01.2022 07:00,4,4,4,n/e,n/e,n/e,494,494,494
09.01.2022 07:00 - 09.01.2022 08:00,112,112,112,n/e,n/e,n/e,458,458,458
09.01.2022 08:00 - 09.01.2022 09:00,381,381,381,n/e,n/e,n/e,412,412,412
09.01.2022 09:00 - 09.01.2022 10:00,652,652,652,n/e,n/e,n/e,359,359,359
09.01.2022 10:00 - 09.01.2022 11:00,820,820,820,n/e,n/e,n/e,308,308,308
09.01.2022 11:00 - 09.01.2022 12:00,883,883,883,n/e,n/e,n/e,275,275,275
09.01.2022 12:00 - 09.01.2022 13:00,844,632,844,n/e,n/e,n/e,259,152,259
09.01.2022 13:00 - 09.01.2022 14:00,718,535,718,n/e,n/e,n/e,257,150,257
09.01.2022 14:00 - 09.01.2022 15:00,490,358,490,n/e,n/e,n/e,273,155,273
09.01.2022 15:00 - 09.01.2022 16:00,193,136,193,n/e,n/e,n/e,299,165,299
09.01.2022 16:00 - 09.01.2022 17:00,16,9,16,n/e,n/e,n/e,334,177,334
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,n/e,n/e,n/e,357,194,357
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,n/e,n/e,n/e,374,211,374
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,n/e,n/e,n/e,406,226,406
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,n/e,n/e,n/e,446,244,446
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,n/e,n/e,n/e,489,272,489
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,n/e,n/e,n/e,522,296,522
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,n/e,n/e,n/e,314,314,314
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,n/e,n/e,n/e,531,531,531
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,n/e,n/e,n/e,561,561,561
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,n/e,n/e,n/e,573,573,573
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,n/e,n/e,n/e,568,568,568
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,n/e,n/e,n/e,545,545,545
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,n/e,n/e,n/e,538,538,538
10.01.2022 06:00 - 10.01.2022 07:00,4,4,4,n/e,n/e,n/e,553,553,553
10.01.2022 07:00 - 10.01.2022 08:00,105,105,105,n/e,n/e,n/e,561,561,561
10.01.2022 08:00 - 10.01.2022 09:00,317,317,317,n/e,n/e,n/e,553,553,553
10.01.2022 09:00 - 10.01.2022 10:00,510,495,510,n/e,n/e,n/e,566,485,566
