MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Ireland (IE),Generation - Solar  [MW] Intraday / Ireland (IE),Generation - Solar  [MW] Current / Ireland (IE),Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Offshore  [MW] Intraday / Ireland (IE),Generation - Wind Offshore  [MW] Current / Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)
01.01.2022 00:00 - 01.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,3554,3554,3554
01.01.2022 01:00 - 01.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,3595,3595,3595
01.01.2022 02:00 - 01.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,3688,3688,3688
01.01.2022 03:00 - 01.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,3753,3753,3753
01.01.2022 04:00 - 01.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,3760,3760,3760
01.01.2022 05:00 - 01.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,3732,3732,3732
01.01.2022 06:00 - 01.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,3650,3650,3650
01.01.2022 07:00 - 01.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,3534,3534,3534
01.01.2022 08:00 - 01.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,3421,3421,3421
01.01.2022 09:00 - 01.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,3296,3296,3296
01.01.2022 10:00 - 01.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,3178,3178,3178
01.01.2022 11:00 - 01.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,3079,3079,3079
01.01.2022 12:00 - 01.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,3010,3010,3010
01.01.2022 13:00 - 01.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,2966,2966,2966
01.01.2022 14:00 - 01.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,2907,2907,2907
01.01.2022 15:00 - 01.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,2804,2804,2804
01.01.2022 16:00 - 01.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,2645,2645,2645
01.01.2022 17:00 - 01.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,2450,2450,2450
01.01.2022 18:00 - 01.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,2269,2269,2269
01.01.2022 19:00 - 01.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,2162,2162,2162
01.01.2022 20:00 - 01.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,2096,2096,2096
01.01.2022 21:00 - 01.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,2060,2060,2060
01.01.2022 22:00 - 01.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,2071,2071,2071
01.01.2022 23:00 - 02.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,2115,2115,2115
02.01.2022 00:00 - 02.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,2174,2174,2174
02.01.2022 01:00 - 02.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,1871,1871,1871
02.01.2022 02:00 - 02.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,1795,1795,1795
02.01.2022 03:00 - 02.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,1950,1950,1950
02.01.2022 04:00 - 02.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,2042,2042,2042
02.01.2022 05:00 - 02.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,2159,2159,2159
02.01.2022 06:00 - 02.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,2256,2256,2256
02.01.2022 07:00 - 02.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,2354,2354,2354
02.01.2022 08:00 - 02.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,2461,2461,2461
02.01.2022 09:00 - 02.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,2543,2543,2543
02.01.2022 10:00 - 02.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,2588,2588,2588
02.01.2022 11:00 - 02.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,2624,2624,2624
02.01.2022 12:00 - 02.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,2682,2682,2682
02.01.2022 13:00 - 02.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,2766,2766,2766
02.01.2022 14:00 - 02.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,2866,2866,2866
02.01.2022 15:00 - 02.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,2940,2940,2940
02.01.2022 16:00 - 02.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,2973,2973,2973
02.01.2022 17:00 - 02.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,2970,2970,2970
02.01.2022 18:00 - 02.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,2956,2956,2956
02.01.2022 19:00 - 02.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,2962,2962,2962
02.01.2022 20:00 - 02.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,2992,2992,2992
02.01.2022 21:00 - 02.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,3034,3034,3034
02.01.2022 22:00 - 02.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,3087,3087,3087
02.01.2022 23:00 - 03.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,3143,3143,3143
03.01.2022 00:00 - 03.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,3175,3175,3175
03.01.2022 01:00 - 03.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,2956,2956,2956
03.01.2022 02:00 - 03.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,2868,2868,2868
03.01.2022 03:00 - 03.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,2785,2785,2785
03.01.2022 04:00 - 03.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,2714,2714,2714
03.01.2022 05:00 - 03.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,2652,2652,2652
03.01.2022 06:00 - 03.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,2555,2555,2555
03.01.2022 07:00 - 03.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,2421,2421,2421
03.01.2022 08:00 - 03.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,2247,2247,2247
03.01.2022 09:00 - 03.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,2071,2071,2071
03.01.2022 10:00 - 03.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,1879,1879,1879
03.01.2022 11:00 - 03.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,1694,1694,1694
03.01.2022 12:00 - 03.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,1503,1503,1503
03.01.2022 13:00 - 03.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,1285,1285,1285
03.01.2022 14:00 - 03.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,1051,1051,1051
03.01.2022 15:00 - 03.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,823,823,823
03.01.2022 16:00 - 03.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,625,625,625
03.01.2022 17:00 - 03.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,470,470,470
03.01.2022 18:00 - 03.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,370,370,370
03.01.2022 19:00 - 03.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,332,332,332
03.01.2022 20:00 - 03.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,363,363,363
03.01.2022 21:00 - 03.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,452,452,452
03.01.2022 22:00 - 03.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,563,563,563
03.01.2022 23:00 - 04.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,692,692,692
04.01.2022 00:00 - 04.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,852,852,852
04.01.2022 01:00 - 04.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,1169,1169,1169
04.01.2022 02:00 - 04.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,1466,1466,1466
04.01.2022 03:00 - 04.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,1923,1923,1923
04.01.2022 04:00 - 04.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,2306,2306,2306
04.01.2022 05:00 - 04.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,2472,2472,2472
04.01.2022 06:00 - 04.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,2403,2403,2403
04.01.2022 07:00 - 04.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,2273,2273,2273
04.01.2022 08:00 - 04.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,2188,2188,2188
04.01.2022 09:00 - 04.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,2083,2083,2083
04.01.2022 10:00 - 04.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,1950,1950,1950
04.01.2022 11:00 - 04.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,1871,1871,1871
04.01.2022 12:00 - 04.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,1863,1863,1863
04.01.2022 13:00 - 04.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,1837,1837,1837
04.01.2022 14:00 - 04.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,1804,1804,1804
04.01.2022 15:00 - 04.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,1749,1749,1749
04.01.2022 16:00 - 04.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,1691,1691,1691
04.01.2022 17:00 - 04.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,1586,1586,1586
04.01.2022 18:00 - 04.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,1461,1461,1461
04.01.2022 19:00 - 04.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,1347,1347,1347
04.01.2022 20:00 - 04.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,1245,1245,1245
04.01.2022 21:00 - 04.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,1139,1139,1139
04.01.2022 22:00 - 04.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,1043,1043,1043
04.01.2022 23:00 - 05.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,965,965,965
05.01.2022 00:00 - 05.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,890,890,890
05.01.2022 01:00 - 05.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,564,564,564
05.01.2022 02:00 - 05.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,498,498,498
05.01.2022 03:00 - 05.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,430,430,430
05.01.2022 04:00 - 05.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,405,405,405
05.01.2022 05:00 - 05.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,352,352,352
05.01.2022 06:00 - 05.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,319,319,319
05.01.2022 07:00 - 05.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,295,295,295
05.01.2022 08:00 - 05.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,267,267,267
05.01.2022 09:00 - 05.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,258,258,258
05.01.2022 10:00 - 05.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,259,259,259
05.01.2022 11:00 - 05.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,258,258,258
05.01.2022 12:00 - 05.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,266,266,266
05.01.2022 13:00 - 05.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,284,284,284
05.01.2022 14:00 - 05.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,306,306,306
05.01.2022 15:00 - 05.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,341,341,341
05.01.2022 16:00 - 05.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,393,393,393
05.01.2022 17:00 - 05.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,478,478,478
05.01.2022 18:00 - 05.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,645,645,645
05.01.2022 19:00 - 05.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,897,897,897
05.01.2022 20:00 - 05.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,1170,1170,1170
05.01.2022 21:00 - 05.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,1426,1426,1426
05.01.2022 22:00 - 05.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,1687,1687,1687
05.01.2022 23:00 - 06.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,1978,1978,1978
06.01.2022 00:00 - 06.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,2300,2300,2300
06.01.2022 01:00 - 06.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,1723,1723,1723
06.01.2022 02:00 - 06.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,2090,2090,2090
06.01.2022 03:00 - 06.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,2526,2526,2526
06.01.2022 04:00 - 06.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,2915,2915,2915
06.01.2022 05:00 - 06.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,3190,3190,3190
06.01.2022 06:00 - 06.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,3383,3383,3383
06.01.2022 07:00 - 06.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,3530,3530,3530
06.01.2022 08:00 - 06.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,3630,3630,3630
06.01.2022 09:00 - 06.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,3689,3689,3689
06.01.2022 10:00 - 06.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,3687,3687,3687
06.01.2022 11:00 - 06.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,3564,3564,3564
06.01.2022 12:00 - 06.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,3390,3390,3390
06.01.2022 13:00 - 06.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,3265,3265,3265
06.01.2022 14:00 - 06.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,3147,3147,3147
06.01.2022 15:00 - 06.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,3012,3012,3012
06.01.2022 16:00 - 06.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,2870,2870,2870
06.01.2022 17:00 - 06.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,2740,2740,2740
06.01.2022 18:00 - 06.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,2683,2683,2683
06.01.2022 19:00 - 06.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,2651,2651,2651
06.01.2022 20:00 - 06.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,2613,2613,2613
