MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Italy (IT),Generation - Solar  [MW] Intraday / Italy (IT),Generation - Solar  [MW] Current / Italy (IT),Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Offshore  [MW] Intraday / Italy (IT),Generation - Wind Offshore  [MW] Current / Italy (IT),Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT),Generation - Wind Onshore  [MW] Intraday / Italy (IT),Generation - Wind Onshore  [MW] Current / Italy (IT)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,N/A,n/e,n/e,1428,1428,1428
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,N/A,n/e,n/e,1524,1524,1524
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,N/A,n/e,n/e,1570,1570,1570
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,N/A,n/e,n/e,1641,1641,1641
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,N/A,n/e,n/e,1769,1769,1769
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,N/A,n/e,n/e,1643,1643,1643
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,N/A,n/e,n/e,1477,1477,1477
01.01.2022 07:00 - 01.01.2022 08:00,47,47,47,N/A,n/e,n/e,1399,1399,1399
01.01.2022 08:00 - 01.01.2022 09:00,1038,1038,1037,N/A,n/e,n/e,1316,1327,1316
01.01.2022 09:00 - 01.01.2022 10:00,2844,2844,2844,N/A,n/e,n/e,1195,1204,1195
01.01.2022 10:00 - 01.01.2022 11:00,4350,4350,4353,N/A,n/e,n/e,1118,1118,1118
01.01.2022 11:00 - 01.01.2022 12:00,5193,5193,5194,N/A,n/e,n/e,1129,1153,1129
01.01.2022 12:00 - 01.01.2022 13:00,5423,5423,5423,N/A,n/e,n/e,1156,1190,1156
01.01.2022 13:00 - 01.01.2022 14:00,5082,5082,5084,N/A,n/e,n/e,1236,1255,1236
01.01.2022 14:00 - 01.01.2022 15:00,3985,3985,3987,N/A,n/e,n/e,1299,1323,1299
01.01.2022 15:00 - 01.01.2022 16:00,2128,2128,2129,N/A,n/e,n/e,1341,1359,1341
01.01.2022 16:00 - 01.01.2022 17:00,355,355,355,N/A,n/e,n/e,1462,1469,1462
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,N/A,n/e,n/e,1520,1540,1520
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,N/A,n/e,n/e,1495,1527,1495
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,N/A,n/e,n/e,1463,1502,1463
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,N/A,n/e,n/e,1395,1442,1395
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,N/A,n/e,n/e,1349,1383,1349
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,N/A,n/e,n/e,1296,1318,1296
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,N/A,n/e,n/e,1205,1208,1205
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,N/A,n/e,n/e,1123,1123,1123
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,N/A,n/e,n/e,1095,1095,1095
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,N/A,n/e,n/e,1040,1040,1040
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,N/A,n/e,n/e,982,982,982
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,N/A,n/e,n/e,935,935,935
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,N/A,n/e,n/e,822,822,822
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,N/A,n/e,n/e,723,723,723
02.01.2022 07:00 - 02.01.2022 08:00,51,51,56,N/A,n/e,n/e,649,649,649
02.01.2022 08:00 - 02.01.2022 09:00,972,972,984,N/A,n/e,n/e,541,549,541
02.01.2022 09:00 - 02.01.2022 10:00,2637,2637,2653,N/A,n/e,n/e,495,501,495
02.01.2022 10:00 - 02.01.2022 11:00,4034,4034,4041,N/A,n/e,n/e,495,496,495
02.01.2022 11:00 - 02.01.2022 12:00,4831,4831,4827,N/A,n/e,n/e,511,511,511
02.01.2022 12:00 - 02.01.2022 13:00,5061,5061,5048,N/A,n/e,n/e,571,568,571
02.01.2022 13:00 - 02.01.2022 14:00,4751,4751,4708,N/A,n/e,n/e,651,650,651
02.01.2022 14:00 - 02.01.2022 15:00,3752,3752,3692,N/A,n/e,n/e,757,756,757
02.01.2022 15:00 - 02.01.2022 16:00,2024,2024,1977,N/A,n/e,n/e,878,878,878
