MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Solar  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Offshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO),Generation - Wind Onshore  [MW] Day Ahead/ Norway (NO)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,0,0,0,1056,1056,1056
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,0,0,0,992,992,992
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,0,0,0,838,838,838
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,0,0,0,699,699,699
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,0,0,0,584,584,584
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,0,0,0,587,587,587
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,0,0,0,574,574,574
01.01.2022 07:00 - 01.01.2022 08:00,0,0,0,0,0,0,666,666,666
01.01.2022 08:00 - 01.01.2022 09:00,0,0,0,0,0,0,901,901,901
01.01.2022 09:00 - 01.01.2022 10:00,0,0,0,0,0,0,1240,1240,1240
01.01.2022 10:00 - 01.01.2022 11:00,0,0,0,0,0,0,1570,1570,1570
01.01.2022 11:00 - 01.01.2022 12:00,0,0,0,0,0,0,1956,1956,1956
01.01.2022 12:00 - 01.01.2022 13:00,0,0,0,0,0,0,2274,2274,2274
01.01.2022 13:00 - 01.01.2022 14:00,0,0,0,0,0,0,2451,2451,2451
01.01.2022 14:00 - 01.01.2022 15:00,0,0,0,0,0,0,2659,2659,2659
01.01.2022 15:00 - 01.01.2022 16:00,0,0,0,0,0,0,2648,2648,2648
01.01.2022 16:00 - 01.01.2022 17:00,0,0,0,0,0,0,2579,2579,2579
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,0,0,0,2587,2587,2587
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,0,0,0,2566,2566,2566
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,0,0,0,2413,2413,2413
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,0,0,0,2254,2254,2254
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,0,0,0,2053,2053,2053
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,0,0,0,1817,1817,1817
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,0,0,0,1864,1864,1864
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,0,0,0,2091,2091,2091
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,0,0,0,2094,2094,2094
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,0,0,0,2105,2105,2105
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,0,0,0,2045,2045,2045
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,0,0,0,2035,2035,2035
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,0,0,0,1969,1969,1969
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,0,0,0,1812,1812,1812
02.01.2022 07:00 - 02.01.2022 08:00,0,0,0,0,0,0,1778,1778,1778
02.01.2022 08:00 - 02.01.2022 09:00,0,0,0,0,0,0,1735,1735,1735
02.01.2022 09:00 - 02.01.2022 10:00,0,0,0,0,0,0,1754,1754,1754
02.01.2022 10:00 - 02.01.2022 11:00,0,0,0,0,0,0,1681,1681,1681
02.01.2022 11:00 - 02.01.2022 12:00,0,0,0,0,0,0,1641,1641,1641
02.01.2022 12:00 - 02.01.2022 13:00,0,0,0,0,0,0,1731,1731,1731
02.01.2022 13:00 - 02.01.2022 14:00,0,0,0,0,0,0,1722,1722,1722
02.01.2022 14:00 - 02.01.2022 15:00,0,0,0,0,0,0,1670,1670,1670
02.01.2022 15:00 - 02.01.2022 16:00,0,0,0,0,0,0,1719,1719,1719
02.01.2022 16:00 - 02.01.2022 17:00,0,0,0,0,0,0,1744,1744,1744
02.01.2022 17:00 - 02.01.2022 18:00,0,0,0,0,0,0,1834,1834,1834
02.01.2022 18:00 - 02.01.2022 19:00,0,0,0,0,0,0,1938,1938,1938
02.01.2022 19:00 - 02.01.2022 20:00,0,0,0,0,0,0,2035,2035,2035
02.01.2022 20:00 - 02.01.2022 21:00,0,0,0,0,0,0,2090,2090,2090
02.01.2022 21:00 - 02.01.2022 22:00,0,0,0,0,0,0,2199,2199,2199
02.01.2022 22:00 - 02.01.2022 23:00,0,0,0,0,0,0,2209,2209,2209
02.01.2022 23:00 - 03.01.2022 00:00,0,0,0,0,0,0,2065,2065,2065
03.01.2022 00:00 - 03.01.2022 01:00,0,0,0,0,0,0,1980,1980,1980
03.01.2022 01:00 - 03.01.2022 02:00,0,0,0,0,0,0,1823,1823,1823
03.01.2022 02:00 - 03.01.2022 03:00,0,0,0,0,0,0,1795,1795,1795
03.01.2022 03:00 - 03.01.2022 04:00,0,0,0,0,0,0,1798,1798,1798
03.01.2022 04:00 - 03.01.2022 05:00,0,0,0,0,0,0,1886,1886,1886
03.01.2022 05:00 - 03.01.2022 06:00,0,0,0,0,0,0,2072,2072,2072
03.01.2022 06:00 - 03.01.2022 07:00,0,0,0,0,0,0,2435,2435,2435
03.01.2022 07:00 - 03.01.2022 08:00,0,0,0,0,0,0,2551,2551,2551
03.01.2022 08:00 - 03.01.2022 09:00,0,0,0,0,0,0,2598,2598,2598
03.01.2022 09:00 - 03.01.2022 10:00,0,0,0,0,0,0,2508,2508,2508
03.01.2022 10:00 - 03.01.2022 11:00,0,0,0,0,0,0,2513,2513,2513
03.01.2022 11:00 - 03.01.2022 12:00,0,0,0,0,0,0,2512,2512,2512
03.01.2022 12:00 - 03.01.2022 13:00,0,0,0,0,0,0,2579,2579,2579
03.01.2022 13:00 - 03.01.2022 14:00,0,0,0,0,0,0,2496,2496,2496
03.01.2022 14:00 - 03.01.2022 15:00,0,0,0,0,0,0,2482,2482,2482
03.01.2022 15:00 - 03.01.2022 16:00,0,0,0,0,0,0,2521,2521,2521
03.01.2022 16:00 - 03.01.2022 17:00,0,0,0,0,0,0,2415,2415,2415
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,0,0,0,2313,2313,2313
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,0,0,0,2010,2010,2010
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,0,0,0,1881,1881,1881
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,0,0,0,1746,1746,1746
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,0,0,0,1676,1676,1676
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,0,0,0,1797,1797,1797
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,0,0,0,1879,1879,1879
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,0,0,0,1954,1954,1954
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,0,0,0,2068,2068,2068
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,0,0,0,2081,2081,2081
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,0,0,0,2186,2186,2186
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,0,0,0,2199,2199,2199
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,0,0,0,2182,2182,2182
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,0,0,0,2156,2156,2156
04.01.2022 07:00 - 04.01.2022 08:00,0,0,0,0,0,0,2066,2066,2066
04.01.2022 08:00 - 04.01.2022 09:00,0,0,0,0,0,0,2042,2042,2042
04.01.2022 09:00 - 04.01.2022 10:00,0,0,0,0,0,0,2048,2048,2048
04.01.2022 10:00 - 04.01.2022 11:00,0,0,0,0,0,0,1950,1950,1950
04.01.2022 11:00 - 04.01.2022 12:00,0,0,0,0,0,0,1845,1845,1845
04.01.2022 12:00 - 04.01.2022 13:00,0,0,0,0,0,0,1753,1753,1753
04.01.2022 13:00 - 04.01.2022 14:00,0,0,0,0,0,0,1710,1710,1710
04.01.2022 14:00 - 04.01.2022 15:00,0,0,0,0,0,0,1563,1563,1563
04.01.2022 15:00 - 04.01.2022 16:00,0,0,0,0,0,0,1339,1339,1339
04.01.2022 16:00 - 04.01.2022 17:00,0,0,0,0,0,0,1270,1270,1270
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,0,0,0,1104,1104,1104
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,0,0,0,1067,1067,1067
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,0,0,0,1047,1047,1047
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,0,0,0,1143,1143,1143
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,0,0,0,1010,1010,1010
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,0,0,0,978,978,978
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,0,0,0,1009,1009,1009
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,0,0,0,1021,1021,1021
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,0,0,0,941,941,941
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,0,0,0,893,893,893
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,0,0,0,982,982,982
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,0,0,0,1047,1047,1047
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,0,0,0,1034,1034,1034
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,0,0,0,1231,1231,1231
05.01.2022 07:00 - 05.01.2022 08:00,0,0,0,0,0,0,1397,1397,1397
05.01.2022 08:00 - 05.01.2022 09:00,0,0,0,0,0,0,1653,1653,1653
05.01.2022 09:00 - 05.01.2022 10:00,0,0,0,0,0,0,1854,1854,1854
05.01.2022 10:00 - 05.01.2022 11:00,0,0,0,0,0,0,2010,2010,2010
05.01.2022 11:00 - 05.01.2022 12:00,0,0,0,0,0,0,1977,1977,1977
05.01.2022 12:00 - 05.01.2022 13:00,0,0,0,0,0,0,1923,1923,1923
05.01.2022 13:00 - 05.01.2022 14:00,0,0,0,0,0,0,1885,1885,1885
05.01.2022 14:00 - 05.01.2022 15:00,0,0,0,0,0,0,1806,1806,1806
05.01.2022 15:00 - 05.01.2022 16:00,0,0,0,0,0,0,1773,1773,1773
05.01.2022 16:00 - 05.01.2022 17:00,0,0,0,0,0,0,1713,1713,1713
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,0,0,0,1734,1734,1734
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,0,0,0,1825,1825,1825
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,0,0,0,1975,1975,1975
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,0,0,0,1900,1900,1900
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,0,0,0,1944,1944,1944
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,0,0,0,1916,1916,1916
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,0,0,0,1782,1782,1782
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,0,0,0,1589,1589,1589
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,0,0,0,1346,1346,1346
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,0,0,0,1173,1173,1173
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,0,0,0,1068,1068,1068
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,0,0,0,974,974,974
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,0,0,0,913,913,913
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,0,0,0,875,875,875
06.01.2022 07:00 - 06.01.2022 08:00,0,0,0,0,0,0,776,776,776
06.01.2022 08:00 - 06.01.2022 09:00,0,0,0,0,0,0,678,678,678
06.01.2022 09:00 - 06.01.2022 10:00,0,0,0,0,0,0,605,605,605
06.01.2022 10:00 - 06.01.2022 11:00,0,0,0,0,0,0,599,599,599
06.01.2022 11:00 - 06.01.2022 12:00,0,0,0,0,0,0,502,502,502
06.01.2022 12:00 - 06.01.2022 13:00,0,0,0,0,0,0,459,459,459
06.01.2022 13:00 - 06.01.2022 14:00,0,0,0,0,0,0,501,501,501
06.01.2022 14:00 - 06.01.2022 15:00,0,0,0,0,0,0,555,555,555
06.01.2022 15:00 - 06.01.2022 16:00,0,0,0,0,0,0,661,661,661
06.01.2022 16:00 - 06.01.2022 17:00,0,0,0,0,0,0,730,730,730
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,0,0,0,833,833,833
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,0,0,0,945,945,945
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,0,0,0,1019,1019,1019
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,0,0,0,1059,1059,1059
06.01.2022 21:00 - 06.01.2022 22:00,0,0,0,0,0,0,1153,1153,1153
06.01.2022 22:00 - 06.01.2022 23:00,0,0,0,0,0,0,1286,1286,1286
06.01.2022 23:00 - 07.01.2022 00:00,0,0,0,0,0,0,1431,1431,1431
07.01.2022 00:00 - 07.01.2022 01:00,0,0,0,0,0,0,1579,1579,1579
07.01.2022 01:00 - 07.01.2022 02:00,0,0,0,0,0,0,1808,1808,1808
07.01.2022 02:00 - 07.01.2022 03:00,0,0,0,0,0,0,1934,1934,1934
07.01.2022 03:00 - 07.01.2022 04:00,0,0,0,0,0,0,2040,2040,2040
07.01.2022 04:00 - 07.01.2022 05:00,0,0,0,0,0,0,2105,2105,2105
07.01.2022 05:00 - 07.01.2022 06:00,0,0,0,0,0,0,2034,2034,2034
07.01.2022 06:00 - 07.01.2022 07:00,0,0,0,0,0,0,1926,1926,1926
07.01.2022 07:00 - 07.01.2022 08:00,0,0,0,0,0,0,1916,1916,1916
07.01.2022 08:00 - 07.01.2022 09:00,0,0,0,0,0,0,1847,1847,1847
07.01.2022 09:00 - 07.01.2022 10:00,0,0,0,0,0,0,1796,1796,1796
07.01.2022 10:00 - 07.01.2022 11:00,0,0,0,0,0,0,1798,1798,1798
07.01.2022 11:00 - 07.01.2022 12:00,0,0,0,0,0,0,1800,1800,1800
07.01.2022 12:00 - 07.01.2022 13:00,0,0,0,0,0,0,1753,1753,1753
07.01.2022 13:00 - 07.01.2022 14:00,0,0,0,0,0,0,1755,1755,1755
07.01.2022 14:00 - 07.01.2022 15:00,0,0,0,0,0,0,1695,1695,1695
07.01.2022 15:00 - 07.01.2022 16:00,0,0,0,0,0,0,1646,1646,1646
07.01.2022 16:00 - 07.01.2022 17:00,0,0,0,0,0,0,1652,1652,1652
07.01.2022 17:00 - 07.01.2022 18:00,0,0,0,0,0,0,1658,1658,1658
07.01.2022 18:00 - 07.01.2022 19:00,0,0,0,0,0,0,1676,1676,1676
07.01.2022 19:00 - 07.01.2022 20:00,0,0,0,0,0,0,1679,1679,1679
07.01.2022 20:00 - 07.01.2022 21:00,0,0,0,0,0,0,1661,1661,1661
07.01.2022 21:00 - 07.01.2022 22:00,0,0,0,0,0,0,1648,1648,1648
07.01.2022 22:00 - 07.01.2022 23:00,0,0,0,0,0,0,1654,1654,1654
07.01.2022 23:00 - 08.01.2022 00:00,0,0,0,0,0,0,1706,1706,1706
08.01.2022 00:00 - 08.01.2022 01:00,0,0,0,0,0,0,1675,1675,1675
08.01.2022 01:00 - 08.01.2022 02:00,0,0,0,0,0,0,1606,1606,1606
08.01.2022 02:00 - 08.01.2022 03:00,0,0,0,0,0,0,1555,1555,1555
08.01.2022 03:00 - 08.01.2022 04:00,0,0,0,0,0,0,1469,1469,1469
08.01.2022 04:00 - 08.01.2022 05:00,0,0,0,0,0,0,1412,1412,1412
08.01.2022 05:00 - 08.01.2022 06:00,0,0,0,0,0,0,1330,1330,1330
08.01.2022 06:00 - 08.01.2022 07:00,0,0,0,0,0,0,1189,1189,1189
08.01.2022 07:00 - 08.01.2022 08:00,0,0,0,0,0,0,1160,1160,1160
08.01.2022 08:00 - 08.01.2022 09:00,0,0,0,0,0,0,1107,1107,1107
08.01.2022 09:00 - 08.01.2022 10:00,0,0,0,0,0,0,1136,1136,1136
08.01.2022 10:00 - 08.01.2022 11:00,0,0,0,0,0,0,1202,1202,1202
08.01.2022 11:00 - 08.01.2022 12:00,0,0,0,0,0,0,1199,1199,1199
08.01.2022 12:00 - 08.01.2022 13:00,0,0,0,0,0,0,1214,1214,1214
08.01.2022 13:00 - 08.01.2022 14:00,0,0,0,0,0,0,1154,1154,1154
08.01.2022 14:00 - 08.01.2022 15:00,0,0,0,0,0,0,1139,1139,1139
08.01.2022 15:00 - 08.01.2022 16:00,0,0,0,0,0,0,1197,1197,1197
08.01.2022 16:00 - 08.01.2022 17:00,0,0,0,0,0,0,1317,1317,1317
08.01.2022 17:00 - 08.01.2022 18:00,0,0,0,0,0,0,1477,1477,1477
08.01.2022 18:00 - 08.01.2022 19:00,0,0,0,0,0,0,1578,1578,1578
08.01.2022 19:00 - 08.01.2022 20:00,0,0,0,0,0,0,1703,1703,1703
08.01.2022 20:00 - 08.01.2022 21:00,0,0,0,0,0,0,1797,1797,1797
08.01.2022 21:00 - 08.01.2022 22:00,0,0,0,0,0,0,1853,1853,1853
08.01.2022 22:00 - 08.01.2022 23:00,0,0,0,0,0,0,1952,1952,1952
08.01.2022 23:00 - 09.01.2022 00:00,0,0,0,0,0,0,1972,1972,1972
09.01.2022 00:00 - 09.01.2022 01:00,0,0,0,0,0,0,1966,1966,1966
09.01.2022 01:00 - 09.01.2022 02:00,0,0,0,0,0,0,2029,2029,2029
09.01.2022 02:00 - 09.01.2022 03:00,0,0,0,0,0,0,2084,2084,2084
09.01.2022 03:00 - 09.01.2022 04:00,0,0,0,0,0,0,2192,2192,2192
09.01.2022 04:00 - 09.01.2022 05:00,0,0,0,0,0,0,2247,2247,2247
09.01.2022 05:00 - 09.01.2022 06:00,0,0,0,0,0,0,2256,2256,2256
09.01.2022 06:00 - 09.01.2022 07:00,0,0,0,0,0,0,2311,2311,2311
09.01.2022 07:00 - 09.01.2022 08:00,0,0,0,0,0,0,2312,2312,2312
09.01.2022 08:00 - 09.01.2022 09:00,0,0,0,0,0,0,2289,2289,2289
09.01.2022 09:00 - 09.01.2022 10:00,0,0,0,0,0,0,2287,2287,2287
09.01.2022 10:00 - 09.01.2022 11:00,0,0,0,0,0,0,2318,2318,2318
09.01.2022 11:00 - 09.01.2022 12:00,0,0,0,0,0,0,2331,2331,2331
09.01.2022 12:00 - 09.01.2022 13:00,0,0,0,0,0,0,2303,2303,2303
09.01.2022 13:00 - 09.01.2022 14:00,0,0,0,0,0,0,2323,2323,2323
09.01.2022 14:00 - 09.01.2022 15:00,0,0,0,0,0,0,2320,2320,2320
09.01.2022 15:00 - 09.01.2022 16:00,0,0,0,0,0,0,2283,2283,2283
09.01.2022 16:00 - 09.01.2022 17:00,0,0,0,0,0,0,2219,2219,2219
09.01.2022 17:00 - 09.01.2022 18:00,0,0,0,0,0,0,2203,2203,2203
09.01.2022 18:00 - 09.01.2022 19:00,0,0,0,0,0,0,2141,2141,2141
09.01.2022 19:00 - 09.01.2022 20:00,0,0,0,0,0,0,2079,2079,2079
09.01.2022 20:00 - 09.01.2022 21:00,0,0,0,0,0,0,2062,2062,2062
09.01.2022 21:00 - 09.01.2022 22:00,0,0,0,0,0,0,1956,1956,1956
09.01.2022 22:00 - 09.01.2022 23:00,0,0,0,0,0,0,1937,1937,1937
09.01.2022 23:00 - 10.01.2022 00:00,0,0,0,0,0,0,1981,1981,1981
10.01.2022 00:00 - 10.01.2022 01:00,0,0,0,0,0,0,2028,2028,2028
10.01.2022 01:00 - 10.01.2022 02:00,0,0,0,0,0,0,2015,2015,2015
10.01.2022 02:00 - 10.01.2022 03:00,0,0,0,0,0,0,1999,1999,1999
10.01.2022 03:00 - 10.01.2022 04:00,0,0,0,0,0,0,1955,1955,1955
10.01.2022 04:00 - 10.01.2022 05:00,0,0,0,0,0,0,1898,1898,1898
10.01.2022 05:00 - 10.01.2022 06:00,0,0,0,0,0,0,1809,1809,1809
10.01.2022 06:00 - 10.01.2022 07:00,0,0,0,0,0,0,1726,1726,1726
10.01.2022 07:00 - 10.01.2022 08:00,0,0,0,0,0,0,1684,1684,1684
10.01.2022 08:00 - 10.01.2022 09:00,0,0,0,0,0,0,1704,1704,1704
10.01.2022 09:00 - 10.01.2022 10:00,0,0,0,0,0,0,1796,1796,1796
10.01.2022 10:00 - 10.01.2022 11:00,0,0,0,0,0,0,1835,1835,1835
10.01.2022 11:00 - 10.01.2022 12:00,0,0,0,0,0,0,1893,1893,1893
10.01.2022 12:00 - 10.01.2022 13:00,0,0,0,0,0,0,2018,2018,2018
10.01.2022 13:00 - 10.01.2022 14:00,0,0,0,0,0,0,2100,2100,2100
10.01.2022 14:00 - 10.01.2022 15:00,0,0,0,0,0,0,2183,2183,2183
10.01.2022 15:00 - 10.01.2022 16:00,0,0,0,0,0,0,2248,2248,2248
10.01.2022 16:00 - 10.01.2022 17:00,0,0,0,0,0,0,2348,2348,2348
10.01.2022 17:00 - 10.01.2022 18:00,0,0,0,0,0,0,2474,2474,2474
10.01.2022 18:00 - 10.01.2022 19:00,0,0,0,0,0,0,2538,2538,2538
10.01.2022 19:00 - 10.01.2022 20:00,0,0,0,0,0,0,2572,2572,2572
10.01.2022 20:00 - 10.01.2022 21:00,0,0,0,0,0,0,2570,2570,2570
10.01.2022 21:00 - 10.01.2022 22:00,0,0,0,0,0,0,2575,2575,2575
10.01.2022 22:00 - 10.01.2022 23:00,0,0,0,0,0,0,2537,2537,2537
10.01.2022 23:00 - 11.01.2022 00:00,0,0,0,0,0,0,2563,2563,2563
