"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Portugal (PT)","Actual Total Load [MW] - Portugal (PT)"
"01.01.2022 00:00 - 01.01.2022 01:00","5102","4802"
"01.01.2022 01:00 - 01.01.2022 02:00","4746","4566"
"01.01.2022 02:00 - 01.01.2022 03:00","4462","4392"
"01.01.2022 03:00 - 01.01.2022 04:00","4122","4097"
"01.01.2022 04:00 - 01.01.2022 05:00","3868","3863"
"01.01.2022 05:00 - 01.01.2022 06:00","3744","3725"
"01.01.2022 06:00 - 01.01.2022 07:00","3710","3666"
"01.01.2022 07:00 - 01.01.2022 08:00","3719","3674"
"01.01.2022 08:00 - 01.01.2022 09:00","3698","3629"
"01.01.2022 09:00 - 01.01.2022 10:00","3877","3617"
"01.01.2022 10:00 - 01.01.2022 11:00","4352","3915"
"01.01.2022 11:00 - 01.01.2022 12:00","4724","4287"
"01.01.2022 12:00 - 01.01.2022 13:00","5174","4653"
"01.01.2022 13:00 - 01.01.2022 14:00","5484","4881"
"01.01.2022 14:00 - 01.01.2022 15:00","5217","4651"
"01.01.2022 15:00 - 01.01.2022 16:00","4710","4412"
"01.01.2022 16:00 - 01.01.2022 17:00","4619","4324"
"01.01.2022 17:00 - 01.01.2022 18:00","4760","4389"
"01.01.2022 18:00 - 01.01.2022 19:00","5309","4866"
"01.01.2022 19:00 - 01.01.2022 20:00","5738","5326"
"01.01.2022 20:00 - 01.01.2022 21:00","5864","5481"
"01.01.2022 21:00 - 01.01.2022 22:00","5852","5505"
"01.01.2022 22:00 - 01.01.2022 23:00","5705","5285"
"01.01.2022 23:00 - 02.01.2022 00:00","5524","5009"
"02.01.2022 00:00 - 02.01.2022 01:00","5537","4655"
"02.01.2022 01:00 - 02.01.2022 02:00","4420","4284"
"02.01.2022 02:00 - 02.01.2022 03:00","4168","3981"
"02.01.2022 03:00 - 02.01.2022 04:00","3901","3761"
"02.01.2022 04:00 - 02.01.2022 05:00","3844","3651"
"02.01.2022 05:00 - 02.01.2022 06:00","3825","3603"
"02.01.2022 06:00 - 02.01.2022 07:00","3830","3624"
"02.01.2022 07:00 - 02.01.2022 08:00","3875","3734"
"02.01.2022 08:00 - 02.01.2022 09:00","3918","3808"
"02.01.2022 09:00 - 02.01.2022 10:00","4010","3978"
"02.01.2022 10:00 - 02.01.2022 11:00","4242","4387"
"02.01.2022 11:00 - 02.01.2022 12:00","4675","4786"
"02.01.2022 12:00 - 02.01.2022 13:00","5105","5081"
"02.01.2022 13:00 - 02.01.2022 14:00","5342","5374"
"02.01.2022 14:00 - 02.01.2022 15:00","5243","5254"
"02.01.2022 15:00 - 02.01.2022 16:00","4914","5024"
"02.01.2022 16:00 - 02.01.2022 17:00","4767","4894"
"02.01.2022 17:00 - 02.01.2022 18:00","4828","4903"
"02.01.2022 18:00 - 02.01.2022 19:00","5450","5394"
"02.01.2022 19:00 - 02.01.2022 20:00","6016","5956"
"02.01.2022 20:00 - 02.01.2022 21:00","6202","6162"
"02.01.2022 21:00 - 02.01.2022 22:00","6212","6057"
"02.01.2022 22:00 - 02.01.2022 23:00","6075","5721"
"02.01.2022 23:00 - 03.01.2022 00:00","5903","5315"
"03.01.2022 00:00 - 03.01.2022 01:00","4537","4994"
"03.01.2022 01:00 - 03.01.2022 02:00","4025","4609"
"03.01.2022 02:00 - 03.01.2022 03:00","3630","4251"
"03.01.2022 03:00 - 03.01.2022 04:00","3425","4077"
"03.01.2022 04:00 - 03.01.2022 05:00","3353","3975"
"03.01.2022 05:00 - 03.01.2022 06:00","3347","3961"
"03.01.2022 06:00 - 03.01.2022 07:00","3476","4075"
"03.01.2022 07:00 - 03.01.2022 08:00","3903","4477"
"03.01.2022 08:00 - 03.01.2022 09:00","4731","5019"
"03.01.2022 09:00 - 03.01.2022 10:00","5645","5720"
"03.01.2022 10:00 - 03.01.2022 11:00","6178","6235"
"03.01.2022 11:00 - 03.01.2022 12:00","6367","6422"
"03.01.2022 12:00 - 03.01.2022 13:00","6382","6584"
"03.01.2022 13:00 - 03.01.2022 14:00","6002","6602"
"03.01.2022 14:00 - 03.01.2022 15:00","6052","6546"
"03.01.2022 15:00 - 03.01.2022 16:00","6242","6684"
"03.01.2022 16:00 - 03.01.2022 17:00","6214","6656"
"03.01.2022 17:00 - 03.01.2022 18:00","6237","6715"
"03.01.2022 18:00 - 03.01.2022 19:00","6524","7059"
"03.01.2022 19:00 - 03.01.2022 20:00","6827","7382"
"03.01.2022 20:00 - 03.01.2022 21:00","6816","7469"
