"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Intraday / Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Intraday / Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Intraday / Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"01.01.2022 00:00 - 01.01.2022 00:15","0","0","0","n/e","n/e","n/e","1200","1207","1207"
"01.01.2022 00:15 - 01.01.2022 00:30","0","0","0","n/e","n/e","n/e","1200","1207","1207"
"01.01.2022 00:30 - 01.01.2022 00:45","0","0","0","n/e","n/e","n/e","1200","1207","1207"
"01.01.2022 00:45 - 01.01.2022 01:00","0","0","0","n/e","n/e","n/e","1201","1209","1209"
"01.01.2022 01:00 - 01.01.2022 01:15","0","0","0","n/e","n/e","n/e","1163","1173","1173"
"01.01.2022 01:15 - 01.01.2022 01:30","0","0","0","n/e","n/e","n/e","1163","1173","1173"
"01.01.2022 01:30 - 01.01.2022 01:45","0","0","0","n/e","n/e","n/e","1163","1173","1173"
"01.01.2022 01:45 - 01.01.2022 02:00","0","0","0","n/e","n/e","n/e","1163","1173","1173"
"01.01.2022 02:00 - 01.01.2022 02:15","0","0","0","n/e","n/e","n/e","1156","1156","1156"
"01.01.2022 02:15 - 01.01.2022 02:30","0","0","0","n/e","n/e","n/e","1156","1156","1156"
"01.01.2022 02:30 - 01.01.2022 02:45","0","0","0","n/e","n/e","n/e","1156","1156","1156"
"01.01.2022 02:45 - 01.01.2022 03:00","0","0","0","n/e","n/e","n/e","1156","1156","1156"
"01.01.2022 03:00 - 01.01.2022 03:15","0","0","0","n/e","n/e","n/e","1135","1132","1132"
"01.01.2022 03:15 - 01.01.2022 03:30","0","0","0","n/e","n/e","n/e","1135","1132","1132"
"01.01.2022 03:30 - 01.01.2022 03:45","0","0","0","n/e","n/e","n/e","1135","1132","1132"
"01.01.2022 03:45 - 01.01.2022 04:00","0","0","0","n/e","n/e","n/e","1135","1132","1132"
"01.01.2022 04:00 - 01.01.2022 04:15","0","0","0","n/e","n/e","n/e","1048","1051","1051"
"01.01.2022 04:15 - 01.01.2022 04:30","0","0","0","n/e","n/e","n/e","1047","1050","1050"
"01.01.2022 04:30 - 01.01.2022 04:45","0","0","0","n/e","n/e","n/e","1047","1050","1050"
"01.01.2022 04:45 - 01.01.2022 05:00","0","0","0","n/e","n/e","n/e","1046","1049","1049"
"01.01.2022 05:00 - 01.01.2022 05:15","0","0","0","n/e","n/e","n/e","948","948","948"
"01.01.2022 05:15 - 01.01.2022 05:30","0","0","0","n/e","n/e","n/e","948","948","948"
"01.01.2022 05:30 - 01.01.2022 05:45","0","0","0","n/e","n/e","n/e","947","944","944"
"01.01.2022 05:45 - 01.01.2022 06:00","0","0","0","n/e","n/e","n/e","947","944","944"
"01.01.2022 06:00 - 01.01.2022 06:15","0","0","0","n/e","n/e","n/e","937","918","918"
"01.01.2022 06:15 - 01.01.2022 06:30","1","1","1","n/e","n/e","n/e","937","918","918"
"01.01.2022 06:30 - 01.01.2022 06:45","1","1","1","n/e","n/e","n/e","937","918","918"
"01.01.2022 06:45 - 01.01.2022 07:00","2","2","2","n/e","n/e","n/e","937","918","918"
"01.01.2022 07:00 - 01.01.2022 07:15","14","14","14","n/e","n/e","n/e","919","919","919"
"01.01.2022 07:15 - 01.01.2022 07:30","16","16","16","n/e","n/e","n/e","919","919","919"
"01.01.2022 07:30 - 01.01.2022 07:45","19","19","19","n/e","n/e","n/e","919","919","919"
"01.01.2022 07:45 - 01.01.2022 08:00","23","23","23","n/e","n/e","n/e","919","919","919"
"01.01.2022 08:00 - 01.01.2022 08:15","74","74","74","n/e","n/e","n/e","888","888","888"
"01.01.2022 08:15 - 01.01.2022 08:30","78","78","78","n/e","n/e","n/e","888","888","888"
"01.01.2022 08:30 - 01.01.2022 08:45","82","82","82","n/e","n/e","n/e","888","888","888"
"01.01.2022 08:45 - 01.01.2022 09:00","86","86","86","n/e","n/e","n/e","888","888","888"
"01.01.2022 09:00 - 01.01.2022 09:15","168","170","170","n/e","n/e","n/e","909","909","909"
"01.01.2022 09:15 - 01.01.2022 09:30","172","173","173","n/e","n/e","n/e","909","909","909"
"01.01.2022 09:30 - 01.01.2022 09:45","175","177","177","n/e","n/e","n/e","910","910","910"
"01.01.2022 09:45 - 01.01.2022 10:00","178","179","179","n/e","n/e","n/e","910","910","910"
"01.01.2022 10:00 - 01.01.2022 10:15","240","241","241","n/e","n/e","n/e","850","850","850"
"01.01.2022 10:15 - 01.01.2022 10:30","242","243","243","n/e","n/e","n/e","849","849","849"
"01.01.2022 10:30 - 01.01.2022 10:45","243","244","244","n/e","n/e","n/e","848","848","848"
"01.01.2022 10:45 - 01.01.2022 11:00","244","246","246","n/e","n/e","n/e","846","846","846"
"01.01.2022 11:00 - 01.01.2022 11:15","279","280","280","n/e","n/e","n/e","814","814","814"
"01.01.2022 11:15 - 01.01.2022 11:30","278","280","280","n/e","n/e","n/e","813","813","813"
"01.01.2022 11:30 - 01.01.2022 11:45","277","278","278","n/e","n/e","n/e","812","812","812"
"01.01.2022 11:45 - 01.01.2022 12:00","276","277","277","n/e","n/e","n/e","811","811","811"
"01.01.2022 12:00 - 01.01.2022 12:15","250","251","251","n/e","n/e","n/e","785","785","785"
"01.01.2022 12:15 - 01.01.2022 12:30","248","250","250","n/e","n/e","n/e","785","785","785"
"01.01.2022 12:30 - 01.01.2022 12:45","246","247","247","n/e","n/e","n/e","785","785","785"
"01.01.2022 12:45 - 01.01.2022 13:00","244","245","245","n/e","n/e","n/e","785","785","785"
"01.01.2022 13:00 - 01.01.2022 13:15","173","175","175","n/e","n/e","n/e","775","775","775"
"01.01.2022 13:15 - 01.01.2022 13:30","170","172","172","n/e","n/e","n/e","775","775","775"
"01.01.2022 13:30 - 01.01.2022 13:45","167","168","168","n/e","n/e","n/e","775","775","775"
