Time (CET/CEST),Day-ahead Total Load Forecast [MW] - United Kindom (UK),Actual Total Load [MW] - United Kindom (UK)
01.01.2022 00:00 - 01.01.2022 00:30,21940,21940
01.01.2022 00:30 - 01.01.2022 01:00,22427,22427
01.01.2022 01:00 - 01.01.2022 01:30,21896,21896
01.01.2022 01:30 - 01.01.2022 02:00,20693,20693
01.01.2022 02:00 - 01.01.2022 02:30,19481,19481
01.01.2022 02:30 - 01.01.2022 03:00,18709,18709
01.01.2022 03:00 - 01.01.2022 03:30,18081,18081
01.01.2022 03:30 - 01.01.2022 04:00,17542,17542
01.01.2022 04:00 - 01.01.2022 04:30,17094,17094
01.01.2022 04:30 - 01.01.2022 05:00,16665,16665
01.01.2022 05:00 - 01.01.2022 05:30,16519,16519
01.01.2022 05:30 - 01.01.2022 06:00,16456,16456
01.01.2022 06:00 - 01.01.2022 06:30,16911,16911
01.01.2022 06:30 - 01.01.2022 07:00,17309,17309
01.01.2022 07:00 - 01.01.2022 07:30,17813,17813
01.01.2022 07:30 - 01.01.2022 08:00,17972,17972
01.01.2022 08:00 - 01.01.2022 08:30,18638,18638
01.01.2022 08:30 - 01.01.2022 09:00,19257,19257
01.01.2022 09:00 - 01.01.2022 09:30,20003,20003
01.01.2022 09:30 - 01.01.2022 10:00,20708,20708
01.01.2022 10:00 - 01.01.2022 10:30,21481,21481
01.01.2022 10:30 - 01.01.2022 11:00,22138,22138
01.01.2022 11:00 - 01.01.2022 11:30,23097,23097
01.01.2022 11:30 - 01.01.2022 12:00,23786,23786
01.01.2022 12:00 - 01.01.2022 12:30,24496,24496
01.01.2022 12:30 - 01.01.2022 13:00,25010,25010
01.01.2022 13:00 - 01.01.2022 13:30,25465,25465
01.01.2022 13:30 - 01.01.2022 14:00,25261,25261
01.01.2022 14:00 - 01.01.2022 14:30,25586,25586
01.01.2022 14:30 - 01.01.2022 15:00,25558,25558
01.01.2022 15:00 - 01.01.2022 15:30,26492,26492
01.01.2022 15:30 - 01.01.2022 16:00,27138,27138
01.01.2022 16:00 - 01.01.2022 16:30,28745,28745
01.01.2022 16:30 - 01.01.2022 17:00,30339,30339
01.01.2022 17:00 - 01.01.2022 17:30,31054,31054
01.01.2022 17:30 - 01.01.2022 18:00,31010,31010
01.01.2022 18:00 - 01.01.2022 18:30,30263,30263
01.01.2022 18:30 - 01.01.2022 19:00,29681,29681
01.01.2022 19:00 - 01.01.2022 19:30,28892,28892
01.01.2022 19:30 - 01.01.2022 20:00,27926,27926
01.01.2022 20:00 - 01.01.2022 20:30,27000,27000
01.01.2022 20:30 - 01.01.2022 21:00,26259,26259
01.01.2022 21:00 - 01.01.2022 21:30,25712,25712
01.01.2022 21:30 - 01.01.2022 22:00,24434,24434
01.01.2022 22:00 - 01.01.2022 22:30,23247,23247
01.01.2022 22:30 - 01.01.2022 23:00,22329,22329
01.01.2022 23:00 - 01.01.2022 23:30,21163,21163
01.01.2022 23:30 - 02.01.2022 00:00,20507,20507
02.01.2022 00:00 - 02.01.2022 00:30,20588,20588
02.01.2022 00:30 - 02.01.2022 01:00,20931,20931
02.01.2022 01:00 - 02.01.2022 01:30,20665,20665
02.01.2022 01:30 - 02.01.2022 02:00,19999,19999
02.01.2022 02:00 - 02.01.2022 02:30,19367,19367
02.01.2022 02:30 - 02.01.2022 03:00,18946,18946
02.01.2022 03:00 - 02.01.2022 03:30,18644,18644
02.01.2022 03:30 - 02.01.2022 04:00,18275,18275
02.01.2022 04:00 - 02.01.2022 04:30,17937,17937
02.01.2022 04:30 - 02.01.2022 05:00,17593,17593
02.01.2022 05:00 - 02.01.2022 05:30,17618,17618
02.01.2022 05:30 - 02.01.2022 06:00,17804,17804
02.01.2022 06:00 - 02.01.2022 06:30,18618,18618
02.01.2022 06:30 - 02.01.2022 07:00,19037,19037
02.01.2022 07:00 - 02.01.2022 07:30,19898,19898
02.01.2022 07:30 - 02.01.2022 08:00,20381,20381
02.01.2022 08:00 - 02.01.2022 08:30,21254,21254
02.01.2022 08:30 - 02.01.2022 09:00,22003,22003
02.01.2022 09:00 - 02.01.2022 09:30,23275,23275
02.01.2022 09:30 - 02.01.2022 10:00,24249,24249
02.01.2022 10:00 - 02.01.2022 10:30,25188,25188
02.01.2022 10:30 - 02.01.2022 11:00,25727,25727
02.01.2022 11:00 - 02.01.2022 11:30,26287,26287
02.01.2022 11:30 - 02.01.2022 12:00,26787,26787
02.01.2022 12:00 - 02.01.2022 12:30,27545,27545
02.01.2022 12:30 - 02.01.2022 13:00,28046,28046
02.01.2022 13:00 - 02.01.2022 13:30,28646,28646
02.01.2022 13:30 - 02.01.2022 14:00,28868,28868
02.01.2022 14:00 - 02.01.2022 14:30,28925,28925
02.01.2022 14:30 - 02.01.2022 15:00,29147,29147
02.01.2022 15:00 - 02.01.2022 15:30,29670,29670
02.01.2022 15:30 - 02.01.2022 16:00,30425,30425
02.01.2022 16:00 - 02.01.2022 16:30,31764,31764
02.01.2022 16:30 - 02.01.2022 17:00,33090,33090
02.01.2022 17:00 - 02.01.2022 17:30,34078,34078
02.01.2022 17:30 - 02.01.2022 18:00,33852,33852
02.01.2022 18:00 - 02.01.2022 18:30,32869,32869
02.01.2022 18:30 - 02.01.2022 19:00,31968,31968
02.01.2022 19:00 - 02.01.2022 19:30,30795,30795
02.01.2022 19:30 - 02.01.2022 20:00,29462,29462
02.01.2022 20:00 - 02.01.2022 20:30,28482,28482
02.01.2022 20:30 - 02.01.2022 21:00,27507,27507
02.01.2022 21:00 - 02.01.2022 21:30,26232,26232
02.01.2022 21:30 - 02.01.2022 22:00,25148,25148
02.01.2022 22:00 - 02.01.2022 22:30,23636,23636
02.01.2022 22:30 - 02.01.2022 23:00,22522,22522
02.01.2022 23:00 - 02.01.2022 23:30,21596,21596
02.01.2022 23:30 - 03.01.2022 00:00,20314,20314
03.01.2022 00:00 - 03.01.2022 00:30,20143,20143
03.01.2022 00:30 - 03.01.2022 01:00,20481,20481
03.01.2022 01:00 - 03.01.2022 01:30,20246,20246
03.01.2022 01:30 - 03.01.2022 02:00,19586,19586
03.01.2022 02:00 - 03.01.2022 02:30,18938,18938
03.01.2022 02:30 - 03.01.2022 03:00,18494,18494
03.01.2022 03:00 - 03.01.2022 03:30,17939,17939
03.01.2022 03:30 - 03.01.2022 04:00,17460,17460
03.01.2022 04:00 - 03.01.2022 04:30,16976,16976
03.01.2022 04:30 - 03.01.2022 05:00,16875,16875
03.01.2022 05:00 - 03.01.2022 05:30,17426,17426
03.01.2022 05:30 - 03.01.2022 06:00,18098,18098
03.01.2022 06:00 - 03.01.2022 06:30,19382,19382
03.01.2022 06:30 - 03.01.2022 07:00,20448,20448
03.01.2022 07:00 - 03.01.2022 07:30,21432,21432
03.01.2022 07:30 - 03.01.2022 08:00,22020,22020
03.01.2022 08:00 - 03.01.2022 08:30,23235,23235
03.01.2022 08:30 - 03.01.2022 09:00,24427,24427
03.01.2022 09:00 - 03.01.2022 09:30,25515,25515
03.01.2022 09:30 - 03.01.2022 10:00,26533,26533
03.01.2022 10:00 - 03.01.2022 10:30,27397,27397
03.01.2022 10:30 - 03.01.2022 11:00,27828,27828
03.01.2022 11:00 - 03.01.2022 11:30,28557,28557
03.01.2022 11:30 - 03.01.2022 12:00,28965,28965
03.01.2022 12:00 - 03.01.2022 12:30,29470,29470
03.01.2022 12:30 - 03.01.2022 13:00,29752,29752
03.01.2022 13:00 - 03.01.2022 13:30,30181,30181
03.01.2022 13:30 - 03.01.2022 14:00,30230,30230
03.01.2022 14:00 - 03.01.2022 14:30,30505,30505
03.01.2022 14:30 - 03.01.2022 15:00,30928,30928
03.01.2022 15:00 - 03.01.2022 15:30,31905,31905
03.01.2022 15:30 - 03.01.2022 16:00,33094,33094
03.01.2022 16:00 - 03.01.2022 16:30,35486,35486
03.01.2022 16:30 - 03.01.2022 17:00,37771,37771
03.01.2022 17:00 - 03.01.2022 17:30,39116,39116
03.01.2022 17:30 - 03.01.2022 18:00,38852,38852
03.01.2022 18:00 - 03.01.2022 18:30,38202,38202
03.01.2022 18:30 - 03.01.2022 19:00,37498,37498
03.01.2022 19:00 - 03.01.2022 19:30,35938,35938
