Time (CET/CEST),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Solar  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Offshore  [MW] Intraday / United Kindom (UK),Generation - Wind Offshore  [MW] Current / United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK),Generation - Wind Onshore  [MW] Day Ahead/ United Kindom (UK)
01.01.2022 00:00 - 01.01.2022 00:30,0,0,0,0,0,0,2713,2713,2713
01.01.2022 00:30 - 01.01.2022 01:00,0,0,0,0,0,0,2755,2755,2755
01.01.2022 01:00 - 01.01.2022 01:30,0,0,0,0,0,0,2930,2930,2930
01.01.2022 01:30 - 01.01.2022 02:00,0,0,0,0,0,0,3090,3090,3090
01.01.2022 02:00 - 01.01.2022 02:30,0,0,0,0,0,0,3161,3161,3161
01.01.2022 02:30 - 01.01.2022 03:00,0,0,0,0,0,0,3260,3260,3260
01.01.2022 03:00 - 01.01.2022 03:30,0,0,0,0,0,0,3441,3441,3441
01.01.2022 03:30 - 01.01.2022 04:00,0,0,0,0,0,0,3612,3612,3612
01.01.2022 04:00 - 01.01.2022 04:30,0,0,0,0,0,0,3647,3647,3647
01.01.2022 04:30 - 01.01.2022 05:00,0,0,0,0,0,0,3652,3652,3652
01.01.2022 05:00 - 01.01.2022 05:30,0,0,0,0,0,0,3722,3722,3722
01.01.2022 05:30 - 01.01.2022 06:00,0,0,0,0,0,0,3777,3777,3777
01.01.2022 06:00 - 01.01.2022 06:30,0,0,0,0,0,0,3863,3863,3863
01.01.2022 06:30 - 01.01.2022 07:00,0,0,0,0,0,0,3902,3902,3902
01.01.2022 07:00 - 01.01.2022 07:30,0,0,0,0,0,0,3996,3996,3996
01.01.2022 07:30 - 01.01.2022 08:00,0,0,0,0,0,0,4081,4081,4081
01.01.2022 08:00 - 01.01.2022 08:30,0,0,0,0,0,0,4135,4135,4135
01.01.2022 08:30 - 01.01.2022 09:00,91,91,91,0,0,0,4172,4172,4172
01.01.2022 09:00 - 01.01.2022 09:30,460,460,460,0,0,0,4260,4260,4260
01.01.2022 09:30 - 01.01.2022 10:00,947,947,947,0,0,0,4308,4308,4308
01.01.2022 10:00 - 01.01.2022 10:30,1165,1165,1165,0,0,0,4344,4344,4344
01.01.2022 10:30 - 01.01.2022 11:00,1428,1428,1428,0,0,0,4362,4362,4362
01.01.2022 11:00 - 01.01.2022 11:30,1566,1566,1566,0,0,0,4374,4374,4374
01.01.2022 11:30 - 01.01.2022 12:00,1462,1462,1462,0,0,0,4346,4346,4346
01.01.2022 12:00 - 01.01.2022 12:30,1460,1460,1460,0,0,0,4311,4311,4311
01.01.2022 12:30 - 01.01.2022 13:00,1285,1285,1285,0,0,0,4252,4252,4252
01.01.2022 13:00 - 01.01.2022 13:30,1150,1150,1150,0,0,0,4195,4195,4195
01.01.2022 13:30 - 01.01.2022 14:00,1075,1075,1075,0,0,0,4112,4112,4112
01.01.2022 14:00 - 01.01.2022 14:30,891,891,891,0,0,0,4071,4071,4071
01.01.2022 14:30 - 01.01.2022 15:00,641,641,641,0,0,0,4018,4018,4018
01.01.2022 15:00 - 01.01.2022 15:30,215,215,215,0,0,0,3982,3982,3982
01.01.2022 15:30 - 01.01.2022 16:00,37,37,37,0,0,0,3941,3941,3941
01.01.2022 16:00 - 01.01.2022 16:30,0,0,0,0,0,0,3912,3912,3912
01.01.2022 16:30 - 01.01.2022 17:00,0,0,0,0,0,0,3864,3864,3864
01.01.2022 17:00 - 01.01.2022 17:30,0,0,0,0,0,0,3902,3902,3902
01.01.2022 17:30 - 01.01.2022 18:00,0,0,0,0,0,0,3911,3911,3911
01.01.2022 18:00 - 01.01.2022 18:30,0,0,0,0,0,0,3865,3865,3865
01.01.2022 18:30 - 01.01.2022 19:00,0,0,0,0,0,0,3783,3783,3783
01.01.2022 19:00 - 01.01.2022 19:30,0,0,0,0,0,0,3695,3695,3695
01.01.2022 19:30 - 01.01.2022 20:00,0,0,0,0,0,0,3580,3580,3580
01.01.2022 20:00 - 01.01.2022 20:30,0,0,0,0,0,0,3501,3501,3501
01.01.2022 20:30 - 01.01.2022 21:00,0,0,0,0,0,0,3369,3369,3369
