MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Solar  [MW] Intraday / Czech Republic (CZ),Generation - Solar  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Offshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Offshore  [MW] Current / Czech Republic (CZ),Generation - Wind Onshore  [MW] Day Ahead/ Czech Republic (CZ),Generation - Wind Onshore  [MW] Intraday / Czech Republic (CZ),Generation - Wind Onshore  [MW] Current / Czech Republic (CZ)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 07:00 - 01.01.2022 08:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 08:00 - 01.01.2022 09:00,18,18,18,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 09:00 - 01.01.2022 10:00,87,87,87,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 10:00 - 01.01.2022 11:00,194,194,194,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 11:00 - 01.01.2022 12:00,277,277,277,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 12:00 - 01.01.2022 13:00,336,336,336,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 13:00 - 01.01.2022 14:00,282,282,282,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 14:00 - 01.01.2022 15:00,67,67,67,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 15:00 - 01.01.2022 16:00,18,18,18,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 16:00 - 01.01.2022 17:00,3,3,3,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 07:00 - 02.01.2022 08:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 08:00 - 02.01.2022 09:00,41,41,41,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 09:00 - 02.01.2022 10:00,179,179,179,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 10:00 - 02.01.2022 11:00,331,331,331,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 11:00 - 02.01.2022 12:00,389,389,389,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 12:00 - 02.01.2022 13:00,372,372,372,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 13:00 - 02.01.2022 14:00,337,337,337,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 14:00 - 02.01.2022 15:00,135,135,135,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 15:00 - 02.01.2022 16:00,43,37,43,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 16:00 - 02.01.2022 17:00,5,5,5,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 17:00 - 02.01.2022 18:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 18:00 - 02.01.2022 19:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 19:00 - 02.01.2022 20:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 20:00 - 02.01.2022 21:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 21:00 - 02.01.2022 22:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 22:00 - 02.01.2022 23:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
02.01.2022 23:00 - 03.01.2022 00:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
03.01.2022 00:00 - 03.01.2022 01:00,0,0,0,n/e,n/e,n/e,n/e,n/e,n/e
