MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Solar  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK),Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,1141,1141,1141,1032,1032,1032
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,1182,1182,1182,1044,1044,1044
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,1149,1149,1149,1053,1053,1053
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,941,941,941,969,969,969
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,864,864,864,828,828,828
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,710,710,710,640,640,640
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,615,615,615,529,529,529
01.01.2022 07:00 - 01.01.2022 08:00,0,0,0,555,555,555,438,438,438
01.01.2022 08:00 - 01.01.2022 09:00,0,0,0,480,480,480,359,359,359
01.01.2022 09:00 - 01.01.2022 10:00,7,7,7,395,395,395,284,284,284
01.01.2022 10:00 - 01.01.2022 11:00,25,25,25,357,357,357,208,208,208
01.01.2022 11:00 - 01.01.2022 12:00,45,45,45,361,361,361,179,179,179
01.01.2022 12:00 - 01.01.2022 13:00,50,50,50,376,376,376,219,219,219
01.01.2022 13:00 - 01.01.2022 14:00,37,37,37,476,476,476,273,273,273
01.01.2022 14:00 - 01.01.2022 15:00,17,17,17,585,585,585,368,368,368
01.01.2022 15:00 - 01.01.2022 16:00,3,3,3,689,689,689,567,567,567
01.01.2022 16:00 - 01.01.2022 17:00,0,0,0,775,775,775,849,849,849
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,950,950,950,1232,1232,1232
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,1084,1084,1084,1685,1685,1685
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,1181,1181,1181,1976,1976,1976
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,1311,1311,1311,2151,2151,2151
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,1311,1311,1311,2219,2219,2219
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,1338,1338,1338,2222,2222,2222
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,1312,1312,1312,2171,2171,2171
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,1232,1232,1232,2096,2096,2096
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,1206,1206,1206,1890,1890,1890
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,1164,1164,1164,1752,1752,1752
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,1061,1061,1061,1588,1588,1588
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,1108,1108,1108,1485,1485,1485
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,1063,1063,1063,1377,1377,1377
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,1033,1033,1033,1385,1385,1385
02.01.2022 07:00 - 02.01.2022 08:00,0,0,0,1050,1050,1050,1360,1360,1360
02.01.2022 08:00 - 02.01.2022 09:00,0,0,0,977,977,977,1244,1244,1244
02.01.2022 09:00 - 02.01.2022 10:00,5,5,5,902,902,902,1128,1128,1128
02.01.2022 10:00 - 02.01.2022 11:00,18,18,18,840,840,840,996,996,996
02.01.2022 11:00 - 02.01.2022 12:00,30,30,30,772,772,772,902,902,902
02.01.2022 12:00 - 02.01.2022 13:00,37,37,37,705,705,705,803,803,803
02.01.2022 13:00 - 02.01.2022 14:00,26,26,26,792,792,792,669,669,669
02.01.2022 14:00 - 02.01.2022 15:00,14,14,14,690,690,690,616,616,616
02.01.2022 15:00 - 02.01.2022 16:00,2,2,2,751,751,751,663,663,663
02.01.2022 16:00 - 02.01.2022 17:00,0,0,0,838,838,838,775,775,775
02.01.2022 17:00 - 02.01.2022 18:00,0,0,0,981,981,981,1014,1014,1014
02.01.2022 18:00 - 02.01.2022 19:00,0,0,0,1080,1080,1080,1316,1316,1316
02.01.2022 19:00 - 02.01.2022 20:00,0,0,0,1214,1214,1214,1527,1527,1527
02.01.2022 20:00 - 02.01.2022 21:00,0,0,0,1239,1239,1239,1692,1692,1692
02.01.2022 21:00 - 02.01.2022 22:00,0,0,0,1258,1258,1258,1740,1740,1740
02.01.2022 22:00 - 02.01.2022 23:00,0,0,0,1233,1233,1233,1687,1687,1687
02.01.2022 23:00 - 03.01.2022 00:00,0,0,0,1136,1136,1136,1587,1587,1587
03.01.2022 00:00 - 03.01.2022 01:00,0,0,0,1083,1083,1083,1349,1349,1349
03.01.2022 01:00 - 03.01.2022 02:00,0,0,0,953,953,953,1262,1262,1262
03.01.2022 02:00 - 03.01.2022 03:00,0,0,0,976,976,976,1336,1336,1336
03.01.2022 03:00 - 03.01.2022 04:00,0,0,0,1021,1021,1021,1454,1454,1454
03.01.2022 04:00 - 03.01.2022 05:00,0,0,0,1139,1139,1139,1642,1642,1642
03.01.2022 05:00 - 03.01.2022 06:00,0,0,0,1190,1190,1190,1923,1923,1923
03.01.2022 06:00 - 03.01.2022 07:00,0,0,0,1261,1261,1261,2311,2311,2311
03.01.2022 07:00 - 03.01.2022 08:00,0,0,0,1357,1357,1357,2623,2623,2623
03.01.2022 08:00 - 03.01.2022 09:00,0,0,0,1365,1365,1365,2867,2867,2867
03.01.2022 09:00 - 03.01.2022 10:00,10,10,10,1289,1289,1289,2990,2990,2990
03.01.2022 10:00 - 03.01.2022 11:00,33,33,33,1244,1244,1244,3022,3022,3022
03.01.2022 11:00 - 03.01.2022 12:00,56,56,56,1259,1259,1259,3208,3208,3208
03.01.2022 12:00 - 03.01.2022 13:00,69,69,69,1318,1318,1318,3318,3318,3318
03.01.2022 13:00 - 03.01.2022 14:00,54,54,54,1338,1338,1338,3131,3131,3131
03.01.2022 14:00 - 03.01.2022 15:00,25,25,25,1323,1323,1323,3104,3104,3104
03.01.2022 15:00 - 03.01.2022 16:00,5,5,5,1359,1359,1359,3240,3240,3240
03.01.2022 16:00 - 03.01.2022 17:00,0,0,0,1398,1398,1398,3122,3122,3122
03.01.2022 17:00 - 03.01.2022 18:00,0,0,0,1371,1371,1371,2778,2778,2778
03.01.2022 18:00 - 03.01.2022 19:00,0,0,0,1162,1162,1162,2432,2432,2432
03.01.2022 19:00 - 03.01.2022 20:00,0,0,0,1024,1024,1024,2092,2092,2092
03.01.2022 20:00 - 03.01.2022 21:00,0,0,0,939,939,939,1828,1828,1828
03.01.2022 21:00 - 03.01.2022 22:00,0,0,0,889,889,889,1603,1603,1603
03.01.2022 22:00 - 03.01.2022 23:00,0,0,0,845,845,845,1406,1406,1406
03.01.2022 23:00 - 04.01.2022 00:00,0,0,0,826,826,826,1236,1236,1236
04.01.2022 00:00 - 04.01.2022 01:00,0,0,0,694,694,694,1381,1381,1381
04.01.2022 01:00 - 04.01.2022 02:00,0,0,0,683,683,683,1286,1286,1286
04.01.2022 02:00 - 04.01.2022 03:00,0,0,0,693,693,693,1242,1242,1242
04.01.2022 03:00 - 04.01.2022 04:00,0,0,0,735,735,735,1217,1217,1217
04.01.2022 04:00 - 04.01.2022 05:00,0,0,0,734,734,734,1186,1186,1186
04.01.2022 05:00 - 04.01.2022 06:00,0,0,0,733,733,733,1153,1153,1153
04.01.2022 06:00 - 04.01.2022 07:00,0,0,0,843,843,843,1201,1201,1201
04.01.2022 07:00 - 04.01.2022 08:00,0,0,0,973,973,973,1286,1286,1286
04.01.2022 08:00 - 04.01.2022 09:00,0,0,0,1029,1029,1029,1393,1393,1393
04.01.2022 09:00 - 04.01.2022 10:00,22,22,22,984,984,984,1456,1456,1456
04.01.2022 10:00 - 04.01.2022 11:00,64,64,64,1002,1002,1002,1423,1423,1423
04.01.2022 11:00 - 04.01.2022 12:00,101,101,101,1106,1106,1106,1495,1495,1495
04.01.2022 12:00 - 04.01.2022 13:00,111,111,111,1116,1116,1116,1588,1588,1588
04.01.2022 13:00 - 04.01.2022 14:00,92,92,92,1095,1095,1095,1567,1567,1567
04.01.2022 14:00 - 04.01.2022 15:00,54,54,54,1133,1133,1133,1584,1584,1584
04.01.2022 15:00 - 04.01.2022 16:00,16,16,16,1105,1105,1105,1551,1551,1551
04.01.2022 16:00 - 04.01.2022 17:00,0,0,0,1103,1103,1103,1620,1620,1620
04.01.2022 17:00 - 04.01.2022 18:00,0,0,0,1148,1148,1148,1845,1845,1845
04.01.2022 18:00 - 04.01.2022 19:00,0,0,0,1170,1170,1170,2047,2047,2047
04.01.2022 19:00 - 04.01.2022 20:00,0,0,0,1197,1197,1197,2099,2099,2099
04.01.2022 20:00 - 04.01.2022 21:00,0,0,0,1241,1241,1241,2206,2206,2206
04.01.2022 21:00 - 04.01.2022 22:00,0,0,0,1196,1196,1196,2301,2301,2301
04.01.2022 22:00 - 04.01.2022 23:00,0,0,0,1221,1221,1221,2462,2462,2462
04.01.2022 23:00 - 05.01.2022 00:00,0,0,0,1354,1354,1354,2551,2551,2551
05.01.2022 00:00 - 05.01.2022 01:00,0,0,0,1311,1311,1311,2656,2656,2656
05.01.2022 01:00 - 05.01.2022 02:00,0,0,0,1323,1323,1323,2614,2614,2614
05.01.2022 02:00 - 05.01.2022 03:00,0,0,0,1370,1370,1370,2570,2570,2570
05.01.2022 03:00 - 05.01.2022 04:00,0,0,0,1364,1364,1364,2415,2415,2415
05.01.2022 04:00 - 05.01.2022 05:00,0,0,0,1358,1358,1358,2292,2292,2292
05.01.2022 05:00 - 05.01.2022 06:00,0,0,0,1342,1342,1342,2145,2145,2145
05.01.2022 06:00 - 05.01.2022 07:00,0,0,0,1322,1322,1322,2046,2046,2046
05.01.2022 07:00 - 05.01.2022 08:00,0,0,0,1330,1330,1330,2010,2010,2010
05.01.2022 08:00 - 05.01.2022 09:00,0,0,0,1291,1291,1291,1904,1904,1904
05.01.2022 09:00 - 05.01.2022 10:00,20,20,20,1202,1202,1202,1845,1845,1845
05.01.2022 10:00 - 05.01.2022 11:00,63,63,63,1191,1191,1191,1863,1863,1863
05.01.2022 11:00 - 05.01.2022 12:00,102,102,102,1251,1251,1251,1959,1959,1959
05.01.2022 12:00 - 05.01.2022 13:00,109,109,109,1338,1338,1338,1975,1975,1975
05.01.2022 13:00 - 05.01.2022 14:00,85,85,85,1371,1371,1371,1799,1799,1799
05.01.2022 14:00 - 05.01.2022 15:00,51,51,51,1247,1247,1247,1654,1654,1654
05.01.2022 15:00 - 05.01.2022 16:00,16,16,16,1236,1236,1236,1576,1576,1576
05.01.2022 16:00 - 05.01.2022 17:00,0,0,0,1315,1315,1315,1626,1626,1626
05.01.2022 17:00 - 05.01.2022 18:00,0,0,0,1377,1377,1377,1685,1685,1685
05.01.2022 18:00 - 05.01.2022 19:00,0,0,0,1348,1348,1348,1621,1621,1621
05.01.2022 19:00 - 05.01.2022 20:00,0,0,0,1200,1200,1200,1486,1486,1486
05.01.2022 20:00 - 05.01.2022 21:00,0,0,0,966,966,966,1608,1608,1608
05.01.2022 21:00 - 05.01.2022 22:00,0,0,0,823,823,823,1681,1681,1681
05.01.2022 22:00 - 05.01.2022 23:00,0,0,0,826,826,826,1692,1692,1692
05.01.2022 23:00 - 06.01.2022 00:00,0,0,0,902,902,902,1576,1576,1576
06.01.2022 00:00 - 06.01.2022 01:00,0,0,0,1210,1210,1210,1523,1523,1523
06.01.2022 01:00 - 06.01.2022 02:00,0,0,0,1208,1208,1208,1338,1338,1338
06.01.2022 02:00 - 06.01.2022 03:00,0,0,0,1215,1215,1215,1157,1157,1157
06.01.2022 03:00 - 06.01.2022 04:00,0,0,0,1113,1113,1113,955,955,955
06.01.2022 04:00 - 06.01.2022 05:00,0,0,0,982,982,982,807,807,807
06.01.2022 05:00 - 06.01.2022 06:00,0,0,0,771,771,771,653,653,653
06.01.2022 06:00 - 06.01.2022 07:00,0,0,0,594,594,594,525,525,525
06.01.2022 07:00 - 06.01.2022 08:00,0,0,0,401,401,401,414,414,414
06.01.2022 08:00 - 06.01.2022 09:00,0,0,0,296,296,296,342,342,342
06.01.2022 09:00 - 06.01.2022 10:00,34,34,34,220,220,220,271,271,271
06.01.2022 10:00 - 06.01.2022 11:00,107,107,107,197,197,197,203,203,203
06.01.2022 11:00 - 06.01.2022 12:00,165,165,165,145,145,145,186,186,186
06.01.2022 12:00 - 06.01.2022 13:00,180,180,180,120,120,120,192,192,192
06.01.2022 13:00 - 06.01.2022 14:00,152,152,152,118,118,118,187,187,187
06.01.2022 14:00 - 06.01.2022 15:00,91,91,91,106,106,106,190,190,190
06.01.2022 15:00 - 06.01.2022 16:00,24,24,24,139,139,139,213,213,213
06.01.2022 16:00 - 06.01.2022 17:00,0,0,0,200,200,200,228,228,228
06.01.2022 17:00 - 06.01.2022 18:00,0,0,0,299,299,299,264,264,264
06.01.2022 18:00 - 06.01.2022 19:00,0,0,0,396,396,396,342,342,342
06.01.2022 19:00 - 06.01.2022 20:00,0,0,0,520,520,520,457,457,457
06.01.2022 20:00 - 06.01.2022 21:00,0,0,0,634,634,634,563,563,563
