MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Solar  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Offshore  [MW] Intraday / Estonia (EE),Generation - Wind Offshore  [MW] Current / Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE),Generation - Wind Onshore  [MW] Day Ahead/ Estonia (EE)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,n/e,n/e,n/e,13,13,13
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,n/e,n/e,n/e,14,14,14
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,n/e,n/e,n/e,17,17,17
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,n/e,n/e,n/e,27,27,27
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,n/e,n/e,n/e,44,44,44
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,n/e,n/e,n/e,67,67,67
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,n/e,n/e,n/e,90,90,90
01.01.2022 07:00 - 01.01.2022 08:00,0,0,0,n/e,n/e,n/e,112,112,112
01.01.2022 08:00 - 01.01.2022 09:00,0,0,0,n/e,n/e,n/e,134,134,134
01.01.2022 09:00 - 01.01.2022 10:00,1,1,1,n/e,n/e,n/e,152,152,152
01.01.2022 10:00 - 01.01.2022 11:00,3,3,3,n/e,n/e,n/e,159,159,159
01.01.2022 11:00 - 01.01.2022 12:00,3,3,3,n/e,n/e,n/e,157,157,157
01.01.2022 12:00 - 01.01.2022 13:00,3,3,3,n/e,n/e,n/e,153,153,153
01.01.2022 13:00 - 01.01.2022 14:00,1,1,1,n/e,n/e,n/e,149,149,149
01.01.2022 14:00 - 01.01.2022 15:00,0,0,0,n/e,n/e,n/e,143,143,143
01.01.2022 15:00 - 01.01.2022 16:00,0,0,0,n/e,n/e,n/e,137,137,137
01.01.2022 16:00 - 01.01.2022 17:00,0,0,0,n/e,n/e,n/e,129,129,129
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,n/e,n/e,n/e,116,116,116
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,n/e,n/e,n/e,99,99,99
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,n/e,n/e,n/e,83,83,83
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,n/e,n/e,n/e,69,69,69
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,n/e,n/e,n/e,59,59,59
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,n/e,n/e,n/e,51,51,51
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,n/e,n/e,n/e,32,32,32
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,n/e,n/e,n/e,26,26,26
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,n/e,n/e,n/e,25,25,25
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,n/e,n/e,n/e,29,29,29
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,n/e,n/e,n/e,37,37,37
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,n/e,n/e,n/e,46,46,46
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,n/e,n/e,n/e,59,59,59
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,n/e,n/e,n/e,78,78,78
02.01.2022 07:00 - 02.01.2022 08:00,0,0,0,n/e,n/e,n/e,96,96,96
02.01.2022 08:00 - 02.01.2022 09:00,0,0,0,n/e,n/e,n/e,119,119,119
02.01.2022 09:00 - 02.01.2022 10:00,1,1,1,n/e,n/e,n/e,135,135,135
02.01.2022 10:00 - 02.01.2022 11:00,3,3,3,n/e,n/e,n/e,144,144,144
