"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Hungary (HU)","Actual Total Load [MW] - Hungary (HU)"
"01.01.2022 00:00 - 01.01.2022 00:15","3874","4480"
"01.01.2022 00:15 - 01.01.2022 00:30","3812","4418"
"01.01.2022 00:30 - 01.01.2022 00:45","3776","4382"
"01.01.2022 00:45 - 01.01.2022 01:00","3749","4302"
"01.01.2022 01:00 - 01.01.2022 01:15","3642","4254"
"01.01.2022 01:15 - 01.01.2022 01:30","3628","4211"
"01.01.2022 01:30 - 01.01.2022 01:45","3597","4155"
"01.01.2022 01:45 - 01.01.2022 02:00","3632","4087"
"01.01.2022 02:00 - 01.01.2022 02:15","3561","4004"
"01.01.2022 02:15 - 01.01.2022 02:30","3530","3950"
"01.01.2022 02:30 - 01.01.2022 02:45","3511","3882"
"01.01.2022 02:45 - 01.01.2022 03:00","3509","3824"
"01.01.2022 03:00 - 01.01.2022 03:15","3516","3770"
"01.01.2022 03:15 - 01.01.2022 03:30","3458","3733"
"01.01.2022 03:30 - 01.01.2022 03:45","3430","3707"
"01.01.2022 03:45 - 01.01.2022 04:00","3422","3677"
"01.01.2022 04:00 - 01.01.2022 04:15","3450","3664"
"01.01.2022 04:15 - 01.01.2022 04:30","3478","3656"
"01.01.2022 04:30 - 01.01.2022 04:45","3550","3647"
"01.01.2022 04:45 - 01.01.2022 05:00","3595","3662"
"01.01.2022 05:00 - 01.01.2022 05:15","3869","3665"
"01.01.2022 05:15 - 01.01.2022 05:30","3944","3655"
"01.01.2022 05:30 - 01.01.2022 05:45","4018","3660"
"01.01.2022 05:45 - 01.01.2022 06:00","4166","3663"
"01.01.2022 06:00 - 01.01.2022 06:15","4442","3710"
"01.01.2022 06:15 - 01.01.2022 06:30","4639","3720"
"01.01.2022 06:30 - 01.01.2022 06:45","4790","3732"
"01.01.2022 06:45 - 01.01.2022 07:00","4895","3741"
"01.01.2022 07:00 - 01.01.2022 07:15","4983","3767"
"01.01.2022 07:15 - 01.01.2022 07:30","4982","3729"
"01.01.2022 07:30 - 01.01.2022 07:45","5038","3746"
"01.01.2022 07:45 - 01.01.2022 08:00","5055","3761"
"01.01.2022 08:00 - 01.01.2022 08:15","5086","3798"
"01.01.2022 08:15 - 01.01.2022 08:30","5157","3814"
"01.01.2022 08:30 - 01.01.2022 08:45","5196","3815"
"01.01.2022 08:45 - 01.01.2022 09:00","5199","3819"
"01.01.2022 09:00 - 01.01.2022 09:15","5247","3811"
"01.01.2022 09:15 - 01.01.2022 09:30","5260","3851"
"01.01.2022 09:30 - 01.01.2022 09:45","5303","3875"
"01.01.2022 09:45 - 01.01.2022 10:00","5319","3886"
"01.01.2022 10:00 - 01.01.2022 10:15","5333","3939"
"01.01.2022 10:15 - 01.01.2022 10:30","5339","3984"
"01.01.2022 10:30 - 01.01.2022 10:45","5363","4005"
"01.01.2022 10:45 - 01.01.2022 11:00","5337","4001"
"01.01.2022 11:00 - 01.01.2022 11:15","5339","4055"
"01.01.2022 11:15 - 01.01.2022 11:30","5319","4071"
"01.01.2022 11:30 - 01.01.2022 11:45","5340","4087"
"01.01.2022 11:45 - 01.01.2022 12:00","5356","4138"
"01.01.2022 12:00 - 01.01.2022 12:15","5357","4204"
"01.01.2022 12:15 - 01.01.2022 12:30","5358","4231"
"01.01.2022 12:30 - 01.01.2022 12:45","5372","4242"
"01.01.2022 12:45 - 01.01.2022 13:00","5335","4244"
"01.01.2022 13:00 - 01.01.2022 13:15","5339","4249"
"01.01.2022 13:15 - 01.01.2022 13:30","5319","4270"
"01.01.2022 13:30 - 01.01.2022 13:45","5290","4278"
"01.01.2022 13:45 - 01.01.2022 14:00","5216","4297"
"01.01.2022 14:00 - 01.01.2022 14:15","5275","4350"
"01.01.2022 14:15 - 01.01.2022 14:30","5280","4338"
"01.01.2022 14:30 - 01.01.2022 14:45","5309","4357"
"01.01.2022 14:45 - 01.01.2022 15:00","5310","4383"
"01.01.2022 15:00 - 01.01.2022 15:15","5330","4410"
"01.01.2022 15:15 - 01.01.2022 15:30","5331","4444"
"01.01.2022 15:30 - 01.01.2022 15:45","5397","4477"
"01.01.2022 15:45 - 01.01.2022 16:00","5433","4516"
"01.01.2022 16:00 - 01.01.2022 16:15","5453","4615"
"01.01.2022 16:15 - 01.01.2022 16:30","5586","4721"
"01.01.2022 16:30 - 01.01.2022 16:45","5717","4790"
"01.01.2022 16:45 - 01.01.2022 17:00","5707","4815"
"01.01.2022 17:00 - 01.01.2022 17:15","5703","4831"
"01.01.2022 17:15 - 01.01.2022 17:30","5683","4813"
"01.01.2022 17:30 - 01.01.2022 17:45","5663","4801"
"01.01.2022 17:45 - 01.01.2022 18:00","5616","4777"
"01.01.2022 18:00 - 01.01.2022 18:15","5567","4778"
"01.01.2022 18:15 - 01.01.2022 18:30","5541","4765"
"01.01.2022 18:30 - 01.01.2022 18:45","5549","4773"
"01.01.2022 18:45 - 01.01.2022 19:00","5538","4785"
"01.01.2022 19:00 - 01.01.2022 19:15","5548","4794"
"01.01.2022 19:15 - 01.01.2022 19:30","5512","4787"
"01.01.2022 19:30 - 01.01.2022 19:45","5466","4786"
"01.01.2022 19:45 - 01.01.2022 20:00","5434","4764"
"01.01.2022 20:00 - 01.01.2022 20:15","5450","4740"
"01.01.2022 20:15 - 01.01.2022 20:30","5400","4712"
"01.01.2022 20:30 - 01.01.2022 20:45","5396","4701"
"01.01.2022 20:45 - 01.01.2022 21:00","5324","4648"
"01.01.2022 21:00 - 01.01.2022 21:15","5254","4634"
"01.01.2022 21:15 - 01.01.2022 21:30","5199","4608"
"01.01.2022 21:30 - 01.01.2022 21:45","5116","4556"
"01.01.2022 21:45 - 01.01.2022 22:00","5036","4516"
"01.01.2022 22:00 - 01.01.2022 22:15","4943","4462"
"01.01.2022 22:15 - 01.01.2022 22:30","4903","4407"
"01.01.2022 22:30 - 01.01.2022 22:45","4888","4364"
"01.01.2022 22:45 - 01.01.2022 23:00","4843","4301"
"01.01.2022 23:00 - 01.01.2022 23:15","4782","4238"
"01.01.2022 23:15 - 01.01.2022 23:30","4687","4174"
"01.01.2022 23:30 - 01.01.2022 23:45","4613","4156"
"01.01.2022 23:45 - 02.01.2022 00:00","4527","4088"
"02.01.2022 00:00 - 02.01.2022 00:15","3891","3962"
"02.01.2022 00:15 - 02.01.2022 00:30","3824","3913"
"02.01.2022 00:30 - 02.01.2022 00:45","3736","3891"
"02.01.2022 00:45 - 02.01.2022 01:00","3662","3852"
"02.01.2022 01:00 - 02.01.2022 01:15","3601","3824"
"02.01.2022 01:15 - 02.01.2022 01:30","3559","3782"
"02.01.2022 01:30 - 02.01.2022 01:45","3533","3753"
"02.01.2022 01:45 - 02.01.2022 02:00","3580","3710"
"02.01.2022 02:00 - 02.01.2022 02:15","3494","3656"
"02.01.2022 02:15 - 02.01.2022 02:30","3465","3628"
"02.01.2022 02:30 - 02.01.2022 02:45","3416","3588"
"02.01.2022 02:45 - 02.01.2022 03:00","3396","3563"
"02.01.2022 03:00 - 02.01.2022 03:15","3371","3563"
"02.01.2022 03:15 - 02.01.2022 03:30","3314","3536"
"02.01.2022 03:30 - 02.01.2022 03:45","3286","3528"
"02.01.2022 03:45 - 02.01.2022 04:00","3273","3529"
"02.01.2022 04:00 - 02.01.2022 04:15","3271","3549"
"02.01.2022 04:15 - 02.01.2022 04:30","3299","3570"
"02.01.2022 04:30 - 02.01.2022 04:45","3353","3582"
"02.01.2022 04:45 - 02.01.2022 05:00","3332","3622"
"02.01.2022 05:00 - 02.01.2022 05:15","3435","3662"
"02.01.2022 05:15 - 02.01.2022 05:30","3477","3670"
"02.01.2022 05:30 - 02.01.2022 05:45","3531","3711"
"02.01.2022 05:45 - 02.01.2022 06:00","3647","3751"
"02.01.2022 06:00 - 02.01.2022 06:15","3742","3876"
"02.01.2022 06:15 - 02.01.2022 06:30","3792","3937"
"02.01.2022 06:30 - 02.01.2022 06:45","3858","4006"
"02.01.2022 06:45 - 02.01.2022 07:00","3928","4054"
"02.01.2022 07:00 - 02.01.2022 07:15","4024","4125"
"02.01.2022 07:15 - 02.01.2022 07:30","4074","4126"
"02.01.2022 07:30 - 02.01.2022 07:45","4182","4195"
"02.01.2022 07:45 - 02.01.2022 08:00","4262","4242"
"02.01.2022 08:00 - 02.01.2022 08:15","4404","4318"
