MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
01.01.2022 00:00 - 01.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,9,12,12
01.01.2022 01:00 - 01.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,14,13,13
01.01.2022 02:00 - 01.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,20,17,17
01.01.2022 03:00 - 01.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,30,20,20
01.01.2022 04:00 - 01.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,29,24,24
01.01.2022 05:00 - 01.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,35,23,23
01.01.2022 06:00 - 01.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,39,27,27
01.01.2022 07:00 - 01.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,41,32,32
01.01.2022 08:00 - 01.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,41,28,28
01.01.2022 09:00 - 01.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,41,23,23
01.01.2022 10:00 - 01.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,40,24,24
01.01.2022 11:00 - 01.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,39,28,28
01.01.2022 12:00 - 01.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,37,29,29
01.01.2022 13:00 - 01.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,31,26,26
01.01.2022 14:00 - 01.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,26,26,26
01.01.2022 15:00 - 01.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,21,21,21
01.01.2022 16:00 - 01.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,14,14,14
01.01.2022 17:00 - 01.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,10,9,9
01.01.2022 18:00 - 01.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
01.01.2022 19:00 - 01.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
01.01.2022 20:00 - 01.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
01.01.2022 21:00 - 01.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
01.01.2022 22:00 - 01.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,3,3,3
01.01.2022 23:00 - 02.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,3,5,5
02.01.2022 00:00 - 02.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,6,8,8
02.01.2022 01:00 - 02.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,6,7,7
02.01.2022 02:00 - 02.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,8,7,7
02.01.2022 03:00 - 02.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,10,11,11
02.01.2022 04:00 - 02.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,12,15,15
