MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Netherlands (NL),Generation - Solar  [MW] Intraday / Netherlands (NL),Generation - Solar  [MW] Current / Netherlands (NL),Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Offshore  [MW] Intraday / Netherlands (NL),Generation - Wind Offshore  [MW] Current / Netherlands (NL),Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL),Generation - Wind Onshore  [MW] Intraday / Netherlands (NL),Generation - Wind Onshore  [MW] Current / Netherlands (NL)
01.01.2022 00:00 - 01.01.2022 00:15,0,0,n/e,1364,1364,1364,2721,2721,2721
01.01.2022 00:15 - 01.01.2022 00:30,0,0,n/e,1359,1359,1359,2671,2671,2671
01.01.2022 00:30 - 01.01.2022 00:45,0,0,n/e,1349,1349,1349,2621,2621,2621
01.01.2022 00:45 - 01.01.2022 01:00,0,0,n/e,1339,1339,1339,2572,2572,2572
01.01.2022 01:00 - 01.01.2022 01:15,0,0,n/e,1329,1329,1329,2520,2520,2520
01.01.2022 01:15 - 01.01.2022 01:30,0,0,n/e,1316,1316,1316,2459,2459,2459
01.01.2022 01:30 - 01.01.2022 01:45,0,0,n/e,1300,1300,1300,2385,2385,2385
01.01.2022 01:45 - 01.01.2022 02:00,0,0,n/e,1285,1285,1285,2315,2315,2315
01.01.2022 02:00 - 01.01.2022 02:15,0,0,n/e,1269,1269,1269,2243,2243,2243
01.01.2022 02:15 - 01.01.2022 02:30,0,0,n/e,1249,1249,1249,2184,2184,2184
01.01.2022 02:30 - 01.01.2022 02:45,0,0,n/e,1223,1223,1223,2133,2133,2133
01.01.2022 02:45 - 01.01.2022 03:00,0,0,n/e,1198,1198,1198,2087,2087,2087
01.01.2022 03:00 - 01.01.2022 03:15,0,0,n/e,1172,1172,1172,2037,2037,2037
01.01.2022 03:15 - 01.01.2022 03:30,0,0,n/e,1144,1144,1144,1985,1985,1985
01.01.2022 03:30 - 01.01.2022 03:45,0,0,n/e,1115,1115,1115,1927,1927,1927
01.01.2022 03:45 - 01.01.2022 04:00,0,0,n/e,1086,1086,1086,1870,1870,1870
01.01.2022 04:00 - 01.01.2022 04:15,0,0,n/e,1057,1057,1057,1812,1812,1812
01.01.2022 04:15 - 01.01.2022 04:30,0,0,n/e,1041,1041,1041,1745,1745,1745
01.01.2022 04:30 - 01.01.2022 04:45,0,0,n/e,1040,1040,1040,1672,1672,1672
01.01.2022 04:45 - 01.01.2022 05:00,0,0,n/e,1038,1038,1038,1598,1598,1598
01.01.2022 05:00 - 01.01.2022 05:15,0,0,n/e,1036,1036,1036,1525,1525,1525
01.01.2022 05:15 - 01.01.2022 05:30,0,0,n/e,1029,1029,1029,1473,1473,1473
01.01.2022 05:30 - 01.01.2022 05:45,0,0,n/e,1018,1018,1018,1440,1440,1440
01.01.2022 05:45 - 01.01.2022 06:00,0,0,n/e,1007,1007,1007,1409,1409,1409
01.01.2022 06:00 - 01.01.2022 06:15,0,0,n/e,996,996,996,1374,1374,1374
01.01.2022 06:15 - 01.01.2022 06:30,0,0,n/e,987,987,987,1338,1338,1338
01.01.2022 06:30 - 01.01.2022 06:45,0,0,n/e,981,981,981,1297,1297,1297
01.01.2022 06:45 - 01.01.2022 07:00,0,0,n/e,975,975,975,1257,1257,1257
01.01.2022 07:00 - 01.01.2022 07:15,0,0,n/e,969,969,969,1220,1220,1220
01.01.2022 07:15 - 01.01.2022 07:30,0,0,n/e,983,983,983,1216,1216,1216
01.01.2022 07:30 - 01.01.2022 07:45,0,0,n/e,1016,1016,1016,1247,1247,1247
01.01.2022 07:45 - 01.01.2022 08:00,0,0,n/e,1049,1049,1049,1278,1278,1278
01.01.2022 08:00 - 01.01.2022 08:15,0,0,n/e,1082,1082,1082,1309,1309,1309
01.01.2022 08:15 - 01.01.2022 08:30,0,0,n/e,1112,1112,1112,1359,1359,1359
01.01.2022 08:30 - 01.01.2022 08:45,0,0,n/e,1139,1139,1139,1424,1424,1424
01.01.2022 08:45 - 01.01.2022 09:00,0,0,n/e,1165,1165,1165,1491,1491,1491
01.01.2022 09:00 - 01.01.2022 09:15,0,0,n/e,1192,1192,1192,1556,1556,1556
01.01.2022 09:15 - 01.01.2022 09:30,56,56,n/e,1209,1209,1209,1623,1623,1623
01.01.2022 09:30 - 01.01.2022 09:45,107,107,n/e,1217,1217,1217,1693,1693,1693
01.01.2022 09:45 - 01.01.2022 10:00,163,163,n/e,1226,1226,1226,1762,1762,1762
01.01.2022 10:00 - 01.01.2022 10:15,216,216,n/e,1234,1234,1234,1830,1830,1830
01.01.2022 10:15 - 01.01.2022 10:30,371,371,n/e,1233,1233,1233,1865,1865,1865
01.01.2022 10:30 - 01.01.2022 10:45,524,524,n/e,1224,1224,1224,1865,1865,1865
01.01.2022 10:45 - 01.01.2022 11:00,681,681,n/e,1215,1215,1215,1863,1863,1863
01.01.2022 11:00 - 01.01.2022 11:15,836,836,n/e,1206,1206,1206,1864,1864,1864
01.01.2022 11:15 - 01.01.2022 11:30,917,917,n/e,1203,1203,1203,1879,1879,1879
01.01.2022 11:30 - 01.01.2022 11:45,997,997,n/e,1206,1206,1206,1910,1910,1910
01.01.2022 11:45 - 01.01.2022 12:00,1077,1077,n/e,1210,1210,1210,1941,1941,1941
01.01.2022 12:00 - 01.01.2022 12:15,1161,1161,n/e,1213,1213,1213,1972,1972,1972
01.01.2022 12:15 - 01.01.2022 12:30,1208,1208,n/e,1216,1216,1216,1991,1991,1991
01.01.2022 12:30 - 01.01.2022 12:45,1256,1256,n/e,1220,1220,1220,1995,1995,1995
01.01.2022 12:45 - 01.01.2022 13:00,1304,1304,n/e,1223,1223,1223,2002,2002,2002
01.01.2022 13:00 - 01.01.2022 13:15,1351,1351,n/e,1227,1227,1227,2010,2010,2010
01.01.2022 13:15 - 01.01.2022 13:30,1332,1332,n/e,1232,1232,1232,2029,2029,2029
01.01.2022 13:30 - 01.01.2022 13:45,1310,1310,n/e,1239,1239,1239,2059,2059,2059
01.01.2022 13:45 - 01.01.2022 14:00,1290,1290,n/e,1246,1246,1246,2088,2088,2088
01.01.2022 14:00 - 01.01.2022 14:15,1270,1270,n/e,1253,1253,1253,2117,2117,2117
01.01.2022 14:15 - 01.01.2022 14:30,1218,1218,n/e,1258,1258,1258,2142,2142,2142
01.01.2022 14:30 - 01.01.2022 14:45,1165,1165,n/e,1262,1262,1262,2163,2163,2163
01.01.2022 14:45 - 01.01.2022 15:00,1112,1112,n/e,1266,1266,1266,2186,2186,2186
01.01.2022 15:00 - 01.01.2022 15:15,1062,1062,n/e,1270,1270,1270,2206,2206,2206
01.01.2022 15:15 - 01.01.2022 15:30,972,972,n/e,1274,1274,1274,2238,2238,2238
01.01.2022 15:30 - 01.01.2022 15:45,884,884,n/e,1277,1277,1277,2281,2281,2281
01.01.2022 15:45 - 01.01.2022 16:00,795,795,n/e,1281,1281,1281,2318,2318,2318
01.01.2022 16:00 - 01.01.2022 16:15,707,707,n/e,1284,1284,1284,2358,2358,2358
01.01.2022 16:15 - 01.01.2022 16:30,544,544,n/e,1293,1293,1293,2385,2385,2385
01.01.2022 16:30 - 01.01.2022 16:45,380,380,n/e,1305,1305,1305,2402,2402,2402
01.01.2022 16:45 - 01.01.2022 17:00,218,218,n/e,1318,1318,1318,2416,2416,2416
01.01.2022 17:00 - 01.01.2022 17:15,54,54,n/e,1330,1330,1330,2431,2431,2431
01.01.2022 17:15 - 01.01.2022 17:30,40,40,n/e,1338,1338,1338,2455,2455,2455
01.01.2022 17:30 - 01.01.2022 17:45,26,26,n/e,1341,1341,1341,2487,2487,2487
01.01.2022 17:45 - 01.01.2022 18:00,13,13,n/e,1344,1344,1344,2517,2517,2517
01.01.2022 18:00 - 01.01.2022 18:15,0,0,n/e,1346,1346,1346,2552,2552,2552
01.01.2022 18:15 - 01.01.2022 18:30,0,0,n/e,1344,1344,1344,2585,2585,2585
01.01.2022 18:30 - 01.01.2022 18:45,0,0,n/e,1337,1337,1337,2621,2621,2621
01.01.2022 18:45 - 01.01.2022 19:00,0,0,n/e,1330,1330,1330,2655,2655,2655
01.01.2022 19:00 - 01.01.2022 19:15,0,0,n/e,1323,1323,1323,2693,2693,2693
01.01.2022 19:15 - 01.01.2022 19:30,0,0,n/e,1321,1321,1321,2712,2712,2712
