MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Solar  [MW] Intraday / Slovakia (SK),Generation - Solar  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Offshore  [MW] Intraday / Slovakia (SK),Generation - Wind Offshore  [MW] Current / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK),Generation - Wind Onshore  [MW] Intraday / Slovakia (SK),Generation - Wind Onshore  [MW] Day Ahead/ Slovakia (SK)
01.01.2022 00:00 - 01.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 01:00 - 01.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 02:00 - 01.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 03:00 - 01.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 04:00 - 01.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 05:00 - 01.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 06:00 - 01.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 07:00 - 01.01.2022 08:00,5,5,5,n/e,n/e,n/e,1,1,1
01.01.2022 08:00 - 01.01.2022 09:00,15,15,15,n/e,n/e,n/e,1,1,1
01.01.2022 09:00 - 01.01.2022 10:00,40,40,40,n/e,n/e,n/e,1,1,1
01.01.2022 10:00 - 01.01.2022 11:00,85,85,85,n/e,n/e,n/e,1,1,1
01.01.2022 11:00 - 01.01.2022 12:00,100,100,100,n/e,n/e,n/e,1,1,1
01.01.2022 12:00 - 01.01.2022 13:00,90,90,90,n/e,n/e,n/e,1,1,1
01.01.2022 13:00 - 01.01.2022 14:00,60,60,60,n/e,n/e,n/e,1,1,1
01.01.2022 14:00 - 01.01.2022 15:00,20,20,20,n/e,n/e,n/e,1,1,1
01.01.2022 15:00 - 01.01.2022 16:00,2,2,2,n/e,n/e,n/e,1,1,1
01.01.2022 16:00 - 01.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 17:00 - 01.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 18:00 - 01.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 19:00 - 01.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 20:00 - 01.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 21:00 - 01.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 22:00 - 01.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
01.01.2022 23:00 - 02.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 00:00 - 02.01.2022 01:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 01:00 - 02.01.2022 02:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 02:00 - 02.01.2022 03:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 03:00 - 02.01.2022 04:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 04:00 - 02.01.2022 05:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 05:00 - 02.01.2022 06:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 06:00 - 02.01.2022 07:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 07:00 - 02.01.2022 08:00,10,10,10,n/e,n/e,n/e,1,1,1
02.01.2022 08:00 - 02.01.2022 09:00,29,29,29,n/e,n/e,n/e,1,1,1
02.01.2022 09:00 - 02.01.2022 10:00,55,55,55,n/e,n/e,n/e,1,1,1
02.01.2022 10:00 - 02.01.2022 11:00,85,85,85,n/e,n/e,n/e,1,1,1
02.01.2022 11:00 - 02.01.2022 12:00,90,90,90,n/e,n/e,n/e,1,1,1
02.01.2022 12:00 - 02.01.2022 13:00,80,80,80,n/e,n/e,n/e,1,1,1
02.01.2022 13:00 - 02.01.2022 14:00,60,60,60,n/e,n/e,n/e,1,1,1
02.01.2022 14:00 - 02.01.2022 15:00,22,22,22,n/e,n/e,n/e,1,1,1
02.01.2022 15:00 - 02.01.2022 16:00,2,2,2,n/e,n/e,n/e,1,1,1
02.01.2022 16:00 - 02.01.2022 17:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 17:00 - 02.01.2022 18:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 18:00 - 02.01.2022 19:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 19:00 - 02.01.2022 20:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 20:00 - 02.01.2022 21:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 21:00 - 02.01.2022 22:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 22:00 - 02.01.2022 23:00,0,0,0,n/e,n/e,n/e,1,1,1
02.01.2022 23:00 - 03.01.2022 00:00,0,0,0,n/e,n/e,n/e,1,1,1
