"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Intraday / Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Intraday / Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Intraday / Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"01.01.2022 00:00 - 01.01.2022 00:15","0","0","0","n/e","n/e","n/e","2176","2000","2000"
"01.01.2022 00:15 - 01.01.2022 00:30","0","0","0","n/e","n/e","n/e","2268","2140","2140"
"01.01.2022 00:30 - 01.01.2022 00:45","0","0","0","n/e","n/e","n/e","2360","2300","2300"
"01.01.2022 00:45 - 01.01.2022 01:00","0","0","0","n/e","n/e","n/e","2456","2424","2424"
"01.01.2022 01:00 - 01.01.2022 01:15","0","0","0","n/e","n/e","n/e","2516","2504","2504"
"01.01.2022 01:15 - 01.01.2022 01:30","0","0","0","n/e","n/e","n/e","2548","2540","2540"
"01.01.2022 01:30 - 01.01.2022 01:45","0","0","0","n/e","n/e","n/e","2584","2576","2576"
"01.01.2022 01:45 - 01.01.2022 02:00","0","0","0","n/e","n/e","n/e","2616","2616","2616"
"01.01.2022 02:00 - 01.01.2022 02:15","0","0","0","n/e","n/e","n/e","2636","2636","2636"
"01.01.2022 02:15 - 01.01.2022 02:30","0","0","0","n/e","n/e","n/e","2640","2644","2644"
"01.01.2022 02:30 - 01.01.2022 02:45","0","0","0","n/e","n/e","n/e","2648","2652","2652"
"01.01.2022 02:45 - 01.01.2022 03:00","0","0","0","n/e","n/e","n/e","2656","2656","2656"
"01.01.2022 03:00 - 01.01.2022 03:15","0","0","0","n/e","n/e","n/e","2656","2668","2668"
"01.01.2022 03:15 - 01.01.2022 03:30","0","0","0","n/e","n/e","n/e","2648","2680","2680"
"01.01.2022 03:30 - 01.01.2022 03:45","0","0","0","n/e","n/e","n/e","2644","2700","2700"
"01.01.2022 03:45 - 01.01.2022 04:00","0","0","0","n/e","n/e","n/e","2636","2712","2712"
"01.01.2022 04:00 - 01.01.2022 04:15","0","0","0","n/e","n/e","n/e","2624","2716","2716"
"01.01.2022 04:15 - 01.01.2022 04:30","0","0","0","n/e","n/e","n/e","2604","2712","2712"
"01.01.2022 04:30 - 01.01.2022 04:45","0","0","0","n/e","n/e","n/e","2588","2708","2708"
"01.01.2022 04:45 - 01.01.2022 05:00","0","0","0","n/e","n/e","n/e","2568","2700","2700"
"01.01.2022 05:00 - 01.01.2022 05:15","0","0","0","n/e","n/e","n/e","2564","2696","2696"
"01.01.2022 05:15 - 01.01.2022 05:30","0","0","0","n/e","n/e","n/e","2568","2692","2692"
"01.01.2022 05:30 - 01.01.2022 05:45","0","0","0","n/e","n/e","n/e","2568","2668","2668"
"01.01.2022 05:45 - 01.01.2022 06:00","0","0","0","n/e","n/e","n/e","2572","2668","2668"
"01.01.2022 06:00 - 01.01.2022 06:15","0","0","0","n/e","n/e","n/e","2576","2664","2664"
"01.01.2022 06:15 - 01.01.2022 06:30","0","0","0","n/e","n/e","n/e","2576","2652","2652"
