"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Finland (FI)","Generation - Solar  [MW] Intraday / Finland (FI)","Generation - Solar  [MW] Current / Finland (FI)","Generation - Wind Offshore  [MW] Day Ahead/ Finland (FI)","Generation - Wind Offshore  [MW] Intraday / Finland (FI)","Generation - Wind Offshore  [MW] Current / Finland (FI)","Generation - Wind Onshore  [MW] Day Ahead/ Finland (FI)","Generation - Wind Onshore  [MW] Intraday / Finland (FI)","Generation - Wind Onshore  [MW] Current / Finland (FI)"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0","0","N/A","n/e","n/e","1813","1438","1445"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0","0","N/A","n/e","n/e","1868","1532","1532"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0","0","N/A","n/e","n/e","1951","1589","1586"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0","0","N/A","n/e","n/e","2031","1759","1757"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0","0","N/A","n/e","n/e","2082","1799","1800"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0","0","N/A","n/e","n/e","2124","1881","1883"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0","0","N/A","n/e","n/e","2143","1895","1992"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0","0","N/A","n/e","n/e","2129","1884","1984"
"01.01.2022 08:00 - 01.01.2022 09:00","0","0","0","N/A","n/e","n/e","2096","1857","1957"
"01.01.2022 09:00 - 01.01.2022 10:00","10","10","8","N/A","n/e","n/e","2061","1828","1920"
"01.01.2022 10:00 - 01.01.2022 11:00","22","21","18","N/A","n/e","n/e","2026","1811","1890"
"01.01.2022 11:00 - 01.01.2022 12:00","28","28","25","N/A","n/e","n/e","2003","1824","1766"
"01.01.2022 12:00 - 01.01.2022 13:00","22","21","19","N/A","n/e","n/e","1990","1844","1782"
"01.01.2022 13:00 - 01.01.2022 14:00","8","8","7","N/A","n/e","n/e","1974","1856","1903"
"01.01.2022 14:00 - 01.01.2022 15:00","0","0","0","N/A","n/e","n/e","1955","1863","1857"
"01.01.2022 15:00 - 01.01.2022 16:00","0","0","0","N/A","n/e","n/e","1916","1845","1792"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0","0","N/A","n/e","n/e","1840","1772","1671"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0","0","N/A","n/e","n/e","1738","1644","1561"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0","0","N/A","n/e","n/e","1624","1449","1422"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0","0","N/A","n/e","n/e","1481","1271","1208"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0","0","N/A","n/e","n/e","1344","1093","1010"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0","0","N/A","n/e","n/e","1215","950","887"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0","0","N/A","n/e","n/e","1034","827","743"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0","0","N/A","n/e","n/e","821","675","525"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0","0","N/A","n/e","n/e","495","486","483"
