"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Intraday / Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Intraday / Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Intraday / Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"01.01.2022 00:00 - 01.01.2022 00:15","0","0","n/e","5973","6056","n/e","25931","25442","n/e"
"01.01.2022 00:15 - 01.01.2022 00:30","0","0","n/e","5944","6105","n/e","25718","25423","n/e"
"01.01.2022 00:30 - 01.01.2022 00:45","0","0","n/e","5914","6084","n/e","25497","25841","n/e"
"01.01.2022 00:45 - 01.01.2022 01:00","0","0","n/e","5881","6015","n/e","25265","25478","n/e"
"01.01.2022 01:00 - 01.01.2022 01:15","0","0","n/e","5910","5846","n/e","25027","25150","n/e"
"01.01.2022 01:15 - 01.01.2022 01:30","0","0","n/e","5865","5686","n/e","24767","24675","n/e"
"01.01.2022 01:30 - 01.01.2022 01:45","0","0","n/e","5811","5436","n/e","24498","24612","n/e"
"01.01.2022 01:45 - 01.01.2022 02:00","0","0","n/e","5753","5321","n/e","24219","24519","n/e"
"01.01.2022 02:00 - 01.01.2022 02:15","0","0","n/e","5690","5266","n/e","23925","24025","n/e"
"01.01.2022 02:15 - 01.01.2022 02:30","0","0","n/e","5618","5338","n/e","23633","23459","n/e"
"01.01.2022 02:30 - 01.01.2022 02:45","0","0","n/e","5542","5251","n/e","23328","23264","n/e"
"01.01.2022 02:45 - 01.01.2022 03:00","0","0","n/e","5468","5313","n/e","23017","22841","n/e"
"01.01.2022 03:00 - 01.01.2022 03:15","0","0","n/e","5392","5207","n/e","22713","22440","n/e"
"01.01.2022 03:15 - 01.01.2022 03:30","0","0","n/e","5317","5181","n/e","22454","21861","n/e"
"01.01.2022 03:30 - 01.01.2022 03:45","0","0","n/e","5243","5099","n/e","22201","21701","n/e"
"01.01.2022 03:45 - 01.01.2022 04:00","0","0","n/e","5162","5094","n/e","21948","21493","n/e"
"01.01.2022 04:00 - 01.01.2022 04:15","0","0","n/e","5084","5079","n/e","21693","21450","n/e"
"01.01.2022 04:15 - 01.01.2022 04:30","0","0","n/e","5007","5105","n/e","21423","21087","n/e"
"01.01.2022 04:30 - 01.01.2022 04:45","0","0","n/e","4929","5146","n/e","21153","20982","n/e"
"01.01.2022 04:45 - 01.01.2022 05:00","0","0","n/e","4851","5217","n/e","20882","20535","n/e"
"01.01.2022 05:00 - 01.01.2022 05:15","0","0","n/e","4739","5302","n/e","20626","20010","n/e"
"01.01.2022 05:15 - 01.01.2022 05:30","0","0","n/e","4682","5367","n/e","20337","19954","n/e"
"01.01.2022 05:30 - 01.01.2022 05:45","0","0","n/e","4618","5336","n/e","20048","19477","n/e"
"01.01.2022 05:45 - 01.01.2022 06:00","0","0","n/e","4559","5199","n/e","19757","19441","n/e"
"01.01.2022 06:00 - 01.01.2022 06:15","0","0","n/e","4492","4911","n/e","19722","19598","n/e"
"01.01.2022 06:15 - 01.01.2022 06:30","0","0","n/e","4443","4568","n/e","19452","19025","n/e"
"01.01.2022 06:30 - 01.01.2022 06:45","0","0","n/e","4391","4345","n/e","19173","18965","n/e"
"01.01.2022 06:45 - 01.01.2022 07:00","0","0","n/e","4339","4291","n/e","18891","18919","n/e"
"01.01.2022 07:00 - 01.01.2022 07:15","0","0","n/e","4278","4342","n/e","18594","18570","n/e"
"01.01.2022 07:15 - 01.01.2022 07:30","0","0","n/e","4207","4475","n/e","18308","18354","n/e"
"01.01.2022 07:30 - 01.01.2022 07:45","0","0","n/e","4132","4570","n/e","18023","17485","n/e"
"01.01.2022 07:45 - 01.01.2022 08:00","0","0","n/e","4058","4503","n/e","17746","17034","n/e"
"01.01.2022 08:00 - 01.01.2022 08:15","17","22","n/e","3989","4448","n/e","17457","16741","n/e"
"01.01.2022 08:15 - 01.01.2022 08:30","103","120","n/e","3919","4401","n/e","17134","16468","n/e"
"01.01.2022 08:30 - 01.01.2022 08:45","439","437","n/e","3846","4348","n/e","16798","16064","n/e"
"01.01.2022 08:45 - 01.01.2022 09:00","783","840","n/e","3773","4293","n/e","16455","15846","n/e"
"01.01.2022 09:00 - 01.01.2022 09:15","1223","1353","n/e","3710","4261","n/e","16080","15528","n/e"
"01.01.2022 09:15 - 01.01.2022 09:30","1732","1935","n/e","3712","4279","n/e","15680","15212","n/e"
"01.01.2022 09:30 - 01.01.2022 09:45","2299","2549","n/e","3713","4297","n/e","15265","14893","n/e"
"01.01.2022 09:45 - 01.01.2022 10:00","2871","3175","n/e","3711","4313","n/e","14843","14568","n/e"
"01.01.2022 10:00 - 01.01.2022 10:15","3445","3776","n/e","3738","4333","n/e","14444","14252","n/e"
"01.01.2022 10:15 - 01.01.2022 10:30","4002","4364","n/e","3831","4416","n/e","13996","13890","n/e"
"01.01.2022 10:30 - 01.01.2022 10:45","4541","4910","n/e","3928","4499","n/e","13548","13526","n/e"
"01.01.2022 10:45 - 01.01.2022 11:00","5046","5412","n/e","4011","4581","n/e","13107","13164","n/e"
"01.01.2022 11:00 - 01.01.2022 11:15","5516","5868","n/e","4078","4593","n/e","12670","12808","n/e"
"01.01.2022 11:15 - 01.01.2022 11:30","5947","6315","n/e","4124","4623","n/e","12297","12497","n/e"
"01.01.2022 11:30 - 01.01.2022 11:45","6301","6680","n/e","4161","4656","n/e","11925","12183","n/e"
"01.01.2022 11:45 - 01.01.2022 12:00","6577","6986","n/e","4207","4691","n/e","11565","11870","n/e"
"01.01.2022 12:00 - 01.01.2022 12:15","6796","7205","n/e","4263","4731","n/e","11212","11576","n/e"
"01.01.2022 12:15 - 01.01.2022 12:30","6942","7344","n/e","4345","4787","n/e","10806","11225","n/e"
"01.01.2022 12:30 - 01.01.2022 12:45","6979","7394","n/e","4432","4841","n/e","10408","10873","n/e"
"01.01.2022 12:45 - 01.01.2022 13:00","6924","7349","n/e","4524","4896","n/e","10019","10523","n/e"
"01.01.2022 13:00 - 01.01.2022 13:15","6793","7212","n/e","4607","4958","n/e","9653","10183","n/e"
"01.01.2022 13:15 - 01.01.2022 13:30","6536","6986","n/e","4714","5035","n/e","9279","9870","n/e"
"01.01.2022 13:30 - 01.01.2022 13:45","6237","6651","n/e","4823","5110","n/e","8911","9565","n/e"
"01.01.2022 13:45 - 01.01.2022 14:00","5853","6233","n/e","4929","5186","n/e","8551","9268","n/e"
