"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Sweden (SE)","Actual Total Load [MW] - Sweden (SE)"
"01.01.2022 00:00 - 01.01.2022 01:00","15079","15438"
"01.01.2022 01:00 - 01.01.2022 02:00","14904","15331"
"01.01.2022 02:00 - 01.01.2022 03:00","14760","15331"
"01.01.2022 03:00 - 01.01.2022 04:00","14678","15270"
"01.01.2022 04:00 - 01.01.2022 05:00","14730","15150"
"01.01.2022 05:00 - 01.01.2022 06:00","14966","15387"
"01.01.2022 06:00 - 01.01.2022 07:00","15388","15737"
"01.01.2022 07:00 - 01.01.2022 08:00","15860","16054"
"01.01.2022 08:00 - 01.01.2022 09:00","16251","16455"
"01.01.2022 09:00 - 01.01.2022 10:00","16597","16943"
"01.01.2022 10:00 - 01.01.2022 11:00","17086","17476"
"01.01.2022 11:00 - 01.01.2022 12:00","17508","17657"
"01.01.2022 12:00 - 01.01.2022 13:00","17737","17521"
"01.01.2022 13:00 - 01.01.2022 14:00","17918","17542"
"01.01.2022 14:00 - 01.01.2022 15:00","18254","17783"
"01.01.2022 15:00 - 01.01.2022 16:00","18857","18417"
"01.01.2022 16:00 - 01.01.2022 17:00","19407","18620"
"01.01.2022 17:00 - 01.01.2022 18:00","19579","18778"
"01.01.2022 18:00 - 01.01.2022 19:00","19420","18621"
"01.01.2022 19:00 - 01.01.2022 20:00","19086","17942"
"01.01.2022 20:00 - 01.01.2022 21:00","18574","17481"
"01.01.2022 21:00 - 01.01.2022 22:00","18009","17048"
"01.01.2022 22:00 - 01.01.2022 23:00","17364","16461"
"01.01.2022 23:00 - 02.01.2022 00:00","16778","16048"
"02.01.2022 00:00 - 02.01.2022 01:00","15987","15924"
"02.01.2022 01:00 - 02.01.2022 02:00","15601","15328"
"02.01.2022 02:00 - 02.01.2022 03:00","15328","15037"
"02.01.2022 03:00 - 02.01.2022 04:00","15183","14770"
"02.01.2022 04:00 - 02.01.2022 05:00","15193","14706"
"02.01.2022 05:00 - 02.01.2022 06:00","15319","14752"
"02.01.2022 06:00 - 02.01.2022 07:00","15641","15202"
"02.01.2022 07:00 - 02.01.2022 08:00","16083","15916"
"02.01.2022 08:00 - 02.01.2022 09:00","16669","16545"
"02.01.2022 09:00 - 02.01.2022 10:00","17198","16960"
"02.01.2022 10:00 - 02.01.2022 11:00","17644","17299"
"02.01.2022 11:00 - 02.01.2022 12:00","17888","17428"
"02.01.2022 12:00 - 02.01.2022 13:00","17946","17553"
"02.01.2022 13:00 - 02.01.2022 14:00","17902","17792"
"02.01.2022 14:00 - 02.01.2022 15:00","17960","17912"
"02.01.2022 15:00 - 02.01.2022 16:00","18352","18077"
"02.01.2022 16:00 - 02.01.2022 17:00","18853","18265"
"02.01.2022 17:00 - 02.01.2022 18:00","18996","18541"
"02.01.2022 18:00 - 02.01.2022 19:00","18802","18424"
"02.01.2022 19:00 - 02.01.2022 20:00","18437","18010"
"02.01.2022 20:00 - 02.01.2022 21:00","17911","17305"
"02.01.2022 21:00 - 02.01.2022 22:00","17297","16546"
"02.01.2022 22:00 - 02.01.2022 23:00","16588","16269"
"02.01.2022 23:00 - 03.01.2022 00:00","15912","15506"
"03.01.2022 00:00 - 03.01.2022 01:00","15217","15319"
"03.01.2022 01:00 - 03.01.2022 02:00","14905","15049"
"03.01.2022 02:00 - 03.01.2022 03:00","14787","14808"
"03.01.2022 03:00 - 03.01.2022 04:00","14784","14886"
"03.01.2022 04:00 - 03.01.2022 05:00","14999","15344"
"03.01.2022 05:00 - 03.01.2022 06:00","15562","15734"
"03.01.2022 06:00 - 03.01.2022 07:00","16794","17213"
"03.01.2022 07:00 - 03.01.2022 08:00","17948","18764"
"03.01.2022 08:00 - 03.01.2022 09:00","18579","19396"
"03.01.2022 09:00 - 03.01.2022 10:00","18743","19451"
"03.01.2022 10:00 - 03.01.2022 11:00","19034","19620"
"03.01.2022 11:00 - 03.01.2022 12:00","19100","19916"
"03.01.2022 12:00 - 03.01.2022 13:00","19037","20005"
"03.01.2022 13:00 - 03.01.2022 14:00","18966","20204"
"03.01.2022 14:00 - 03.01.2022 15:00","18974","20225"
"03.01.2022 15:00 - 03.01.2022 16:00","19330","20687"
"03.01.2022 16:00 - 03.01.2022 17:00","19559","20855"
"03.01.2022 17:00 - 03.01.2022 18:00","19536","21041"
"03.01.2022 18:00 - 03.01.2022 19:00","19127","20625"
"03.01.2022 19:00 - 03.01.2022 20:00","18633","20368"
"03.01.2022 20:00 - 03.01.2022 21:00","18006","19675"
"03.01.2022 21:00 - 03.01.2022 22:00","17351","18948"
"03.01.2022 22:00 - 03.01.2022 23:00","16696","18102"
"03.01.2022 23:00 - 04.01.2022 00:00","16061","17269"
"04.01.2022 00:00 - 04.01.2022 01:00","15069","17009"
"04.01.2022 01:00 - 04.01.2022 02:00","14851","16824"
"04.01.2022 02:00 - 04.01.2022 03:00","14866","16796"
"04.01.2022 03:00 - 04.01.2022 04:00","15016","16723"
"04.01.2022 04:00 - 04.01.2022 05:00","15358","17084"
"04.01.2022 05:00 - 04.01.2022 06:00","16028","17985"
"04.01.2022 06:00 - 04.01.2022 07:00","17368","19017"
"04.01.2022 07:00 - 04.01.2022 08:00","18642","20133"
"04.01.2022 08:00 - 04.01.2022 09:00","19349","20800"
"04.01.2022 09:00 - 04.01.2022 10:00","19534","20732"
"04.01.2022 10:00 - 04.01.2022 11:00","19782","20622"
"04.01.2022 11:00 - 04.01.2022 12:00","19766","20849"
"04.01.2022 12:00 - 04.01.2022 13:00","19668","20973"
"04.01.2022 13:00 - 04.01.2022 14:00","19600","20749"
"04.01.2022 14:00 - 04.01.2022 15:00","19659","20770"
"04.01.2022 15:00 - 04.01.2022 16:00","20106","21558"
"04.01.2022 16:00 - 04.01.2022 17:00","20479","21965"
"04.01.2022 17:00 - 04.01.2022 18:00","20545","22098"
"04.01.2022 18:00 - 04.01.2022 19:00","20179","21647"
"04.01.2022 19:00 - 04.01.2022 20:00","19711","21163"
"04.01.2022 20:00 - 04.01.2022 21:00","19135","20499"
"04.01.2022 21:00 - 04.01.2022 22:00","18454","19641"
"04.01.2022 22:00 - 04.01.2022 23:00","17733","19007"
"04.01.2022 23:00 - 05.01.2022 00:00","17023","18021"
"05.01.2022 00:00 - 05.01.2022 01:00","17211","17745"
"05.01.2022 01:00 - 05.01.2022 02:00","16922","17270"
"05.01.2022 02:00 - 05.01.2022 03:00","16774","17050"
"05.01.2022 03:00 - 05.01.2022 04:00","16810","17103"
"05.01.2022 04:00 - 05.01.2022 05:00","17056","17262"
"05.01.2022 05:00 - 05.01.2022 06:00","17681","17810"
"05.01.2022 06:00 - 05.01.2022 07:00","19126","19235"
"05.01.2022 07:00 - 05.01.2022 08:00","20383","20644"
"05.01.2022 08:00 - 05.01.2022 09:00","20982","21248"
"05.01.2022 09:00 - 05.01.2022 10:00","21136","21376"
"05.01.2022 10:00 - 05.01.2022 11:00","21516","21549"
"05.01.2022 11:00 - 05.01.2022 12:00","21553","21489"
"05.01.2022 12:00 - 05.01.2022 13:00","21439","21319"
"05.01.2022 13:00 - 05.01.2022 14:00","21333","21436"
"05.01.2022 14:00 - 05.01.2022 15:00","21293","21327"
"05.01.2022 15:00 - 05.01.2022 16:00","21588","22057"
"05.01.2022 16:00 - 05.01.2022 17:00","21943","22197"
"05.01.2022 17:00 - 05.01.2022 18:00","22039","22071"
"05.01.2022 18:00 - 05.01.2022 19:00","21680","21801"
"05.01.2022 19:00 - 05.01.2022 20:00","21180","21434"
"05.01.2022 20:00 - 05.01.2022 21:00","20538","20792"
"05.01.2022 21:00 - 05.01.2022 22:00","19860","19817"
"05.01.2022 22:00 - 05.01.2022 23:00","19177","19120"
"05.01.2022 23:00 - 06.01.2022 00:00","18523","18579"
"06.01.2022 00:00 - 06.01.2022 01:00","17855","18215"
"06.01.2022 01:00 - 06.01.2022 02:00","17516","17680"
"06.01.2022 02:00 - 06.01.2022 03:00","17361","17514"
"06.01.2022 03:00 - 06.01.2022 04:00","17360","17502"
"06.01.2022 04:00 - 06.01.2022 05:00","17591","17795"
"06.01.2022 05:00 - 06.01.2022 06:00","17946","18109"
"06.01.2022 06:00 - 06.01.2022 07:00","18646","18714"
"06.01.2022 07:00 - 06.01.2022 08:00","19344","19147"
"06.01.2022 08:00 - 06.01.2022 09:00","20076","20168"
"06.01.2022 09:00 - 06.01.2022 10:00","20672","20826"
"06.01.2022 10:00 - 06.01.2022 11:00","21212","21258"
"06.01.2022 11:00 - 06.01.2022 12:00","21418","21169"
"06.01.2022 12:00 - 06.01.2022 13:00","21333","21064"
"06.01.2022 13:00 - 06.01.2022 14:00","21168","20625"
"06.01.2022 14:00 - 06.01.2022 15:00","21219","20709"
"06.01.2022 15:00 - 06.01.2022 16:00","21787","21371"
"06.01.2022 16:00 - 06.01.2022 17:00","22536","21680"
"06.01.2022 17:00 - 06.01.2022 18:00","22725","21954"
"06.01.2022 18:00 - 06.01.2022 19:00","22445","21591"
"06.01.2022 19:00 - 06.01.2022 20:00","22025","21068"
"06.01.2022 20:00 - 06.01.2022 21:00","21513","20458"
"06.01.2022 21:00 - 06.01.2022 22:00","20854","20482"
"06.01.2022 22:00 - 06.01.2022 23:00","20109","20455"
"06.01.2022 23:00 - 07.01.2022 00:00","19411","19167"
"07.01.2022 00:00 - 07.01.2022 01:00","19947","18524"
"07.01.2022 01:00 - 07.01.2022 02:00","19679","18521"
"07.01.2022 02:00 - 07.01.2022 03:00","19609","18153"
"07.01.2022 03:00 - 07.01.2022 04:00","19671","18216"
"07.01.2022 04:00 - 07.01.2022 05:00","19957","18365"
"07.01.2022 05:00 - 07.01.2022 06:00","20736","18495"
"07.01.2022 06:00 - 07.01.2022 07:00","22385","20144"
"07.01.2022 07:00 - 07.01.2022 08:00","23857","21352"
"07.01.2022 08:00 - 07.01.2022 09:00","24187","21863"
"07.01.2022 09:00 - 07.01.2022 10:00","24047","21967"
"07.01.2022 10:00 - 07.01.2022 11:00","23991","22315"
"07.01.2022 11:00 - 07.01.2022 12:00","23807","22456"
"07.01.2022 12:00 - 07.01.2022 13:00","23590","22363"
"07.01.2022 13:00 - 07.01.2022 14:00","23235","22296"
"07.01.2022 14:00 - 07.01.2022 15:00","23094","22321"
"07.01.2022 15:00 - 07.01.2022 16:00","23182","22437"
"07.01.2022 16:00 - 07.01.2022 17:00","23467","22405"
"07.01.2022 17:00 - 07.01.2022 18:00","23497","22335"
"07.01.2022 18:00 - 07.01.2022 19:00","23015","21736"
"07.01.2022 19:00 - 07.01.2022 20:00","22326","21128"
