Area,ID,X,Y,AFF_ISO
Austria,1,4.631176621594862,2.728767397608595,AT
Belgium ,2,3.944215796486301,3.0724704520846977,BE
Bulgaria ,3,5.561611477311283,2.310146144858849,BG
Croatia ,4,4.825479754688651,2.4575300327168983,HR
Czech Republic,5,4.7054165757232065,2.973008156661516,CZ
Denmark ,6,4.325309886815704,3.6498370562515627,DK
Estonia ,7,5.216249132146029,4.050567815119881,EE
Finland ,8,5.0997942964000424,4.65948427860541,FI
France ,9,2.91339774460025,2.360436340113108,FR
Germany ,10,4.347000138699602,3.10477010559576,DE
Greece ,11,5.446639140690247,1.866360009330829,GR
Hungary ,12,5.03163541678334,2.717998242545527,HU
Ireland ,13,3.121334002555509,3.49093407831588,IE
Italy ,14,4.502249516458354,2.181363546729445,IT
Latvia ,15,5.225133285921225,3.84573244195668,LV
Lithuania ,16,5.197727261951628,3.6660923475963605,LT
Netherlands ,17,4.019193876286468,3.248342965611425,NL
Norway,18,4.445885955436923,4.810960063660576,NO
Poland ,19,4.964804514318628,3.263916253456097,PL
Portugal ,20,2.737903933808318,2.0309286033016907,PT
Romania ,21,5.478278634816324,2.6420866765365982,RO
Slovakia ,22,5.016222838861469,2.889258565222912,SK
Slovenia ,23,4.693540164510454,2.568410921603866,SI
Spain,24,3.155885366561982,2.006105783081597,ES
Sweden,25,4.646763959844662,4.37828091380111,SE
Switzerland,26,4.185537673742775,2.63363937629221,CH
United Kindom,27,3.4887970031971323,3.5111269617167946,UK
